(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, -0.3451, 0.5580]. Recommendation = [0.0, -0.1427, -0.6701], Current Cost = 5005.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, -0.3298, 0.0447]. Recommendation = [0.0, -0.3451, 0.5580], Current Cost = 5006.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, -0.5638, 1.0420]. Recommendation = [0.0, -0.3298, 0.0447], Current Cost = 5007.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, -0.7479, 0.4396]. Recommendation = [0.0, -0.3298, 0.0447], Current Cost = 5008.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, -0.0957, 0.7812]. Recommendation = [0.0, -0.3298, 0.0447], Current Cost = 5009.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, -0.5750, 0.1276]. Recommendation = [0.0, -0.3298, 0.0447], Current Cost = 5010.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, -0.5362, -0.2389]. Recommendation = [0.0, -0.3298, 0.0447], Current Cost = 5011.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, -1.1098, 0.8701]. Recommendation = [0.0, -0.3394, 0.0493], Current Cost = 5012.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, -0.6516, 0.7300]. Recommendation = [0.0, -0.3298, 0.0447], Current Cost = 5013.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, -1.0670, 1.3389]. Recommendation = [0.0, -0.3298, 0.0447], Current Cost = 5014.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, -0.2276, -0.2538]. Recommendation = [0.0, -0.3298, 0.0447], Current Cost = 5015.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, -0.0654, 0.1654]. Recommendation = [0.0, -0.3298, 0.0447], Current Cost = 5016.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, -0.2862, 0.2582]. Recommendation = [0.0, -0.2165, 0.1567], Current Cost = 5017.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, -0.9559, 1.0800]. Recommendation = [0.0, -0.2862, 0.2582], Current Cost = 5018.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, -1.4882, 1.0946]. Recommendation = [0.0, -0.2862, 0.2582], Current Cost = 5019.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, -0.4921, 1.5559]. Recommendation = [0.0, -0.2862, 0.2582], Current Cost = 5020.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, -0.9333, 0.6745]. Recommendation = [0.0, -0.2862, 0.2582], Current Cost = 5021.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, 0.0677, 0.4439]. Recommendation = [0.0, -0.2862, 0.2582], Current Cost = 5022.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, -1.0860, 0.4241]. Recommendation = [0.0, -0.2862, 0.2582], Current Cost = 5023.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, -0.1339, 0.4710]. Recommendation = [0.0, -0.2862, 0.2582], Current Cost = 5024.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, -0.5675, 0.5183]. Recommendation = [0.0, -0.2862, 0.2582], Current Cost = 5025.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, 0.0147, 1.1654]. Recommendation = [0.0, -0.2862, 0.2582], Current Cost = 5026.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, -0.4430, -0.4722]. Recommendation = [0.0, -0.2862, 0.2582], Current Cost = 5027.00, Rho = 0.999
(iter 10) [0.0, -0.1427, -0.6701] = 407.3211, sampling [1.0, -0.8636, 0.8822]. Recommendation = [0.0, -0.2862, 0.2582], Current Cost = 5028.00, Rho = 0.999
