(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, 0.2597, -0.3977]. Recommendation = [0.0, 0.2720, -0.5328], Current Cost = 5005.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, 0.1499, -0.2404]. Recommendation = [0.0, 0.2597, -0.3977], Current Cost = 5006.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, 0.1418, -0.0842]. Recommendation = [0.0, 0.1499, -0.2404], Current Cost = 5007.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, -0.0007, -0.1713]. Recommendation = [0.0, 0.1418, -0.0842], Current Cost = 5008.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, 0.0007, -0.2863]. Recommendation = [0.0, -0.0007, -0.1713], Current Cost = 5009.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, 0.0322, -0.1107]. Recommendation = [0.0, -0.0007, -0.1713], Current Cost = 5010.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, 0.1017, -0.4290]. Recommendation = [0.0, -0.0007, -0.1713], Current Cost = 5011.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, -0.0121, 0.1552]. Recommendation = [0.0, -0.0007, -0.1713], Current Cost = 5012.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, -0.1226, -0.0689]. Recommendation = [0.0, -0.0007, -0.1713], Current Cost = 5013.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, -0.0938, -0.1590]. Recommendation = [0.0, -0.1226, -0.0689], Current Cost = 5014.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, -0.1174, 0.1038]. Recommendation = [0.0, -0.1226, -0.0689], Current Cost = 5015.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, -0.2348, 0.0166]. Recommendation = [0.0, -0.1226, -0.0689], Current Cost = 5016.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, -0.2080, -0.1987]. Recommendation = [0.0, -0.1226, -0.0689], Current Cost = 5017.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, -0.1932, 0.0658]. Recommendation = [0.0, -0.1226, -0.0689], Current Cost = 5018.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, -0.2157, 0.2177]. Recommendation = [0.0, -0.1932, 0.0658], Current Cost = 5019.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, 0.0203, 0.4268]. Recommendation = [0.0, -0.1932, 0.0658], Current Cost = 5020.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, -0.1847, 0.3461]. Recommendation = [0.0, -0.1932, 0.0658], Current Cost = 5021.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, -0.0344, 0.2819]. Recommendation = [0.0, -0.1932, 0.0658], Current Cost = 5022.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, -0.1465, -0.1498]. Recommendation = [0.0, -0.1932, 0.0658], Current Cost = 5023.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, 0.1375, 0.1852]. Recommendation = [0.0, -0.1932, 0.0658], Current Cost = 5024.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, -0.0467, -0.3789]. Recommendation = [0.0, -0.1932, 0.0658], Current Cost = 5025.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, -0.1699, 0.7861]. Recommendation = [0.0, -0.1932, 0.0658], Current Cost = 5026.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, -0.3487, 0.2561]. Recommendation = [0.0, -0.1932, 0.0658], Current Cost = 5027.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, -0.3359, 0.3635]. Recommendation = [0.0, -0.1932, 0.0658], Current Cost = 5028.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, -0.3305, -0.0964]. Recommendation = [0.0, -0.1932, 0.0658], Current Cost = 5029.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, -0.2820, 0.5112]. Recommendation = [0.0, -0.1932, 0.0658], Current Cost = 5030.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, 0.2677, -0.0313]. Recommendation = [0.0, -0.1932, 0.0658], Current Cost = 5031.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, 0.3436, 0.0971]. Recommendation = [0.0, -0.1932, 0.0658], Current Cost = 5032.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, 0.2228, 0.2425]. Recommendation = [0.0, -0.1932, 0.0658], Current Cost = 5033.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, 0.4026, 0.2698]. Recommendation = [0.0, -0.1932, 0.0658], Current Cost = 5034.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, 0.2465, 0.3863]. Recommendation = [0.0, -0.1932, 0.0658], Current Cost = 5035.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, 0.4055, 0.1329]. Recommendation = [0.0, -0.1932, 0.0658], Current Cost = 5036.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, 0.3976, 0.3904]. Recommendation = [0.0, 0.4055, 0.1329], Current Cost = 5037.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, 0.3239, 0.5464]. Recommendation = [0.0, 0.4055, 0.1329], Current Cost = 5038.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, 0.3722, -0.0116]. Recommendation = [0.0, 0.4055, 0.1329], Current Cost = 5039.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, 0.5049, 0.1177]. Recommendation = [0.0, 0.4055, 0.1329], Current Cost = 5040.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, 0.4437, -0.0218]. Recommendation = [0.0, 0.4055, 0.1329], Current Cost = 5041.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, 0.4159, 0.1140]. Recommendation = [0.0, 0.4055, 0.1329], Current Cost = 5042.00, Rho = 0.997
(iter 10) [0.0, 0.2720, -0.5328] = 418.9490, sampling [1.0, 0.5182, 0.0143]. Recommendation = [0.0, 0.4055, 0.1329], Current Cost = 5043.00, Rho = 0.997
