(iter 10) [0.0, -0.2970, -0.0319] = 453.1760, sampling [1.0, 0.3093, 0.2098]. Recommendation = [0.0, -0.2970, -0.0319], Current Cost = 5005.00, Rho = 0.997
(iter 10) [0.0, -0.2970, -0.0319] = 453.1760, sampling [1.0, -0.0404, 0.5188]. Recommendation = [0.0, 0.3093, 0.2098], Current Cost = 5006.00, Rho = 0.997
(iter 10) [0.0, -0.2970, -0.0319] = 453.1760, sampling [1.0, 0.0631, -0.1923]. Recommendation = [0.0, 0.3093, 0.2098], Current Cost = 5007.00, Rho = 0.997
(iter 10) [0.0, -0.2970, -0.0319] = 453.1760, sampling [1.0, 0.8232, 0.4000]. Recommendation = [0.0, 0.0089, 0.1173], Current Cost = 5008.00, Rho = 0.997
(iter 10) [0.0, -0.2970, -0.0319] = 453.1760, sampling [1.0, 0.4798, 0.4678]. Recommendation = [0.0, 0.0728, 0.1482], Current Cost = 5009.00, Rho = 0.997
(iter 10) [0.0, -0.2970, -0.0319] = 453.1760, sampling [1.0, 0.0089, 0.1173]. Recommendation = [0.0, 0.0089, 0.1173], Current Cost = 5010.00, Rho = 0.997
(iter 10) [0.0, -0.2970, -0.0319] = 453.1760, sampling [1.0, 1.1740, 0.8180]. Recommendation = [0.0, 0.3093, 0.2098], Current Cost = 5011.00, Rho = 0.997
(iter 10) [0.0, -0.2970, -0.0319] = 453.1760, sampling [1.0, 0.7311, 0.0214]. Recommendation = [0.0, 0.3093, 0.2098], Current Cost = 5012.00, Rho = 0.997
(iter 10) [0.0, -0.2970, -0.0319] = 453.1760, sampling [1.0, 0.9967, 1.2707]. Recommendation = [0.0, 0.3093, 0.2098], Current Cost = 5013.00, Rho = 0.997
(iter 10) [0.0, -0.2970, -0.0319] = 453.1760, sampling [1.0, 0.8659, 0.7613]. Recommendation = [0.0, 0.3093, 0.2098], Current Cost = 5014.00, Rho = 0.997
(iter 10) [0.0, -0.2970, -0.0319] = 453.1760, sampling [1.0, 0.3308, -0.0385]. Recommendation = [0.0, 0.3093, 0.2098], Current Cost = 5015.00, Rho = 0.997
(iter 10) [0.0, -0.2970, -0.0319] = 453.1760, sampling [1.0, -0.2647, -0.3986]. Recommendation = [0.0, 0.3093, 0.2098], Current Cost = 5016.00, Rho = 0.997
(iter 10) [0.0, -0.2970, -0.0319] = 453.1760, sampling [1.0, 0.5167, 1.3715]. Recommendation = [0.0, 0.3093, 0.2098], Current Cost = 5017.00, Rho = 0.997
(iter 10) [0.0, -0.2970, -0.0319] = 453.1760, sampling [1.0, 1.2952, 0.3020]. Recommendation = [0.0, 0.3093, 0.2098], Current Cost = 5018.00, Rho = 0.997
