(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, -0.2162, 0.2456]. Recommendation = [0.0, -0.5033, -0.2828], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, 0.0546, 0.4741]. Recommendation = [0.0, -0.2162, 0.2456], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, -0.3193, -0.0264]. Recommendation = [0.0, -0.2162, 0.2456], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, -0.1817, 0.4236]. Recommendation = [0.0, -0.2162, 0.2456], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, -0.0351, 0.1142]. Recommendation = [0.0, -0.2162, 0.2456], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, -0.2305, 0.0768]. Recommendation = [0.0, -0.2162, 0.2456], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, -0.3145, 0.1691]. Recommendation = [0.0, -0.2305, 0.0768], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, -0.0883, 0.2871]. Recommendation = [0.0, -0.2305, 0.0768], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, -0.3834, 0.3521]. Recommendation = [0.0, -0.2305, 0.0768], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, -0.5788, 0.2057]. Recommendation = [0.0, -0.2305, 0.0768], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, -0.4432, 0.5128]. Recommendation = [0.0, -0.2305, 0.0768], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, -0.1163, 0.1255]. Recommendation = [0.0, -0.2305, 0.0768], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, -0.2091, -0.1111]. Recommendation = [0.0, -0.2305, 0.0768], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, -0.4275, -0.1268]. Recommendation = [0.0, -0.2305, 0.0768], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, -0.0454, -0.0231]. Recommendation = [0.0, -0.2305, 0.0768], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, 0.3895, 0.7814]. Recommendation = [0.0, -0.2305, 0.0768], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, 0.2952, 0.2182]. Recommendation = [0.0, -0.2305, 0.0768], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, 0.1840, 0.2780]. Recommendation = [0.0, -0.2305, 0.0768], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, 0.3474, 0.4125]. Recommendation = [0.0, -0.2305, 0.0768], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, 0.3003, 0.0141]. Recommendation = [0.0, -0.2305, 0.0768], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, 0.5157, 0.2965]. Recommendation = [0.0, -0.2305, 0.0768], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, 0.4482, 0.1578]. Recommendation = [0.0, -0.2305, 0.0768], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, 0.3750, 0.3183]. Recommendation = [0.0, 0.4482, 0.1578], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, 0.6002, 0.4898]. Recommendation = [0.0, 0.4482, 0.1578], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, 0.0273, -0.1297]. Recommendation = [0.0, 0.4482, 0.1578], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, 0.8851, 0.8398]. Recommendation = [0.0, 0.4482, 0.1578], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, 1.0210, 1.1779]. Recommendation = [0.0, 0.4482, 0.1578], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, 0.7841, 1.1206]. Recommendation = [0.0, 0.4482, 0.1578], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, 1.1054, 0.9921]. Recommendation = [0.0, 0.4482, 0.1578], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, 0.9767, 0.5737]. Recommendation = [0.0, 0.4482, 0.1578], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, 0.7122, 0.7369]. Recommendation = [0.0, 0.4482, 0.1578], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, 1.3111, 1.3440]. Recommendation = [0.0, 0.4482, 0.1578], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, 0.7688, 0.5165]. Recommendation = [0.0, 0.4482, 0.1578], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, 0.6788, 0.2088]. Recommendation = [0.0, 0.4482, 0.1578], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, 1.2240, 0.8147]. Recommendation = [0.0, 0.4482, 0.1578], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.5033, -0.2828] = 425.3048, sampling [1.0, 1.0492, 1.3886]. Recommendation = [0.0, 0.4482, 0.1578], Current Cost = 5040.00, Rho = 1.000
