(iter 5) [0.0, -0.7744, 0.4920] = 451.9896, sampling [0.0, -0.8549, 0.8756]. Recommendation = [0.0, -0.7744, 0.4920], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.7744, 0.4920] = 451.9896, sampling [0.0, -0.5653, 0.7169]. Recommendation = [0.0, -0.7744, 0.4920], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, -0.7744, 0.4920] = 451.9896, sampling [0.0, -0.7101, 1.0835]. Recommendation = [0.0, -0.7498, 0.6913], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, -0.7744, 0.4920] = 451.9896, sampling [0.0, -0.7498, 0.6913]. Recommendation = [0.0, -0.7498, 0.6913], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, -0.7744, 0.4920] = 451.9896, sampling [0.0, -1.1021, 1.3994]. Recommendation = [0.0, -0.7744, 0.4920], Current Cost = 9000.00, Rho = -1.230
(iter 5) [0.0, -0.7744, 0.4920] = 451.9896, sampling [0.0, -1.1882, 1.0958]. Recommendation = [0.0, -0.7744, 0.4920], Current Cost = 10000.00, Rho = -1.230
(iter 5) [0.0, -0.7744, 0.4920] = 451.9896, sampling [0.0, -0.9970, 1.1132]. Recommendation = [0.0, -0.7744, 0.4920], Current Cost = 11000.00, Rho = -1.230
(iter 5) [0.0, -0.7744, 0.4920] = 451.9896, sampling [0.0, -1.4502, 1.7703]. Recommendation = [0.0, -0.7744, 0.4920], Current Cost = 12000.00, Rho = -1.230
(iter 5) [0.0, -0.7744, 0.4920] = 451.9896, sampling [0.0, -0.8897, 1.8354]. Recommendation = [0.0, -0.7744, 0.4920], Current Cost = 13000.00, Rho = -1.230
(iter 5) [0.0, -0.7744, 0.4920] = 451.9896, sampling [0.0, -1.6370, 1.3373]. Recommendation = [0.0, -0.7744, 0.4920], Current Cost = 14000.00, Rho = -1.230
(iter 5) [0.0, -0.7744, 0.4920] = 451.9896, sampling [0.0, -0.8860, 1.3904]. Recommendation = [0.0, -0.7744, 0.4920], Current Cost = 15000.00, Rho = -1.230
(iter 5) [0.0, -0.7744, 0.4920] = 451.9896, sampling [0.0, -1.2953, 1.6208]. Recommendation = [0.0, -0.7744, 0.4920], Current Cost = 16000.00, Rho = -1.230
(iter 5) [0.0, -0.7744, 0.4920] = 451.9896, sampling [0.0, -1.2306, 1.9568]. Recommendation = [0.0, -0.7744, 0.4920], Current Cost = 17000.00, Rho = -1.230
(iter 5) [0.0, -0.7744, 0.4920] = 451.9896, sampling [0.0, -1.1075, 0.6448]. Recommendation = [0.0, -0.7744, 0.4920], Current Cost = 18000.00, Rho = -1.230
(iter 5) [0.0, -0.7744, 0.4920] = 451.9896, sampling [0.0, -0.9456, 0.7660]. Recommendation = [0.0, -0.7744, 0.4920], Current Cost = 19000.00, Rho = -1.230
(iter 5) [0.0, -0.7744, 0.4920] = 451.9896, sampling [0.0, -1.7814, 1.8978]. Recommendation = [0.0, -0.7744, 0.4920], Current Cost = 20000.00, Rho = -1.230
(iter 5) [0.0, -0.7744, 0.4920] = 451.9896, sampling [0.0, -1.2016, 0.8602]. Recommendation = [0.0, -0.7744, 0.4920], Current Cost = 21000.00, Rho = -1.230
(iter 5) [0.0, -0.7744, 0.4920] = 451.9896, sampling [0.0, -1.1650, 1.5592]. Recommendation = [0.0, -0.7744, 0.4920], Current Cost = 22000.00, Rho = -1.230
(iter 5) [0.0, -0.7744, 0.4920] = 451.9896, sampling [0.0, -0.2638, 0.9693]. Recommendation = [0.0, -0.7744, 0.4920], Current Cost = 23000.00, Rho = -1.230
(iter 5) [0.0, -0.7744, 0.4920] = 451.9896, sampling [0.0, -1.3251, 1.2718]. Recommendation = [0.0, -0.7744, 0.4920], Current Cost = 24000.00, Rho = -1.230
(iter 5) [0.0, -0.7744, 0.4920] = 451.9896, sampling [0.0, -0.3695, 0.5445]. Recommendation = [0.0, -0.7744, 0.4920], Current Cost = 25000.00, Rho = -1.230
(iter 5) [0.0, -0.7744, 0.4920] = 451.9896, sampling [0.0, -0.5965, 0.4751]. Recommendation = [0.0, -0.7744, 0.4920], Current Cost = 26000.00, Rho = -1.230
(iter 26) [0.0, -0.5965, 0.4751] = 452.3288, sampling [0.0, -1.0287, 1.2784]. Recommendation = [0.0, -0.5965, 0.4751], Current Cost = 27000.00, Rho = -1.230
(iter 26) [0.0, -0.5965, 0.4751] = 452.3288, sampling [0.0, -0.6050, 1.3689]. Recommendation = [0.0, -0.5965, 0.4751], Current Cost = 28000.00, Rho = -1.230
(iter 26) [0.0, -0.5965, 0.4751] = 452.3288, sampling [0.0, -0.9565, 0.6087]. Recommendation = [0.0, -0.5965, 0.4751], Current Cost = 29000.00, Rho = -1.230
(iter 26) [0.0, -0.5965, 0.4751] = 452.3288, sampling [0.0, -1.0957, 1.0240]. Recommendation = [0.0, -0.5965, 0.4751], Current Cost = 30000.00, Rho = -1.230
(iter 26) [0.0, -0.5965, 0.4751] = 452.3288, sampling [0.0, -0.4635, 0.6198]. Recommendation = [0.0, -0.5965, 0.4751], Current Cost = 31000.00, Rho = -1.230
(iter 26) [0.0, -0.5965, 0.4751] = 452.3288, sampling [0.0, 0.0083, 0.6390]. Recommendation = [0.0, -0.5965, 0.4751], Current Cost = 32000.00, Rho = -1.230
(iter 26) [0.0, -0.5965, 0.4751] = 452.3288, sampling [0.0, -0.1299, 0.7208]. Recommendation = [0.0, -0.5965, 0.4751], Current Cost = 33000.00, Rho = -1.230
(iter 26) [0.0, -0.5965, 0.4751] = 452.3288, sampling [0.0, -0.4325, 0.3881]. Recommendation = [0.0, -0.5965, 0.4751], Current Cost = 34000.00, Rho = -1.230
(iter 26) [0.0, -0.5965, 0.4751] = 452.3288, sampling [0.0, -0.0672, 0.4619]. Recommendation = [0.0, -0.5965, 0.4751], Current Cost = 35000.00, Rho = -1.230
