(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, -0.2484, 0.7505]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, 0.6539, 1.5209]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, -0.4458, 0.2563]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, -0.0541, 0.1018]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, -0.6739, 0.4525]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 9000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, -0.2171, 0.3880]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 10000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, -0.6964, 0.9701]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 11000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, -0.6394, 0.6871]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 12000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, 0.3093, 0.5641]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 13000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, -0.2953, 1.4261]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 14000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, 1.3011, 1.2603]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 15000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, 0.7764, 0.8374]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 16000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, 1.0549, 1.0227]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 17000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, 0.4573, 0.8960]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 18000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, 1.0884, 1.4338]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 19000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, 1.6564, 1.4600]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 20000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, 0.2899, 0.1991]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 21000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, 0.0338, 0.4174]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 22000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, 1.0318, 0.5960]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 23000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, 0.7289, 0.2551]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 24000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, 0.0169, -0.0823]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 25000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, 1.0214, 1.2504]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 26000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, 0.3565, 0.3449]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 27000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, -0.6198, 0.0338]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 28000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, 1.2183, 1.6171]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 29000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, -0.4010, 0.1487]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 30000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, 1.0092, 0.8021]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 31000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, -0.3935, 0.5134]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 32000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, 0.4329, 0.0163]. Recommendation = [0.0, 1.3280, 1.7819], Current Cost = 33000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, 0.2643, -0.0324]. Recommendation = [0.0, 0.3949, 0.2049], Current Cost = 34000.00, Rho = -1.230
(iter 5) [0.0, 1.3280, 1.7819] = 456.1592, sampling [0.0, 0.0608, 0.2353]. Recommendation = [0.0, 0.2730, 0.0621], Current Cost = 35000.00, Rho = -1.230
