(iter 10) [0.0, -0.9751, 0.9363] = 452.3777, sampling [1.0, 0.1385, 0.1405]. Recommendation = [0.0, -0.9751, 0.9363], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.9751, 0.9363] = 452.3777, sampling [1.0, -0.2793, 0.7052]. Recommendation = [0.0, -0.9751, 0.9363], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.9751, 0.9363] = 452.3777, sampling [1.0, -0.2468, 0.1737]. Recommendation = [0.0, -0.9751, 0.9363], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.9751, 0.9363] = 452.3777, sampling [1.0, 0.2292, 0.5344]. Recommendation = [0.0, 0.0225, 0.1229], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.9751, 0.9363] = 452.3777, sampling [1.0, 0.2665, -0.1457]. Recommendation = [0.0, 0.0225, 0.1229], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.9751, 0.9363] = 452.3777, sampling [1.0, 0.0000, 0.4527]. Recommendation = [0.0, 0.0225, 0.1229], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.9751, 0.9363] = 452.3777, sampling [1.0, -0.6638, 0.7344]. Recommendation = [0.0, 0.1223, -0.0548], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.9751, 0.9363] = 452.3777, sampling [1.0, -0.0360, -0.0314]. Recommendation = [0.0, 0.1223, -0.0548], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.9751, 0.9363] = 452.3777, sampling [1.0, 0.6316, 0.2735]. Recommendation = [0.0, 0.1223, -0.0548], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.9751, 0.9363] = 452.3777, sampling [1.0, -0.3026, 1.1592]. Recommendation = [0.0, 0.1223, -0.0548], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.9751, 0.9363] = 452.3777, sampling [1.0, 0.5900, 0.0229]. Recommendation = [0.0, 0.1223, -0.0548], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.9751, 0.9363] = 452.3777, sampling [1.0, 0.2851, 0.2148]. Recommendation = [0.0, 0.1223, -0.0548], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.9751, 0.9363] = 452.3777, sampling [1.0, 0.5778, 0.7530]. Recommendation = [0.0, 0.1223, -0.0548], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.9751, 0.9363] = 452.3777, sampling [1.0, 0.1536, 0.8333]. Recommendation = [0.0, 0.1223, -0.0548], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.9751, 0.9363] = 452.3777, sampling [1.0, 0.5298, 0.4631]. Recommendation = [0.0, 0.1223, -0.0548], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.9751, 0.9363] = 452.3777, sampling [1.0, -0.7251, 1.0246]. Recommendation = [0.0, 0.1223, -0.0548], Current Cost = 5020.00, Rho = 1.000
