(iter 5) [0.0, -0.9311, 0.3458] = 425.4072, sampling [0.0, -0.7175, 0.7143]. Recommendation = [0.0, -0.9311, 0.3458], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.7175, 0.7143] = 449.3696, sampling [0.0, -0.7273, 0.4724]. Recommendation = [0.0, -0.7175, 0.7143], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, -0.7273, 0.4724] = 452.9959, sampling [0.0, -0.9623, 0.6762]. Recommendation = [0.0, -0.7273, 0.4724], Current Cost = 7000.00, Rho = -1.230
(iter 6) [0.0, -0.7273, 0.4724] = 452.9959, sampling [0.0, -0.8121, 0.5850]. Recommendation = [0.0, -0.8121, 0.5850], Current Cost = 8000.00, Rho = -1.230
(iter 6) [0.0, -0.7273, 0.4724] = 452.9959, sampling [0.0, -0.7049, 0.9872]. Recommendation = [0.0, -0.7273, 0.4724], Current Cost = 9000.00, Rho = -1.230
(iter 6) [0.0, -0.7273, 0.4724] = 452.9959, sampling [0.0, -0.9543, 0.9131]. Recommendation = [0.0, -0.7273, 0.4724], Current Cost = 10000.00, Rho = -1.230
(iter 6) [0.0, -0.7273, 0.4724] = 452.9959, sampling [0.0, -0.4459, 0.5021]. Recommendation = [0.0, -0.7273, 0.4724], Current Cost = 11000.00, Rho = -1.230
(iter 6) [0.0, -0.7273, 0.4724] = 452.9959, sampling [0.0, -0.5848, 0.8651]. Recommendation = [0.0, -0.6742, 0.6222], Current Cost = 12000.00, Rho = -1.230
(iter 6) [0.0, -0.7273, 0.4724] = 452.9959, sampling [0.0, -0.6742, 0.6222]. Recommendation = [0.0, -0.6742, 0.6222], Current Cost = 13000.00, Rho = -1.230
(iter 6) [0.0, -0.7273, 0.4724] = 452.9959, sampling [0.0, -0.9937, 1.2228]. Recommendation = [0.0, -0.7273, 0.4724], Current Cost = 14000.00, Rho = -1.230
(iter 6) [0.0, -0.7273, 0.4724] = 452.9959, sampling [0.0, -0.6364, 1.2718]. Recommendation = [0.0, -0.7273, 0.4724], Current Cost = 15000.00, Rho = -1.230
(iter 6) [0.0, -0.7273, 0.4724] = 452.9959, sampling [0.0, -1.1106, 1.0659]. Recommendation = [0.0, -0.7273, 0.4724], Current Cost = 16000.00, Rho = -1.230
(iter 6) [0.0, -0.7273, 0.4724] = 452.9959, sampling [0.0, -1.1698, 0.7552]. Recommendation = [0.0, -0.7273, 0.4724], Current Cost = 17000.00, Rho = -1.230
(iter 6) [0.0, -0.7273, 0.4724] = 452.9959, sampling [0.0, -1.2447, 1.3528]. Recommendation = [0.0, -0.7273, 0.4724], Current Cost = 18000.00, Rho = -1.230
(iter 6) [0.0, -0.7273, 0.4724] = 452.9959, sampling [0.0, -1.3159, 1.0367]. Recommendation = [0.0, -0.7273, 0.4724], Current Cost = 19000.00, Rho = -1.230
(iter 6) [0.0, -0.7273, 0.4724] = 452.9959, sampling [0.0, -0.8569, 1.5954]. Recommendation = [0.0, -0.7273, 0.4724], Current Cost = 20000.00, Rho = -1.230
(iter 6) [0.0, -0.7273, 0.4724] = 452.9959, sampling [0.0, -1.1476, 1.4841]. Recommendation = [0.0, -0.7273, 0.4724], Current Cost = 21000.00, Rho = -1.230
(iter 6) [0.0, -0.7273, 0.4724] = 452.9959, sampling [0.0, -1.4622, 1.5289]. Recommendation = [0.0, -0.7273, 0.4724], Current Cost = 22000.00, Rho = -1.230
(iter 6) [0.0, -0.7273, 0.4724] = 452.9959, sampling [0.0, -1.1588, 1.7501]. Recommendation = [0.0, -0.7273, 0.4724], Current Cost = 23000.00, Rho = -1.230
