(iter 5) [0.0, -0.3339, 0.0725] = 454.3687, sampling [0.0, -0.0865, 0.7446]. Recommendation = [0.0, -0.3339, 0.0725], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.3339, 0.0725] = 454.3687, sampling [0.0, 0.8980, 1.7480]. Recommendation = [0.0, -0.3339, 0.0725], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, -0.3339, 0.0725] = 454.3687, sampling [0.0, -0.4082, 0.1977]. Recommendation = [0.0, -0.3339, 0.0725], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, -0.3339, 0.0725] = 454.3687, sampling [0.0, -0.3373, 0.2800]. Recommendation = [0.0, -0.3339, 0.0725], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, -0.3339, 0.0725] = 454.3687, sampling [0.0, -0.5764, 0.3841]. Recommendation = [0.0, -0.3339, 0.0725], Current Cost = 9000.00, Rho = -1.230
(iter 5) [0.0, -0.3339, 0.0725] = 454.3687, sampling [0.0, -0.6314, 0.2461]. Recommendation = [0.0, -0.3339, 0.0725], Current Cost = 10000.00, Rho = -1.230
(iter 5) [0.0, -0.3339, 0.0725] = 454.3687, sampling [0.0, -0.4449, 0.0624]. Recommendation = [0.0, -0.3339, 0.0725], Current Cost = 11000.00, Rho = -1.230
(iter 5) [0.0, -0.3339, 0.0725] = 454.3687, sampling [0.0, -0.3611, 0.3483]. Recommendation = [0.0, -0.3339, 0.0725], Current Cost = 12000.00, Rho = -1.230
(iter 5) [0.0, -0.3339, 0.0725] = 454.3687, sampling [0.0, -0.7289, 0.5068]. Recommendation = [0.0, -0.3339, 0.0725], Current Cost = 13000.00, Rho = -1.230
(iter 5) [0.0, -0.3339, 0.0725] = 454.3687, sampling [0.0, -0.6077, 0.6978]. Recommendation = [0.0, -0.3339, 0.0725], Current Cost = 14000.00, Rho = -1.230
(iter 5) [0.0, -0.3339, 0.0725] = 454.3687, sampling [0.0, -0.8579, 0.3145]. Recommendation = [0.0, -0.3339, 0.0725], Current Cost = 15000.00, Rho = -1.230
(iter 5) [0.0, -0.3339, 0.0725] = 454.3687, sampling [0.0, -0.2458, 0.3104]. Recommendation = [0.0, -0.3339, 0.0725], Current Cost = 16000.00, Rho = -1.230
(iter 5) [0.0, -0.3339, 0.0725] = 454.3687, sampling [0.0, -0.7831, 0.5749]. Recommendation = [0.0, -0.3339, 0.0725], Current Cost = 17000.00, Rho = -1.230
(iter 5) [0.0, -0.3339, 0.0725] = 454.3687, sampling [0.0, 1.6767, 1.8168]. Recommendation = [0.0, -0.3339, 0.0725], Current Cost = 18000.00, Rho = -1.230
(iter 5) [0.0, -0.3339, 0.0725] = 454.3687, sampling [0.0, -0.8400, 0.6325]. Recommendation = [0.0, -0.3339, 0.0725], Current Cost = 19000.00, Rho = -1.230
(iter 5) [0.0, -0.3339, 0.0725] = 454.3687, sampling [0.0, -0.7580, 0.0033]. Recommendation = [0.0, -0.3339, 0.0725], Current Cost = 20000.00, Rho = -1.230
