(iter 5) [0.0, 0.2035, -0.5772] = 417.3945, sampling [0.0, 0.1503, -0.1764]. Recommendation = [0.0, 0.2035, -0.5772], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.1503, -0.1764] = 451.6195, sampling [0.0, -0.1324, -0.1295]. Recommendation = [0.0, 0.1503, -0.1764], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, -0.1324, -0.1295] = 452.8559, sampling [0.0, 0.1665, 0.1266]. Recommendation = [0.0, -0.1324, -0.1295], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, 0.1665, 0.1266] = 454.6285, sampling [0.0, -0.1754, 0.1360]. Recommendation = [0.0, 0.1665, 0.1266], Current Cost = 8000.00, Rho = -1.230
(iter 7) [0.0, 0.1665, 0.1266] = 454.6285, sampling [0.0, 0.0019, 0.3664]. Recommendation = [0.0, 0.1419, -0.0770], Current Cost = 9000.00, Rho = -1.230
(iter 7) [0.0, 0.1665, 0.1266] = 454.6285, sampling [0.0, 0.3854, -0.1046]. Recommendation = [0.0, 0.1665, 0.1266], Current Cost = 10000.00, Rho = -1.230
(iter 7) [0.0, 0.1665, 0.1266] = 454.6285, sampling [0.0, 0.4075, 0.3251]. Recommendation = [0.0, 0.1752, -0.0373], Current Cost = 11000.00, Rho = -1.230
(iter 7) [0.0, 0.1665, 0.1266] = 454.6285, sampling [0.0, 0.5757, 0.1618]. Recommendation = [0.0, 0.1752, -0.0373], Current Cost = 12000.00, Rho = -1.230
(iter 7) [0.0, 0.1665, 0.1266] = 454.6285, sampling [0.0, 0.2882, 0.1538]. Recommendation = [0.0, 0.2882, 0.1538], Current Cost = 13000.00, Rho = -1.230
(iter 13) [0.0, 0.2882, 0.1538] = 455.2929, sampling [0.0, 0.2582, 0.6494]. Recommendation = [0.0, 0.1752, -0.0373], Current Cost = 14000.00, Rho = -1.230
(iter 13) [0.0, 0.2882, 0.1538] = 455.2929, sampling [0.0, 0.6752, 0.5222]. Recommendation = [0.0, 0.1752, -0.0373], Current Cost = 15000.00, Rho = -1.230
(iter 15) [0.0, 0.6752, 0.5222] = 455.7546, sampling [0.0, 0.8308, 0.1750]. Recommendation = [0.0, 0.1752, -0.0373], Current Cost = 16000.00, Rho = -1.230
(iter 15) [0.0, 0.6752, 0.5222] = 455.7546, sampling [0.0, 0.6080, -0.1890]. Recommendation = [0.0, 0.1752, -0.0373], Current Cost = 17000.00, Rho = -1.230
(iter 15) [0.0, 0.6752, 0.5222] = 455.7546, sampling [0.0, -0.3832, 0.0590]. Recommendation = [0.0, 0.1752, -0.0373], Current Cost = 18000.00, Rho = -1.230
(iter 15) [0.0, 0.6752, 0.5222] = 455.7546, sampling [0.0, 0.1752, -0.0373]. Recommendation = [0.0, -0.2094, 0.0223], Current Cost = 19000.00, Rho = -1.230
(iter 15) [0.0, 0.6752, 0.5222] = 455.7546, sampling [0.0, -0.2752, 0.3113]. Recommendation = [0.0, -0.2094, 0.0223], Current Cost = 20000.00, Rho = -1.230
(iter 15) [0.0, 0.6752, 0.5222] = 455.7546, sampling [0.0, -0.3514, -0.1417]. Recommendation = [0.0, -0.2094, 0.0223], Current Cost = 21000.00, Rho = -1.230
(iter 15) [0.0, 0.6752, 0.5222] = 455.7546, sampling [0.0, 0.2176, 0.2867]. Recommendation = [0.0, -0.2094, 0.0223], Current Cost = 22000.00, Rho = -1.230
(iter 15) [0.0, 0.6752, 0.5222] = 455.7546, sampling [0.0, 0.2524, -0.2960]. Recommendation = [0.0, -0.2094, 0.0223], Current Cost = 23000.00, Rho = -1.230
