(iter 5) [0.0, -1.2308, 1.3879] = 449.7086, sampling [0.0, -0.3336, 0.9498]. Recommendation = [0.0, -1.2308, 1.3879], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -1.2308, 1.3879] = 449.7086, sampling [0.0, -0.1885, 0.2095]. Recommendation = [0.0, -1.2308, 1.3879], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, -0.1885, 0.2095] = 451.8611, sampling [0.0, -0.3191, -0.3782]. Recommendation = [0.0, -0.1885, 0.2095], Current Cost = 7000.00, Rho = -1.230
(iter 6) [0.0, -0.1885, 0.2095] = 451.8611, sampling [0.0, -1.0798, 0.9203]. Recommendation = [0.0, -0.1885, 0.2095], Current Cost = 8000.00, Rho = -1.230
(iter 6) [0.0, -0.1885, 0.2095] = 451.8611, sampling [0.0, -0.6407, 1.6688]. Recommendation = [0.0, -0.1885, 0.2095], Current Cost = 9000.00, Rho = -1.230
(iter 6) [0.0, -0.1885, 0.2095] = 451.8611, sampling [0.0, -1.7926, 0.7785]. Recommendation = [0.0, -0.1885, 0.2095], Current Cost = 10000.00, Rho = -1.230
(iter 6) [0.0, -0.1885, 0.2095] = 451.8611, sampling [0.0, -0.5178, 0.5159]. Recommendation = [0.0, -0.1885, 0.2095], Current Cost = 11000.00, Rho = -1.230
(iter 6) [0.0, -0.1885, 0.2095] = 451.8611, sampling [0.0, 0.0320, 0.6431]. Recommendation = [0.0, -0.1885, 0.2095], Current Cost = 12000.00, Rho = -1.230
(iter 6) [0.0, -0.1885, 0.2095] = 451.8611, sampling [0.0, 0.4562, 1.3232]. Recommendation = [0.0, -0.1885, 0.2095], Current Cost = 13000.00, Rho = -1.230
(iter 6) [0.0, -0.1885, 0.2095] = 451.8611, sampling [0.0, -0.9219, -0.8866]. Recommendation = [0.0, -0.1885, 0.2095], Current Cost = 14000.00, Rho = -1.230
(iter 6) [0.0, -0.1885, 0.2095] = 451.8611, sampling [0.0, 0.2483, 0.1315]. Recommendation = [0.0, -0.1885, 0.2095], Current Cost = 15000.00, Rho = -1.230
(iter 15) [0.0, 0.2483, 0.1315] = 455.2479, sampling [0.0, -0.5648, 0.0929]. Recommendation = [0.0, 0.2483, 0.1315], Current Cost = 16000.00, Rho = -1.230
(iter 15) [0.0, 0.2483, 0.1315] = 455.2479, sampling [0.0, -0.8013, 1.1516]. Recommendation = [0.0, 0.2483, 0.1315], Current Cost = 17000.00, Rho = -1.230
(iter 15) [0.0, 0.2483, 0.1315] = 455.2479, sampling [0.0, 0.1424, -0.1965]. Recommendation = [0.0, 0.2483, 0.1315], Current Cost = 18000.00, Rho = -1.230
(iter 15) [0.0, 0.2483, 0.1315] = 455.2479, sampling [0.0, -0.7889, 0.6831]. Recommendation = [0.0, 0.0643, 0.0758], Current Cost = 19000.00, Rho = -1.230
(iter 15) [0.0, 0.2483, 0.1315] = 455.2479, sampling [0.0, -0.2295, -0.0759]. Recommendation = [0.0, 0.0643, 0.0758], Current Cost = 20000.00, Rho = -1.230
(iter 15) [0.0, 0.2483, 0.1315] = 455.2479, sampling [0.0, 0.3104, 1.9512]. Recommendation = [0.0, 0.0643, 0.0758], Current Cost = 21000.00, Rho = -1.230
(iter 15) [0.0, 0.2483, 0.1315] = 455.2479, sampling [0.0, 0.3175, 0.8442]. Recommendation = [0.0, 0.0643, 0.0758], Current Cost = 22000.00, Rho = -1.230
(iter 15) [0.0, 0.2483, 0.1315] = 455.2479, sampling [0.0, -0.0313, -0.5480]. Recommendation = [0.0, 0.0643, 0.0758], Current Cost = 23000.00, Rho = -1.230
