(iter 5) [0.0, 1.4040, 1.0319] = 367.9215, sampling [0.0, 1.1118, 1.4646]. Recommendation = [0.0, 1.4040, 1.0319], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 1.1118, 1.4646] = 451.0620, sampling [0.0, 1.2028, 1.6845]. Recommendation = [0.0, 1.1118, 1.4646], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 1.1118, 1.4646] = 451.0620, sampling [0.0, 1.3183, 1.5521]. Recommendation = [0.0, 1.1118, 1.4646], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, 1.3183, 1.5521] = 452.7421, sampling [0.0, 0.8869, 1.6231]. Recommendation = [0.0, 1.2659, 1.5784], Current Cost = 8000.00, Rho = -1.230
(iter 7) [0.0, 1.3183, 1.5521] = 452.7421, sampling [0.0, 1.5991, 1.5926]. Recommendation = [0.0, 1.2659, 1.5784], Current Cost = 9000.00, Rho = -1.230
(iter 7) [0.0, 1.3183, 1.5521] = 452.7421, sampling [0.0, 1.2424, 1.2827]. Recommendation = [0.0, 1.2659, 1.5784], Current Cost = 10000.00, Rho = -1.230
(iter 7) [0.0, 1.3183, 1.5521] = 452.7421, sampling [0.0, 1.2659, 1.5784]. Recommendation = [0.0, 1.2659, 1.5784], Current Cost = 11000.00, Rho = -1.230
(iter 11) [0.0, 1.2659, 1.5784] = 456.1712, sampling [0.0, 0.8485, 1.2035]. Recommendation = [0.0, 1.2659, 1.5784], Current Cost = 12000.00, Rho = -1.230
(iter 11) [0.0, 1.2659, 1.5784] = 456.1712, sampling [0.0, 1.0957, 0.9948]. Recommendation = [0.0, 1.2659, 1.5784], Current Cost = 13000.00, Rho = -1.230
(iter 11) [0.0, 1.2659, 1.5784] = 456.1712, sampling [0.0, 0.9473, 0.9367]. Recommendation = [0.0, 1.2659, 1.5784], Current Cost = 14000.00, Rho = -1.230
(iter 11) [0.0, 1.2659, 1.5784] = 456.1712, sampling [0.0, 0.8723, 0.7401]. Recommendation = [0.0, 1.2659, 1.5784], Current Cost = 15000.00, Rho = -1.230
(iter 15) [0.0, 0.8723, 0.7401] = 456.2403, sampling [0.0, 0.9392, 0.8366]. Recommendation = [0.0, 0.8723, 0.7401], Current Cost = 16000.00, Rho = -1.230
(iter 15) [0.0, 0.8723, 0.7401] = 456.2403, sampling [0.0, 1.0427, 0.7347]. Recommendation = [0.0, 0.8723, 0.7401], Current Cost = 17000.00, Rho = -1.230
(iter 15) [0.0, 0.8723, 0.7401] = 456.2403, sampling [0.0, 0.5826, 0.8568]. Recommendation = [0.0, 0.8723, 0.7401], Current Cost = 18000.00, Rho = -1.230
(iter 15) [0.0, 0.8723, 0.7401] = 456.2403, sampling [0.0, 0.7346, 0.6991]. Recommendation = [0.0, 0.8723, 0.7401], Current Cost = 19000.00, Rho = -1.230
(iter 15) [0.0, 0.8723, 0.7401] = 456.2403, sampling [0.0, 0.6802, 1.1017]. Recommendation = [0.0, 0.8723, 0.7401], Current Cost = 20000.00, Rho = -1.230
(iter 15) [0.0, 0.8723, 0.7401] = 456.2403, sampling [0.0, 0.8921, 0.5883]. Recommendation = [0.0, 0.8723, 0.7401], Current Cost = 21000.00, Rho = -1.230
(iter 15) [0.0, 0.8723, 0.7401] = 456.2403, sampling [0.0, 1.0004, 0.8746]. Recommendation = [0.0, 0.8723, 0.7401], Current Cost = 22000.00, Rho = -1.230
(iter 15) [0.0, 0.8723, 0.7401] = 456.2403, sampling [0.0, 0.7998, 0.5766]. Recommendation = [0.0, 0.8723, 0.7401], Current Cost = 23000.00, Rho = -1.230
(iter 15) [0.0, 0.8723, 0.7401] = 456.2403, sampling [0.0, 0.9903, 0.6613]. Recommendation = [0.0, 0.8723, 0.7401], Current Cost = 24000.00, Rho = -1.230
(iter 15) [0.0, 0.8723, 0.7401] = 456.2403, sampling [0.0, 1.1306, 0.9208]. Recommendation = [0.0, 0.8723, 0.7401], Current Cost = 25000.00, Rho = -1.230
(iter 15) [0.0, 0.8723, 0.7401] = 456.2403, sampling [0.0, 1.0641, 1.6118]. Recommendation = [0.0, 0.8723, 0.7401], Current Cost = 26000.00, Rho = -1.230
(iter 15) [0.0, 0.8723, 0.7401] = 456.2403, sampling [0.0, 1.0508, 1.4611]. Recommendation = [0.0, 0.8723, 0.7401], Current Cost = 27000.00, Rho = -1.230
(iter 15) [0.0, 0.8723, 0.7401] = 456.2403, sampling [0.0, 1.0808, 1.9927]. Recommendation = [0.0, 0.8723, 0.7401], Current Cost = 28000.00, Rho = -1.230
(iter 15) [0.0, 0.8723, 0.7401] = 456.2403, sampling [0.0, 1.1263, 0.4635]. Recommendation = [0.0, 0.8723, 0.7401], Current Cost = 29000.00, Rho = -1.230
(iter 15) [0.0, 0.8723, 0.7401] = 456.2403, sampling [0.0, 0.3782, 0.4651]. Recommendation = [0.0, 0.8723, 0.7401], Current Cost = 30000.00, Rho = -1.230
(iter 15) [0.0, 0.8723, 0.7401] = 456.2403, sampling [0.0, 0.5476, 0.3232]. Recommendation = [0.0, 0.8723, 0.7401], Current Cost = 31000.00, Rho = -1.230
