(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, -0.0096, -0.0816]. Recommendation = [0.0, 0.3822, -0.2047], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, 0.2473, 0.0637]. Recommendation = [0.0, -0.0096, -0.0816], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, -0.1639, 0.2206]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, -0.0330, 0.1079]. Recommendation = [0.0, -0.0330, 0.1079], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, 0.1264, 0.4249]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, -0.0026, -0.2624]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, 0.2960, -0.1083]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, -0.2261, 0.6271]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, -0.3812, -0.0593]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, -0.2716, -0.3821]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, -0.1017, -0.1997]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, -0.3398, 0.2902]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, -0.4457, 0.1684]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, 0.0349, -0.4340]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, -0.3959, 0.4994]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, 0.3005, 0.3269]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, 0.3495, 0.1665]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, 0.0724, 0.8003]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, -0.2836, 0.2463]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, 0.2339, -0.3714]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, -0.5228, 0.0504]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, -0.4949, -0.1214]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, -0.1906, -0.6539]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, -0.0730, -0.3911]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, -0.0211, -0.1595]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, 0.2716, 0.0186]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, -0.4110, 0.8591]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, 0.0620, 0.5570]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, -0.3666, -0.3213]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, 0.4796, 0.0797]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, 0.4173, 0.3198]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, 0.4638, 0.1778]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, -0.6430, 0.1545]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, -0.4851, 0.2025]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, 0.2205, 0.3926]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, 0.5674, 0.4327]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, 0.5913, 0.2792]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, 0.4432, 0.8410]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, 0.2770, 0.7187]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, 0.5521, 0.1434]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, 0.6900, 0.4112]. Recommendation = [0.0, 0.4887, 0.1509], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, 0.7092, 0.6766]. Recommendation = [0.0, 0.4887, 0.1509], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.3822, -0.2047] = 443.6158, sampling [1.0, 0.7810, 0.4568]. Recommendation = [0.0, 0.2473, 0.0637], Current Cost = 5047.00, Rho = 1.000
