(iter 5) [0.0, -0.7428, -0.1044] = 410.2065, sampling [0.0, -0.5804, -0.3204]. Recommendation = [0.0, -0.7428, -0.1044], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.5804, -0.3204] = 410.6025, sampling [0.0, -0.4303, -0.1671]. Recommendation = [0.0, -0.5804, -0.3204], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, -0.4303, -0.1671] = 441.8456, sampling [0.0, -0.2500, -0.0726]. Recommendation = [0.0, -0.4303, -0.1671], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, -0.2500, -0.0726] = 452.9126, sampling [0.0, -0.2053, -0.1989]. Recommendation = [0.0, -0.2500, -0.0726], Current Cost = 8000.00, Rho = -1.230
(iter 7) [0.0, -0.2500, -0.0726] = 452.9126, sampling [0.0, -0.2146, -0.1494]. Recommendation = [0.0, -0.2500, -0.0726], Current Cost = 9000.00, Rho = -1.230
(iter 7) [0.0, -0.2500, -0.0726] = 452.9126, sampling [0.0, -0.4052, 0.1860]. Recommendation = [0.0, -0.2500, -0.0726], Current Cost = 10000.00, Rho = -1.230
(iter 10) [0.0, -0.4052, 0.1860] = 454.2778, sampling [0.0, -0.1347, 0.1989]. Recommendation = [0.0, -0.4052, 0.1860], Current Cost = 11000.00, Rho = -1.230
(iter 10) [0.0, -0.4052, 0.1860] = 454.2778, sampling [0.0, -0.2471, 0.2821]. Recommendation = [0.0, -0.4052, 0.1860], Current Cost = 12000.00, Rho = -1.230
(iter 10) [0.0, -0.4052, 0.1860] = 454.2778, sampling [0.0, -0.1070, -0.0811]. Recommendation = [0.0, -0.4052, 0.1860], Current Cost = 13000.00, Rho = -1.230
(iter 10) [0.0, -0.4052, 0.1860] = 454.2778, sampling [0.0, -0.1722, -0.1037]. Recommendation = [0.0, -0.4052, 0.1860], Current Cost = 14000.00, Rho = -1.230
(iter 10) [0.0, -0.4052, 0.1860] = 454.2778, sampling [0.0, -0.0298, 0.1420]. Recommendation = [0.0, -0.4052, 0.1860], Current Cost = 15000.00, Rho = -1.230
(iter 10) [0.0, -0.4052, 0.1860] = 454.2778, sampling [0.0, -0.3586, 0.3101]. Recommendation = [0.0, -0.4052, 0.1860], Current Cost = 16000.00, Rho = -1.230
(iter 10) [0.0, -0.4052, 0.1860] = 454.2778, sampling [0.0, -0.5328, 0.2702]. Recommendation = [0.0, -0.4052, 0.1860], Current Cost = 17000.00, Rho = -1.230
(iter 10) [0.0, -0.4052, 0.1860] = 454.2778, sampling [0.0, -0.4795, 0.3555]. Recommendation = [0.0, -0.4052, 0.1860], Current Cost = 18000.00, Rho = -1.230
(iter 10) [0.0, -0.4052, 0.1860] = 454.2778, sampling [0.0, -0.2246, 0.3960]. Recommendation = [0.0, -0.4052, 0.1860], Current Cost = 19000.00, Rho = -1.230
(iter 10) [0.0, -0.4052, 0.1860] = 454.2778, sampling [0.0, -0.6582, 0.0511]. Recommendation = [0.0, -0.4052, 0.1860], Current Cost = 20000.00, Rho = -1.230
(iter 10) [0.0, -0.4052, 0.1860] = 454.2778, sampling [0.0, -0.3974, 0.4445]. Recommendation = [0.0, -0.4052, 0.1860], Current Cost = 21000.00, Rho = -1.230
(iter 10) [0.0, -0.4052, 0.1860] = 454.2778, sampling [0.0, -0.2971, 0.3824]. Recommendation = [0.0, -0.4052, 0.1860], Current Cost = 22000.00, Rho = -1.230
(iter 10) [0.0, -0.4052, 0.1860] = 454.2778, sampling [0.0, -0.7099, 0.2884]. Recommendation = [0.0, -0.4052, 0.1860], Current Cost = 23000.00, Rho = -1.230
(iter 10) [0.0, -0.4052, 0.1860] = 454.2778, sampling [0.0, -0.4973, 0.4584]. Recommendation = [0.0, -0.4052, 0.1860], Current Cost = 24000.00, Rho = -1.230
(iter 10) [0.0, -0.4052, 0.1860] = 454.2778, sampling [0.0, 0.0864, 0.0608]. Recommendation = [0.0, -0.4052, 0.1860], Current Cost = 25000.00, Rho = -1.230
(iter 25) [0.0, 0.0864, 0.0608] = 455.1806, sampling [0.0, 0.1004, 0.4074]. Recommendation = [0.0, 0.0864, 0.0608], Current Cost = 26000.00, Rho = -1.230
(iter 25) [0.0, 0.0864, 0.0608] = 455.1806, sampling [0.0, -0.2183, 0.5788]. Recommendation = [0.0, 0.0864, 0.0608], Current Cost = 27000.00, Rho = -1.230
(iter 25) [0.0, 0.0864, 0.0608] = 455.1806, sampling [0.0, 0.2292, 0.1529]. Recommendation = [0.0, 0.0864, 0.0608], Current Cost = 28000.00, Rho = -1.230
(iter 25) [0.0, 0.0864, 0.0608] = 455.1806, sampling [0.0, 0.1776, 0.3276]. Recommendation = [0.0, 0.0864, 0.0608], Current Cost = 29000.00, Rho = -1.230
(iter 25) [0.0, 0.0864, 0.0608] = 455.1806, sampling [0.0, 0.2438, 0.2431]. Recommendation = [0.0, 0.0864, 0.0608], Current Cost = 30000.00, Rho = -1.230
(iter 25) [0.0, 0.0864, 0.0608] = 455.1806, sampling [0.0, 0.2345, 0.0263]. Recommendation = [0.0, 0.0864, 0.0608], Current Cost = 31000.00, Rho = -1.230
(iter 31) [0.0, 0.2345, 0.0263] = 455.6317, sampling [0.0, -0.0662, -0.2894]. Recommendation = [0.0, 0.2345, 0.0263], Current Cost = 32000.00, Rho = -1.230
(iter 31) [0.0, 0.2345, 0.0263] = 455.6317, sampling [0.0, 0.1567, -0.2643]. Recommendation = [0.0, 0.2345, 0.0263], Current Cost = 33000.00, Rho = -1.230
(iter 31) [0.0, 0.2345, 0.0263] = 455.6317, sampling [0.0, 0.3432, 0.2775]. Recommendation = [0.0, 0.2345, 0.0263], Current Cost = 34000.00, Rho = -1.230
(iter 31) [0.0, 0.2345, 0.0263] = 455.6317, sampling [0.0, 0.2063, 0.4662]. Recommendation = [0.0, 0.2345, 0.0263], Current Cost = 35000.00, Rho = -1.230
(iter 31) [0.0, 0.2345, 0.0263] = 455.6317, sampling [0.0, -0.0525, 0.5674]. Recommendation = [0.0, 0.2345, 0.0263], Current Cost = 36000.00, Rho = -1.230
(iter 31) [0.0, 0.2345, 0.0263] = 455.6317, sampling [0.0, 0.3696, 0.3188]. Recommendation = [0.0, 0.2345, 0.0263], Current Cost = 37000.00, Rho = -1.230
(iter 31) [0.0, 0.2345, 0.0263] = 455.6317, sampling [0.0, -0.1425, -0.5044]. Recommendation = [0.0, 0.2345, 0.0263], Current Cost = 38000.00, Rho = -1.230
(iter 31) [0.0, 0.2345, 0.0263] = 455.6317, sampling [0.0, 0.4690, 0.0193]. Recommendation = [0.0, 0.2345, 0.0263], Current Cost = 39000.00, Rho = -1.230
(iter 31) [0.0, 0.2345, 0.0263] = 455.6317, sampling [0.0, 0.5389, 0.3917]. Recommendation = [0.0, 0.2345, 0.0263], Current Cost = 40000.00, Rho = -1.230
(iter 31) [0.0, 0.2345, 0.0263] = 455.6317, sampling [0.0, 0.4361, 0.5747]. Recommendation = [0.0, 0.2345, 0.0263], Current Cost = 41000.00, Rho = -1.230
(iter 31) [0.0, 0.2345, 0.0263] = 455.6317, sampling [0.0, 0.6136, 0.1007]. Recommendation = [0.0, 0.2345, 0.0263], Current Cost = 42000.00, Rho = -1.230
(iter 31) [0.0, 0.2345, 0.0263] = 455.6317, sampling [0.0, 0.2832, 0.5916]. Recommendation = [0.0, 0.2345, 0.0263], Current Cost = 43000.00, Rho = -1.230
(iter 31) [0.0, 0.2345, 0.0263] = 455.6317, sampling [0.0, 0.6831, 0.1719]. Recommendation = [0.0, 0.2345, 0.0263], Current Cost = 44000.00, Rho = -1.230
(iter 31) [0.0, 0.2345, 0.0263] = 455.6317, sampling [0.0, 0.2145, -0.2508]. Recommendation = [0.0, 0.2345, 0.0263], Current Cost = 45000.00, Rho = -1.230
(iter 31) [0.0, 0.2345, 0.0263] = 455.6317, sampling [0.0, -0.5266, 0.5106]. Recommendation = [0.0, 0.2345, 0.0263], Current Cost = 46000.00, Rho = -1.230
(iter 31) [0.0, 0.2345, 0.0263] = 455.6317, sampling [0.0, 0.7571, 0.5369]. Recommendation = [0.0, 0.2345, 0.0263], Current Cost = 47000.00, Rho = -1.230
(iter 47) [0.0, 0.7571, 0.5369] = 456.1090, sampling [0.0, 0.6626, 0.6969]. Recommendation = [0.0, 0.7571, 0.5369], Current Cost = 48000.00, Rho = -1.230
(iter 47) [0.0, 0.7571, 0.5369] = 456.1090, sampling [0.0, 0.8082, 0.5255]. Recommendation = [0.0, 0.7571, 0.5369], Current Cost = 49000.00, Rho = -1.230
(iter 47) [0.0, 0.7571, 0.5369] = 456.1090, sampling [0.0, 0.7088, 0.6816]. Recommendation = [0.0, 0.7571, 0.5369], Current Cost = 50000.00, Rho = -1.230
(iter 47) [0.0, 0.7571, 0.5369] = 456.1090, sampling [0.0, 0.5858, 0.8356]. Recommendation = [0.0, 0.7571, 0.5369], Current Cost = 51000.00, Rho = -1.230
(iter 47) [0.0, 0.7571, 0.5369] = 456.1090, sampling [0.0, 0.3545, 0.7735]. Recommendation = [0.0, 0.7571, 0.5369], Current Cost = 52000.00, Rho = -1.230
(iter 47) [0.0, 0.7571, 0.5369] = 456.1090, sampling [0.0, 0.8482, 0.5331]. Recommendation = [0.0, 0.7571, 0.5369], Current Cost = 53000.00, Rho = -1.230
(iter 47) [0.0, 0.7571, 0.5369] = 456.1090, sampling [0.0, 0.1045, -0.4336]. Recommendation = [0.0, 0.7571, 0.5369], Current Cost = 54000.00, Rho = -1.230
(iter 47) [0.0, 0.7571, 0.5369] = 456.1090, sampling [0.0, 0.5953, -0.0195]. Recommendation = [0.0, 0.7571, 0.5369], Current Cost = 55000.00, Rho = -1.230
(iter 47) [0.0, 0.7571, 0.5369] = 456.1090, sampling [0.0, -0.3773, 0.7351]. Recommendation = [0.0, 0.7571, 0.5369], Current Cost = 56000.00, Rho = -1.230
(iter 47) [0.0, 0.7571, 0.5369] = 456.1090, sampling [0.0, -0.7305, 0.6005]. Recommendation = [0.0, 0.7571, 0.5369], Current Cost = 57000.00, Rho = -1.230
(iter 47) [0.0, 0.7571, 0.5369] = 456.1090, sampling [0.0, -0.9107, 0.4385]. Recommendation = [0.0, 0.7571, 0.5369], Current Cost = 58000.00, Rho = -1.230
(iter 47) [0.0, 0.7571, 0.5369] = 456.1090, sampling [0.0, -0.8244, 0.1148]. Recommendation = [0.0, 0.7571, 0.5369], Current Cost = 59000.00, Rho = -1.230
(iter 47) [0.0, 0.7571, 0.5369] = 456.1090, sampling [0.0, -0.7688, 0.6750]. Recommendation = [0.0, 0.7571, 0.5369], Current Cost = 60000.00, Rho = -1.230
(iter 47) [0.0, 0.7571, 0.5369] = 456.1090, sampling [0.0, -0.6218, 0.7884]. Recommendation = [0.0, 0.7571, 0.5369], Current Cost = 61000.00, Rho = -1.230
(iter 47) [0.0, 0.7571, 0.5369] = 456.1090, sampling [0.0, -0.8176, 0.7204]. Recommendation = [0.0, 0.7571, 0.5369], Current Cost = 62000.00, Rho = -1.230
(iter 47) [0.0, 0.7571, 0.5369] = 456.1090, sampling [0.0, -0.9433, 0.6159]. Recommendation = [0.0, 0.7571, 0.5369], Current Cost = 63000.00, Rho = -1.230
(iter 47) [0.0, 0.7571, 0.5369] = 456.1090, sampling [0.0, -0.8681, 0.7185]. Recommendation = [0.0, 0.7571, 0.5369], Current Cost = 64000.00, Rho = -1.230
