(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, -0.2112, 0.1689]. Recommendation = [0.0, -0.0624, -0.2707], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, -0.6044, -0.0716]. Recommendation = [0.0, -0.2112, 0.1689], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, -0.4367, 0.6403]. Recommendation = [0.0, -0.2571, 0.0951], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, -1.0411, 0.8277]. Recommendation = [0.0, -0.5126, 0.1372], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, -1.3031, 0.4226]. Recommendation = [0.0, -0.5126, 0.1372], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, 0.1921, 0.2309]. Recommendation = [0.0, -0.5126, 0.1372], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, -0.0476, 0.6375]. Recommendation = [0.0, -0.1433, 0.0563], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, -0.4847, 1.0734]. Recommendation = [0.0, -0.4476, 0.3176], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, -0.4476, 0.3176]. Recommendation = [0.0, -0.1433, 0.0563], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, -0.6996, 0.6660]. Recommendation = [0.0, -0.1433, 0.0563], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, 0.3918, -0.1836]. Recommendation = [0.0, -0.1433, 0.0563], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, -0.3360, -0.5780]. Recommendation = [0.0, 0.0479, -0.0017], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, 0.1367, -0.4984]. Recommendation = [0.0, 0.0479, -0.0017], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, 0.0479, -0.0017]. Recommendation = [0.0, 0.0479, -0.0017], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, -0.3359, -0.0778]. Recommendation = [0.0, -0.1433, 0.0563], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, -0.9896, 1.1980]. Recommendation = [0.0, -0.1433, 0.0563], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, -0.8715, -0.3710]. Recommendation = [0.0, -0.1433, 0.0563], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, 0.5370, 0.5572]. Recommendation = [0.0, -0.1433, 0.0563], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, 0.4693, 0.1615]. Recommendation = [0.0, -0.1433, 0.0563], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, 0.1176, 1.1072]. Recommendation = [0.0, 0.3823, 0.2598], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, -0.6933, 1.5811]. Recommendation = [0.0, 0.3823, 0.2598], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, -0.7420, 0.9491]. Recommendation = [0.0, 0.3823, 0.2598], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, 0.3014, 0.7197]. Recommendation = [0.0, 0.3823, 0.2598], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, 0.7798, -0.0095]. Recommendation = [0.0, 0.3823, 0.2598], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, 0.8772, 0.8822]. Recommendation = [0.0, 0.3823, 0.2598], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, 0.9677, 0.3560]. Recommendation = [0.0, 0.4693, 0.1615], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, 0.5872, 1.0549]. Recommendation = [0.0, 0.5728, 0.2736], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, 0.7845, 0.6584]. Recommendation = [0.0, 0.5728, 0.2736], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, 0.6506, 0.2951]. Recommendation = [0.0, 0.6566, 0.4295], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, 0.6104, -0.4684]. Recommendation = [0.0, 0.6566, 0.4295], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, 0.1095, 1.6596]. Recommendation = [0.0, 0.6566, 0.4295], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, 1.2386, 0.7460]. Recommendation = [0.0, 0.6566, 0.4295], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, 1.1387, 1.2431]. Recommendation = [0.0, 0.7845, 0.6584], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, 0.8315, 1.2256]. Recommendation = [0.0, 0.7845, 0.6584], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, 1.0176, 1.6216]. Recommendation = [0.0, 0.7845, 0.6584], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, 1.5573, 1.3106]. Recommendation = [0.0, 0.7845, 0.6584], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.0624, -0.2707] = 447.6290, sampling [1.0, -0.9404, 0.0409]. Recommendation = [0.0, 0.7845, 0.6584], Current Cost = 5041.00, Rho = 1.000
