(iter 5) [0.0, -1.4960, 1.9476] = 441.6428, sampling [0.0, -1.0167, 1.6320]. Recommendation = [0.0, -1.4960, 1.9476], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -1.4960, 1.9476] = 441.6428, sampling [0.0, -1.4632, 1.4575]. Recommendation = [0.0, -1.4960, 1.9476], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, -1.4960, 1.9476] = 441.6428, sampling [0.0, -0.9312, 0.8713]. Recommendation = [0.0, -1.4960, 1.9476], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, -0.9312, 0.8713] = 452.5686, sampling [0.0, -1.0038, 1.2096]. Recommendation = [0.0, -0.9312, 0.8713], Current Cost = 8000.00, Rho = -1.230
(iter 7) [0.0, -0.9312, 0.8713] = 452.5686, sampling [0.0, -0.8167, 0.3312]. Recommendation = [0.0, -0.9312, 0.8713], Current Cost = 9000.00, Rho = -1.230
(iter 7) [0.0, -0.9312, 0.8713] = 452.5686, sampling [0.0, -1.3146, 0.7794]. Recommendation = [0.0, -0.9312, 0.8713], Current Cost = 10000.00, Rho = -1.230
(iter 7) [0.0, -0.9312, 0.8713] = 452.5686, sampling [0.0, -0.5134, 0.6132]. Recommendation = [0.0, -0.9312, 0.8713], Current Cost = 11000.00, Rho = -1.230
(iter 7) [0.0, -0.9312, 0.8713] = 452.5686, sampling [0.0, -0.3200, 0.2127]. Recommendation = [0.0, -0.9312, 0.8713], Current Cost = 12000.00, Rho = -1.230
(iter 12) [0.0, -0.3200, 0.2127] = 453.3412, sampling [0.0, -0.7442, -0.1606]. Recommendation = [0.0, -0.3200, 0.2127], Current Cost = 13000.00, Rho = -1.230
(iter 12) [0.0, -0.3200, 0.2127] = 453.3412, sampling [0.0, 0.0267, 0.4562]. Recommendation = [0.0, -0.3200, 0.2127], Current Cost = 14000.00, Rho = -1.230
(iter 12) [0.0, -0.3200, 0.2127] = 453.3412, sampling [0.0, -0.0631, -0.0408]. Recommendation = [0.0, -0.3200, 0.2127], Current Cost = 15000.00, Rho = -1.230
(iter 15) [0.0, -0.0631, -0.0408] = 454.9690, sampling [0.0, -0.3277, -0.2813]. Recommendation = [0.0, -0.0631, -0.0408], Current Cost = 16000.00, Rho = -1.230
(iter 15) [0.0, -0.0631, -0.0408] = 454.9690, sampling [0.0, -0.5567, 0.3377]. Recommendation = [0.0, -0.1312, 0.0450], Current Cost = 17000.00, Rho = -1.230
(iter 15) [0.0, -0.0631, -0.0408] = 454.9690, sampling [0.0, 0.3333, 0.1825]. Recommendation = [0.0, -0.1312, 0.0450], Current Cost = 18000.00, Rho = -1.230
(iter 18) [0.0, 0.3333, 0.1825] = 455.3457, sampling [0.0, 0.0675, 0.1748]. Recommendation = [0.0, -0.1312, 0.0450], Current Cost = 19000.00, Rho = -1.230
(iter 18) [0.0, 0.3333, 0.1825] = 455.3457, sampling [0.0, 0.4477, 0.6179]. Recommendation = [0.0, -0.1312, 0.0450], Current Cost = 20000.00, Rho = -1.230
(iter 18) [0.0, 0.3333, 0.1825] = 455.3457, sampling [0.0, -0.8335, 0.6442]. Recommendation = [0.0, -0.1312, 0.0450], Current Cost = 21000.00, Rho = -1.230
(iter 18) [0.0, 0.3333, 0.1825] = 455.3457, sampling [0.0, -0.7374, 1.3140]. Recommendation = [0.0, -0.1312, 0.0450], Current Cost = 22000.00, Rho = -1.230
(iter 18) [0.0, 0.3333, 0.1825] = 455.3457, sampling [0.0, -0.2750, 0.4294]. Recommendation = [0.0, -0.1312, 0.0450], Current Cost = 23000.00, Rho = -1.230
(iter 18) [0.0, 0.3333, 0.1825] = 455.3457, sampling [0.0, 0.6282, 0.3506]. Recommendation = [0.0, -0.1312, 0.0450], Current Cost = 24000.00, Rho = -1.230
(iter 24) [0.0, 0.6282, 0.3506] = 455.9681, sampling [0.0, 0.2698, 0.4921]. Recommendation = [0.0, 0.4876, 0.3755], Current Cost = 25000.00, Rho = -1.230
(iter 24) [0.0, 0.6282, 0.3506] = 455.9681, sampling [0.0, -0.2819, -0.0877]. Recommendation = [0.0, -0.1312, 0.0450], Current Cost = 26000.00, Rho = -1.230
(iter 24) [0.0, 0.6282, 0.3506] = 455.9681, sampling [0.0, 0.2383, -0.1682]. Recommendation = [0.0, -0.1312, 0.0450], Current Cost = 27000.00, Rho = -1.230
