(iter 5) [0.0, 0.7484, -0.6961] = 298.4062, sampling [0.0, 0.7555, -1.4579]. Recommendation = [0.0, 0.7484, -0.6961], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.7484, -0.6961] = 298.4062, sampling [0.0, 1.0159, -0.2085]. Recommendation = [0.0, 0.7484, -0.6961], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, 1.0159, -0.2085] = 302.3921, sampling [0.0, 0.5730, -0.2986]. Recommendation = [0.0, 1.0159, -0.2085], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, 0.5730, -0.2986] = 416.8201, sampling [0.0, 0.5078, 0.0666]. Recommendation = [0.0, 0.5730, -0.2986], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, 0.5078, 0.0666] = 452.3993, sampling [0.0, 0.2652, -0.0938]. Recommendation = [0.0, 0.5078, 0.0666], Current Cost = 9000.00, Rho = -1.230
(iter 9) [0.0, 0.2652, -0.0938] = 453.0661, sampling [0.0, 0.2569, 0.1898]. Recommendation = [0.0, 0.3309, -0.0741], Current Cost = 10000.00, Rho = -1.230
(iter 10) [0.0, 0.2569, 0.1898] = 454.2146, sampling [0.0, 0.4974, 0.2917]. Recommendation = [0.0, 0.4082, 0.0287], Current Cost = 11000.00, Rho = -1.230
(iter 11) [0.0, 0.4974, 0.2917] = 455.8515, sampling [0.0, 0.3269, 0.5363]. Recommendation = [0.0, 0.4082, 0.0287], Current Cost = 12000.00, Rho = -1.230
(iter 11) [0.0, 0.4974, 0.2917] = 455.8515, sampling [0.0, 0.4082, 0.0287]. Recommendation = [0.0, 0.4082, 0.0287], Current Cost = 13000.00, Rho = -1.230
(iter 11) [0.0, 0.4974, 0.2917] = 455.8515, sampling [0.0, 0.2459, -0.4806]. Recommendation = [0.0, 0.4974, 0.2917], Current Cost = 14000.00, Rho = -1.230
(iter 11) [0.0, 0.4974, 0.2917] = 455.8515, sampling [0.0, 0.4010, -0.2583]. Recommendation = [0.0, 0.4974, 0.2917], Current Cost = 15000.00, Rho = -1.230
(iter 11) [0.0, 0.4974, 0.2917] = 455.8515, sampling [0.0, 0.0843, 0.3585]. Recommendation = [0.0, 0.4974, 0.2917], Current Cost = 16000.00, Rho = -1.230
(iter 11) [0.0, 0.4974, 0.2917] = 455.8515, sampling [0.0, 0.0073, -0.2036]. Recommendation = [0.0, 0.4974, 0.2917], Current Cost = 17000.00, Rho = -1.230
(iter 11) [0.0, 0.4974, 0.2917] = 455.8515, sampling [0.0, 0.1328, 0.0915]. Recommendation = [0.0, 0.4974, 0.2917], Current Cost = 18000.00, Rho = -1.230
(iter 11) [0.0, 0.4974, 0.2917] = 455.8515, sampling [0.0, 0.5406, 0.8723]. Recommendation = [0.0, 0.1817, -0.0387], Current Cost = 19000.00, Rho = -1.230
(iter 11) [0.0, 0.4974, 0.2917] = 455.8515, sampling [0.0, 0.2185, 0.8043]. Recommendation = [0.0, 0.1817, -0.0387], Current Cost = 20000.00, Rho = -1.230
(iter 11) [0.0, 0.4974, 0.2917] = 455.8515, sampling [0.0, 0.9386, 0.4025]. Recommendation = [0.0, 0.1817, -0.0387], Current Cost = 21000.00, Rho = -1.230
(iter 11) [0.0, 0.4974, 0.2917] = 455.8515, sampling [0.0, 0.6329, 0.3157]. Recommendation = [0.0, 0.1817, -0.0387], Current Cost = 22000.00, Rho = -1.230
(iter 11) [0.0, 0.4974, 0.2917] = 455.8515, sampling [0.0, 0.8299, 0.6868]. Recommendation = [0.0, 0.1817, -0.0387], Current Cost = 23000.00, Rho = -1.230
(iter 23) [0.0, 0.8299, 0.6868] = 456.2707, sampling [0.0, 0.4690, 0.5494]. Recommendation = [0.0, 0.1817, -0.0387], Current Cost = 24000.00, Rho = -1.230
(iter 23) [0.0, 0.8299, 0.6868] = 456.2707, sampling [0.0, 0.7849, -0.0143]. Recommendation = [0.0, 0.1817, -0.0387], Current Cost = 25000.00, Rho = -1.230
(iter 23) [0.0, 0.8299, 0.6868] = 456.2707, sampling [0.0, 0.7963, 1.0583]. Recommendation = [0.0, 0.1817, -0.0387], Current Cost = 26000.00, Rho = -1.230
(iter 23) [0.0, 0.8299, 0.6868] = 456.2707, sampling [0.0, 0.4520, 1.2780]. Recommendation = [0.0, 0.1817, -0.0387], Current Cost = 27000.00, Rho = -1.230
(iter 23) [0.0, 0.8299, 0.6868] = 456.2707, sampling [0.0, 0.8934, 0.2126]. Recommendation = [0.0, 0.1817, -0.0387], Current Cost = 28000.00, Rho = -1.230
(iter 23) [0.0, 0.8299, 0.6868] = 456.2707, sampling [0.0, 0.5473, -0.1265]. Recommendation = [0.0, 0.1817, -0.0387], Current Cost = 29000.00, Rho = -1.230
(iter 23) [0.0, 0.8299, 0.6868] = 456.2707, sampling [0.0, 0.6281, 0.2068]. Recommendation = [0.0, 0.1817, -0.0387], Current Cost = 30000.00, Rho = -1.230
(iter 23) [0.0, 0.8299, 0.6868] = 456.2707, sampling [0.0, 0.4609, 0.7101]. Recommendation = [0.0, 0.1817, -0.0387], Current Cost = 31000.00, Rho = -1.230
(iter 23) [0.0, 0.8299, 0.6868] = 456.2707, sampling [0.0, 0.0798, -0.2715]. Recommendation = [0.0, 0.1817, -0.0387], Current Cost = 32000.00, Rho = -1.230
