(iter 5) [0.0, 0.1571, -0.0121] = 455.4545, sampling [0.0, 0.1148, 0.6412]. Recommendation = [0.0, 0.1571, -0.0121], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.1571, -0.0121] = 455.4545, sampling [0.0, 0.3663, 1.3367]. Recommendation = [0.0, 0.1571, -0.0121], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 0.1571, -0.0121] = 455.4545, sampling [0.0, 0.4403, 0.4371]. Recommendation = [0.0, 0.1571, -0.0121], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, 0.1571, -0.0121] = 455.4545, sampling [0.0, -0.0052, 0.3160]. Recommendation = [0.0, 0.1571, -0.0121], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, 0.1571, -0.0121] = 455.4545, sampling [0.0, -0.3825, 0.9545]. Recommendation = [0.0, 0.1482, 0.1634], Current Cost = 9000.00, Rho = -1.230
(iter 5) [0.0, 0.1571, -0.0121] = 455.4545, sampling [0.0, 0.3365, 0.8800]. Recommendation = [0.0, 0.1571, -0.0121], Current Cost = 10000.00, Rho = -1.230
(iter 5) [0.0, 0.1571, -0.0121] = 455.4545, sampling [0.0, 1.1798, 1.3962]. Recommendation = [0.0, 0.1571, -0.0121], Current Cost = 11000.00, Rho = -1.230
(iter 11) [0.0, 1.1798, 1.3962] = 456.2658, sampling [0.0, 1.1151, 1.9928]. Recommendation = [0.0, 1.1798, 1.3962], Current Cost = 12000.00, Rho = -1.230
(iter 11) [0.0, 1.1798, 1.3962] = 456.2658, sampling [0.0, 1.7717, 1.5823]. Recommendation = [0.0, 1.1798, 1.3962], Current Cost = 13000.00, Rho = -1.230
(iter 11) [0.0, 1.1798, 1.3962] = 456.2658, sampling [0.0, 0.8746, 1.5697]. Recommendation = [0.0, 1.1798, 1.3962], Current Cost = 14000.00, Rho = -1.230
(iter 11) [0.0, 1.1798, 1.3962] = 456.2658, sampling [0.0, 0.9889, 0.9877]. Recommendation = [0.0, 1.1798, 1.3962], Current Cost = 15000.00, Rho = -1.230
(iter 15) [0.0, 0.9889, 0.9877] = 456.2902, sampling [0.0, 0.4367, 1.9552]. Recommendation = [0.0, 0.9889, 0.9877], Current Cost = 16000.00, Rho = -1.230
(iter 15) [0.0, 0.9889, 0.9877] = 456.2902, sampling [0.0, 0.8095, 1.1456]. Recommendation = [0.0, 0.9889, 0.9877], Current Cost = 17000.00, Rho = -1.230
(iter 15) [0.0, 0.9889, 0.9877] = 456.2902, sampling [0.0, 0.2919, 0.2909]. Recommendation = [0.0, 0.9889, 0.9877], Current Cost = 18000.00, Rho = -1.230
(iter 15) [0.0, 0.9889, 0.9877] = 456.2902, sampling [0.0, 0.8392, 0.4938]. Recommendation = [0.0, 0.9889, 0.9877], Current Cost = 19000.00, Rho = -1.230
(iter 15) [0.0, 0.9889, 0.9877] = 456.2902, sampling [0.0, 1.2870, 0.9753]. Recommendation = [0.0, 0.9889, 0.9877], Current Cost = 20000.00, Rho = -1.230
(iter 15) [0.0, 0.9889, 0.9877] = 456.2902, sampling [0.0, -0.3187, 0.5006]. Recommendation = [0.0, 0.9889, 0.9877], Current Cost = 21000.00, Rho = -1.230
(iter 15) [0.0, 0.9889, 0.9877] = 456.2902, sampling [0.0, 0.9703, 0.6990]. Recommendation = [0.0, 0.9889, 0.9877], Current Cost = 22000.00, Rho = -1.230
(iter 15) [0.0, 0.9889, 0.9877] = 456.2902, sampling [0.0, -0.9878, 1.0876]. Recommendation = [0.0, 0.9889, 0.9877], Current Cost = 23000.00, Rho = -1.230
(iter 15) [0.0, 0.9889, 0.9877] = 456.2902, sampling [0.0, -0.8103, 0.6182]. Recommendation = [0.0, 0.9889, 0.9877], Current Cost = 24000.00, Rho = -1.230
(iter 15) [0.0, 0.9889, 0.9877] = 456.2902, sampling [0.0, -0.7100, 0.9638]. Recommendation = [0.0, 0.9889, 0.9877], Current Cost = 25000.00, Rho = -1.230
