(iter 10) [0.0, 0.0475, 0.0323] = 455.3026, sampling [1.0, 0.1437, -0.2140]. Recommendation = [0.0, 0.0475, 0.0323], Current Cost = 5005.00, Rho = 0.665
(iter 10) [0.0, 0.0475, 0.0323] = 455.3026, sampling [1.0, 0.1704, -0.0358]. Recommendation = [0.0, 0.0475, 0.0323], Current Cost = 5006.00, Rho = 0.665
(iter 10) [0.0, 0.0475, 0.0323] = 455.3026, sampling [1.0, 0.2929, -0.4068]. Recommendation = [0.0, 0.0475, 0.0323], Current Cost = 5007.00, Rho = 0.665
(iter 10) [0.0, 0.0475, 0.0323] = 455.3026, sampling [1.0, -0.0497, -0.2904]. Recommendation = [0.0, 0.0475, 0.0323], Current Cost = 5008.00, Rho = 0.665
(iter 10) [0.0, 0.0475, 0.0323] = 455.3026, sampling [1.0, 0.1305, 0.1513]. Recommendation = [0.0, 0.0475, 0.0323], Current Cost = 5009.00, Rho = 0.665
(iter 10) [0.0, 0.0475, 0.0323] = 455.3026, sampling [1.0, 0.3470, -0.0874]. Recommendation = [0.0, 0.0475, 0.0323], Current Cost = 5010.00, Rho = 0.665
(iter 10) [0.0, 0.0475, 0.0323] = 455.3026, sampling [1.0, 0.0855, -0.4889]. Recommendation = [0.0, 0.0475, 0.0323], Current Cost = 5011.00, Rho = 0.665
(iter 10) [0.0, 0.0475, 0.0323] = 455.3026, sampling [1.0, -0.2436, 0.1437]. Recommendation = [0.0, 0.0475, 0.0323], Current Cost = 5012.00, Rho = 0.665
(iter 10) [0.0, 0.0475, 0.0323] = 455.3026, sampling [1.0, 0.1259, 0.4233]. Recommendation = [0.0, 0.0475, 0.0323], Current Cost = 5013.00, Rho = 0.665
(iter 10) [0.0, 0.0475, 0.0323] = 455.3026, sampling [1.0, 0.0667, 0.1056]. Recommendation = [0.0, 0.0475, 0.0323], Current Cost = 5014.00, Rho = 0.665
(iter 10) [0.0, 0.0475, 0.0323] = 455.3026, sampling [1.0, 0.2393, -0.1207]. Recommendation = [0.0, 0.0475, 0.0323], Current Cost = 5015.00, Rho = 0.665
(iter 10) [0.0, 0.0475, 0.0323] = 455.3026, sampling [1.0, 0.3035, -0.7065]. Recommendation = [0.0, 0.0475, 0.0323], Current Cost = 5016.00, Rho = 0.665
(iter 10) [0.0, 0.0475, 0.0323] = 455.3026, sampling [1.0, 0.5045, 0.0643]. Recommendation = [0.0, 0.0475, 0.0323], Current Cost = 5017.00, Rho = 0.665
(iter 10) [0.0, 0.0475, 0.0323] = 455.3026, sampling [1.0, 0.5678, -0.2648]. Recommendation = [0.0, 0.0475, 0.0323], Current Cost = 5018.00, Rho = 0.665
(iter 10) [0.0, 0.0475, 0.0323] = 455.3026, sampling [1.0, 0.1671, 0.2465]. Recommendation = [0.0, 0.0475, 0.0323], Current Cost = 5019.00, Rho = 0.665
(iter 10) [0.0, 0.0475, 0.0323] = 455.3026, sampling [1.0, 0.4372, -0.5036]. Recommendation = [0.0, 0.0475, 0.0323], Current Cost = 5020.00, Rho = 0.665
(iter 10) [0.0, 0.0475, 0.0323] = 455.3026, sampling [1.0, -0.1389, 0.6103]. Recommendation = [0.0, 0.0475, 0.0323], Current Cost = 5021.00, Rho = 0.665
(iter 10) [0.0, 0.0475, 0.0323] = 455.3026, sampling [1.0, -0.3327, -0.1881]. Recommendation = [0.0, 0.0475, 0.0323], Current Cost = 5022.00, Rho = 0.665
