(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.0706, -0.2492]. Recommendation = [0.0, -0.1876, -0.4551], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.1052, -0.1538]. Recommendation = [0.0, 0.0706, -0.2492], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.1441, 0.1166]. Recommendation = [0.0, -0.1052, -0.1538], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.2832, -0.0533]. Recommendation = [0.0, 0.1441, 0.1166], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.0802, 0.0233]. Recommendation = [0.0, 0.1441, 0.1166], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.3558, 0.2893]. Recommendation = [0.0, -0.0933, -0.1157], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.0033, 0.4654]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.1165, 0.2713]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.2911, 0.5632]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.4877, 0.1118]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.5412, 0.4006]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.5595, 0.7659]. Recommendation = [0.0, 0.4164, 0.3271], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.7649, 0.5469]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.1052, 0.8940]. Recommendation = [0.0, 0.6107, 0.5292], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.6107, 0.5292]. Recommendation = [0.0, 0.6107, 0.5292], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.7899, 0.3739]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.5350, -0.1989]. Recommendation = [0.0, 0.7359, 0.4620], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.6491, 0.0904]. Recommendation = [0.0, 0.7359, 0.4620], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.2533, -0.4238]. Recommendation = [0.0, 0.7359, 0.4620], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.3466, -0.1603]. Recommendation = [0.0, 0.7359, 0.4620], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.4313, 0.5114]. Recommendation = [0.0, 0.7359, 0.4620], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.2333, 0.4324]. Recommendation = [0.0, 0.7359, 0.4620], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.9779, 0.7854]. Recommendation = [0.0, 0.7359, 0.4620], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.8007, 0.9273]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.8948, 0.5830]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.4951, 1.0765]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 1.0295, 0.2592]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.3771, 0.8217]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 1.0941, 0.5956]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.2771, 0.2797]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.2083, 0.7100]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.3554, 1.2444]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.0875, 0.6618]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.7237, -0.0835]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.6840, 0.9115]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.0569, 0.2231]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.4516, 0.4954]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.4024, 0.7804]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.3883, 0.1648]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.2896, -0.2364]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.1442, 0.0605]. Recommendation = [0.0, -0.1442, 0.0605], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.9438, 1.0089]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.8169, 1.1713]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.1033, 1.3434]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.4985, 0.3414]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.7159, 1.3010]. Recommendation = [0.0, -0.3186, 0.2240], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.6953, 1.6651]. Recommendation = [0.0, -0.3186, 0.2240], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.6983, 0.7144]. Recommendation = [0.0, -0.3186, 0.2240], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.5431, 0.6372]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.4958, 0.9762]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.1293, -0.4705]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.9815, 1.1255]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.7928, 0.8078]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.8728, 1.2394]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -1.1603, 1.2732]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -1.0226, 1.6180]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -1.1575, 0.9748]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.9754, 0.7459]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -1.1327, 1.0842]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -1.0895, 1.2495]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 1.1503, 0.8136]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.6747, 0.1931]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.4679, -0.1381]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5067.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.5718, 0.2961]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5068.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.6634, 0.6167]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5069.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.8690, 0.7220]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5070.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.4551, -0.3341]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5071.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -1.3138, 1.3842]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5072.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.8154, 1.0606]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5073.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.7359, 0.4620]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5074.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 1.1656, 1.0360]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5075.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.4164, 0.3271]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5076.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.1530, 0.9672]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5077.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -1.3352, 1.0492]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5078.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -1.0074, 0.4089]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5079.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.8602, 0.2498]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5080.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -1.2382, 0.7736]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5081.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.0735, 0.4813]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5082.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 1.1283, 1.3615]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5083.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.8599, 1.5886]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5084.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.7105, 1.3065]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5085.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 1.2747, 1.3137]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5086.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 1.3074, 1.1464]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5087.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 1.0874, 1.4573]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5088.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.9149, 0.2843]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5089.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 1.0040, -0.0601]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5090.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, 0.3332, 0.6913]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5091.00, Rho = 1.000
(iter 10) [0.0, -0.1876, -0.4551] = 430.8487, sampling [1.0, -0.3186, 0.2240]. Recommendation = [0.0, -0.0802, 0.0233], Current Cost = 5092.00, Rho = 1.000
