(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, -0.6616, 1.5338]. Recommendation = [0.0, -0.9809, 1.7483], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, -0.9665, 1.5721]. Recommendation = [0.0, -0.9809, 1.7483], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, 0.0989, 0.4147]. Recommendation = [0.0, -0.9665, 1.5721], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, 0.0742, 0.1335]. Recommendation = [0.0, 0.0989, 0.4147], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, -0.2073, 0.3343]. Recommendation = [0.0, 0.0742, 0.1335], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, -0.0498, 0.2708]. Recommendation = [0.0, 0.0742, 0.1335], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, -0.1213, -0.0709]. Recommendation = [0.0, 0.0742, 0.1335], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, -0.0951, 0.1207]. Recommendation = [0.0, -0.0667, 0.1395], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, 0.1824, 0.0151]. Recommendation = [0.0, -0.0667, 0.1395], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, 0.2871, 0.3139]. Recommendation = [0.0, 0.1824, 0.0151], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, -0.1755, 0.7169]. Recommendation = [0.0, 0.1445, 0.1443], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, -0.1172, -0.3465]. Recommendation = [0.0, 0.1824, 0.0151], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, -0.3759, 0.0788]. Recommendation = [0.0, 0.1824, 0.0151], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, -0.2570, -0.1317]. Recommendation = [0.0, 0.1824, 0.0151], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, -0.3944, 0.3010]. Recommendation = [0.0, 0.1824, 0.0151], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, -0.3106, 0.2537]. Recommendation = [0.0, 0.1824, 0.0151], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, 0.1862, -0.3159]. Recommendation = [0.0, 0.1824, 0.0151], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, 0.2963, -0.1006]. Recommendation = [0.0, 0.1824, 0.0151], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, 0.4847, 0.1548]. Recommendation = [0.0, 0.1824, 0.0151], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, 0.5051, 0.5165]. Recommendation = [0.0, 0.1445, 0.1443], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, 0.3627, 0.6275]. Recommendation = [0.0, 0.1824, 0.0151], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, 0.3537, 0.3434]. Recommendation = [0.0, 0.1824, 0.0151], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, 0.5826, 0.2166]. Recommendation = [0.0, 0.1824, 0.0151], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.9809, 1.7483] = 390.5620, sampling [1.0, 0.1445, 0.1443]. Recommendation = [0.0, 0.1824, 0.0151], Current Cost = 5028.00, Rho = 1.000
