(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.1631, -0.6229]. Recommendation = [0.0, 0.2040, -0.8367], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.3647, -0.5375]. Recommendation = [0.0, 0.1631, -0.6229], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.3525, -0.7266]. Recommendation = [0.0, 0.1631, -0.6229], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.1595, -0.4330]. Recommendation = [0.0, 0.1631, -0.6229], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.3139, -0.3492]. Recommendation = [0.0, 0.1595, -0.4330], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.4103, -0.1166]. Recommendation = [0.0, 0.3139, -0.3492], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.5596, -0.2896]. Recommendation = [0.0, 0.4103, -0.1166], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.0833, 0.0339]. Recommendation = [0.0, 0.4103, -0.1166], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.2658, 0.1656]. Recommendation = [0.0, 0.0833, 0.0339], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.0427, -0.3036]. Recommendation = [0.0, 0.0833, 0.0339], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, -0.0237, 0.3636]. Recommendation = [0.0, 0.0833, 0.0339], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.1951, 0.3229]. Recommendation = [0.0, 0.0833, 0.0339], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, -0.0100, 0.1925]. Recommendation = [0.0, 0.0911, 0.1035], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.4531, 0.2506]. Recommendation = [0.0, 0.0911, 0.1035], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.2523, 0.6284]. Recommendation = [0.0, 0.0911, 0.1035], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.3097, 0.3766]. Recommendation = [0.0, 0.0911, 0.1035], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, -0.1089, 0.6433]. Recommendation = [0.0, 0.0911, 0.1035], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.0655, 1.0351]. Recommendation = [0.0, 0.0911, 0.1035], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.6941, 0.0917]. Recommendation = [0.0, 0.0911, 0.1035], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.5620, -0.1011]. Recommendation = [0.0, 0.0911, 0.1035], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.5004, 0.4595]. Recommendation = [0.0, 0.0911, 0.1035], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.7287, 0.2877]. Recommendation = [0.0, 0.0911, 0.1035], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.5121, 0.6705]. Recommendation = [0.0, 0.0911, 0.1035], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.7153, 0.5642]. Recommendation = [0.0, 0.0911, 0.1035], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.7388, 0.4322]. Recommendation = [0.0, 0.0911, 0.1035], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.4232, 0.8683]. Recommendation = [0.0, 0.0911, 0.1035], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, -0.1550, 0.1224]. Recommendation = [0.0, 0.0911, 0.1035], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, -0.2316, 0.4233]. Recommendation = [0.0, 0.0911, 0.1035], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, -0.0011, 0.4499]. Recommendation = [0.0, 0.0911, 0.1035], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, 0.4349, 0.3717]. Recommendation = [0.0, 0.0911, 0.1035], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, -0.3429, 0.9570]. Recommendation = [0.0, 0.0911, 0.1035], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, -0.1386, 0.8306]. Recommendation = [0.0, 0.0911, 0.1035], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, -0.1849, -0.2834]. Recommendation = [0.0, 0.0911, 0.1035], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, -0.3232, -0.0307]. Recommendation = [0.0, 0.0271, 0.0736], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, -0.4096, 0.2186]. Recommendation = [0.0, 0.0271, 0.0736], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.2040, -0.8367] = 378.5215, sampling [1.0, -0.4526, 0.5868]. Recommendation = [0.0, 0.0271, 0.0736], Current Cost = 5040.00, Rho = 1.000
