(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, -0.0852, 0.5597]. Recommendation = [0.0, 0.3052, -0.0289], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, 0.3257, 0.5261]. Recommendation = [0.0, 0.3052, -0.0289], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, -0.0128, 1.0687]. Recommendation = [0.0, 0.3052, -0.0289], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, 0.2302, 0.1704]. Recommendation = [0.0, 0.3052, -0.0289], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, -0.1637, 0.0774]. Recommendation = [0.0, 0.2302, 0.1704], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, -0.5555, 0.5720]. Recommendation = [0.0, 0.2134, 0.1531], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, -0.3608, 0.3169]. Recommendation = [0.0, 0.2134, 0.1531], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, -0.5658, 0.9573]. Recommendation = [0.0, 0.2134, 0.1531], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, -1.0012, 0.6220]. Recommendation = [0.0, 0.2134, 0.1531], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, -0.7432, 0.0657]. Recommendation = [0.0, 0.2134, 0.1531], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, -0.5763, 0.2017]. Recommendation = [0.0, 0.2134, 0.1531], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, -1.0667, 1.0421]. Recommendation = [0.0, 0.2134, 0.1531], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, -0.8124, 0.9505]. Recommendation = [0.0, 0.2134, 0.1531], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, -1.4813, 0.7868]. Recommendation = [0.0, 0.2134, 0.1531], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, -0.3452, 0.7377]. Recommendation = [0.0, 0.2134, 0.1531], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, 0.2805, 0.7755]. Recommendation = [0.0, 0.2134, 0.1531], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, -1.1094, 0.3302]. Recommendation = [0.0, 0.2134, 0.1531], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, -0.0215, -0.1351]. Recommendation = [0.0, 0.2134, 0.1531], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, -0.7311, 1.2243]. Recommendation = [0.0, 0.2134, 0.1531], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, 0.5797, 0.4065]. Recommendation = [0.0, 0.2134, 0.1531], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, -0.3161, 0.1205]. Recommendation = [0.0, 0.2134, 0.1531], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, 0.4405, 0.1076]. Recommendation = [0.0, 0.2134, 0.1531], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, -0.6292, 0.6967]. Recommendation = [0.0, 0.3390, 0.1897], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, 0.7299, 0.5649]. Recommendation = [0.0, 0.3390, 0.1897], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, 0.5045, 0.6641]. Recommendation = [0.0, 0.3390, 0.1897], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, 0.6002, 1.4361]. Recommendation = [0.0, 0.3390, 0.1897], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, 0.9143, 0.8091]. Recommendation = [0.0, 0.3390, 0.1897], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.3052, -0.0289] = 454.3273, sampling [1.0, 0.7614, 0.9106]. Recommendation = [0.0, 0.3390, 0.1897], Current Cost = 5032.00, Rho = 1.000
