(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, 0.8752, 0.5134]. Recommendation = [0.0, 1.1817, 1.2267], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, 0.4088, 0.0203]. Recommendation = [0.0, 1.1817, 1.2267], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, 0.9871, 0.9363]. Recommendation = [0.0, 1.1817, 1.2267], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, 0.5708, 0.4349]. Recommendation = [0.0, 0.9871, 0.9363], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, 0.7960, 0.0673]. Recommendation = [0.0, 0.9871, 0.9363], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, 0.1629, -0.2879]. Recommendation = [0.0, 0.9871, 0.9363], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, 1.2313, 0.8802]. Recommendation = [0.0, 0.9871, 0.9363], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, 0.6661, 0.6647]. Recommendation = [0.0, 0.9871, 0.9363], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, 0.1591, 0.4223]. Recommendation = [0.0, 0.9871, 0.9363], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, 0.3741, 0.2185]. Recommendation = [0.0, 0.9871, 0.9363], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, -0.2399, -0.1872]. Recommendation = [0.0, 0.9871, 0.9363], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, 0.2560, 0.0622]. Recommendation = [0.0, 0.9871, 0.9363], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, 0.8596, 1.1257]. Recommendation = [0.0, 0.9871, 0.9363], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, 0.8491, 0.8434]. Recommendation = [0.0, 0.9871, 0.9363], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, 0.4228, 0.6762]. Recommendation = [0.0, 0.9871, 0.9363], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, -0.0919, 0.1915]. Recommendation = [0.0, 0.9871, 0.9363], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, 0.5863, 0.1647]. Recommendation = [0.0, 0.9871, 0.9363], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, 0.0151, -0.4894]. Recommendation = [0.0, 0.9871, 0.9363], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, 0.3624, -0.2489]. Recommendation = [0.0, 0.9871, 0.9363], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, 1.1448, 0.4752]. Recommendation = [0.0, 0.9871, 0.9363], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, 1.0485, 1.0616]. Recommendation = [0.0, 0.9871, 0.9363], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, 0.8824, 0.7204]. Recommendation = [0.0, 1.0485, 1.0616], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 1.1817, 1.2267] = 453.3887, sampling [1.0, 0.7857, 0.4307]. Recommendation = [0.0, 1.0485, 1.0616], Current Cost = 5027.00, Rho = 1.000
