(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 0.0182, 0.5817]. Recommendation = [0.0, -0.0007, 0.2435], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, -0.0798, 0.4572]. Recommendation = [0.0, -0.0007, 0.2435], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 0.2650, 0.7061]. Recommendation = [0.0, -0.0007, 0.2435], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 0.2137, 0.2590]. Recommendation = [0.0, -0.0007, 0.2435], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 0.0627, 0.2219]. Recommendation = [0.0, 0.2137, 0.2590], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 0.1856, 0.6128]. Recommendation = [0.0, 0.2137, 0.2590], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 0.3843, 0.2891]. Recommendation = [0.0, 0.2137, 0.2590], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 0.5366, 0.5056]. Recommendation = [0.0, 0.3843, 0.2891], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 0.3650, 0.6076]. Recommendation = [0.0, 0.3843, 0.2891], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 0.6203, 0.6682]. Recommendation = [0.0, 0.3843, 0.2891], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 0.4504, 0.9814]. Recommendation = [0.0, 0.3843, 0.2891], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 0.5286, 0.4538]. Recommendation = [0.0, 0.3843, 0.2891], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 0.6039, 0.5326]. Recommendation = [0.0, 0.3843, 0.2891], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 0.7276, 0.4705]. Recommendation = [0.0, 0.3843, 0.2891], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 0.7812, 0.6771]. Recommendation = [0.0, 0.7276, 0.4705], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 0.8355, 0.8558]. Recommendation = [0.0, 0.7812, 0.6771], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 0.6521, 0.9529]. Recommendation = [0.0, 0.7812, 0.6771], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 0.8544, 0.6581]. Recommendation = [0.0, 0.7812, 0.6771], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 1.0176, 0.8972]. Recommendation = [0.0, 0.8257, 0.6903], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 0.8471, 1.0534]. Recommendation = [0.0, 0.8257, 0.6903], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 1.0941, 0.6365]. Recommendation = [0.0, 0.8257, 0.6903], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 0.9863, 0.9640]. Recommendation = [0.0, 0.8257, 0.6903], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 0.7756, 0.4897]. Recommendation = [0.0, 0.8257, 0.6903], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.0007, 0.2435] = 449.3689, sampling [1.0, 1.0835, 1.0056]. Recommendation = [0.0, 0.8257, 0.6903], Current Cost = 5028.00, Rho = 1.000
