(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, 0.0174, 0.7665]. Recommendation = [0.0, -0.2823, -0.2497], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, 0.1875, 1.2603]. Recommendation = [0.0, -0.2823, -0.2497], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -0.3545, 0.2996]. Recommendation = [0.0, -0.2823, -0.2497], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, 0.0762, 0.2240]. Recommendation = [0.0, -0.3545, 0.2996], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -0.4252, 0.8385]. Recommendation = [0.0, -0.1633, 0.1514], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -0.1203, 0.4286]. Recommendation = [0.0, -0.1633, 0.1514], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, 0.2587, 0.4680]. Recommendation = [0.0, -0.1633, 0.1514], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, 0.4743, 0.9221]. Recommendation = [0.0, -0.1633, 0.1514], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -0.1633, 0.1514]. Recommendation = [0.0, -0.1633, 0.1514], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -0.7616, 0.5285]. Recommendation = [0.0, -0.1633, 0.1514], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -0.4686, 0.5623]. Recommendation = [0.0, -0.1633, 0.1514], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -0.8885, 0.9818]. Recommendation = [0.0, -0.1633, 0.1514], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -0.5350, 0.0541]. Recommendation = [0.0, -0.1633, 0.1514], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -0.7066, 0.8001]. Recommendation = [0.0, -0.3086, 0.2444], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -0.2271, 1.1364]. Recommendation = [0.0, -0.3086, 0.2444], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, 0.4674, 1.7862]. Recommendation = [0.0, -0.3086, 0.2444], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -1.0563, 1.4047]. Recommendation = [0.0, -0.3086, 0.2444], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -1.3247, 0.9409]. Recommendation = [0.0, -0.3086, 0.2444], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -1.0696, 1.9760]. Recommendation = [0.0, -0.3086, 0.2444], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -1.5645, 1.5350]. Recommendation = [0.0, -0.3086, 0.2444], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -0.6228, 1.9540]. Recommendation = [0.0, -0.3086, 0.2444], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -1.1990, 1.6411]. Recommendation = [0.0, -0.3086, 0.2444], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -1.2272, 1.2468]. Recommendation = [0.0, -0.3086, 0.2444], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -1.1805, 0.5497]. Recommendation = [0.0, -0.3086, 0.2444], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -0.8164, 0.1674]. Recommendation = [0.0, -0.3086, 0.2444], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -1.7422, 1.9623]. Recommendation = [0.0, -0.5021, 0.2099], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -1.9175, 1.2270]. Recommendation = [0.0, -0.5021, 0.2099], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -1.4408, 1.9344]. Recommendation = [0.0, -0.5021, 0.2099], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, 0.0383, -0.0287]. Recommendation = [0.0, -0.5021, 0.2099], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -0.5843, 0.2576]. Recommendation = [0.0, -0.2593, -0.0603], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -0.2593, -0.0603]. Recommendation = [0.0, -0.2593, -0.0603], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, -0.8457, 1.5060]. Recommendation = [0.0, -0.0152, 0.0480], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, 0.8214, 0.6123]. Recommendation = [0.0, -0.0152, 0.0480], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, 0.6507, 0.3173]. Recommendation = [0.0, -0.0152, 0.0480], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, 0.4307, 0.1117]. Recommendation = [0.0, -0.0152, 0.0480], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, 1.1876, 1.0925]. Recommendation = [0.0, -0.0152, 0.0480], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, 1.0094, 0.8088]. Recommendation = [0.0, -0.0152, 0.0480], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.2823, -0.2497] = 443.8042, sampling [1.0, 1.1006, 1.4346]. Recommendation = [0.0, 0.7975, 0.7579], Current Cost = 5042.00, Rho = 1.000
