(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.0887, 0.0532]. Recommendation = [0.0, -0.1836, -0.3291], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.1722, -0.2180]. Recommendation = [0.0, 0.0887, 0.0532], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.0967, -0.1376]. Recommendation = [0.0, 0.0887, 0.0532], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.2905, 0.3657]. Recommendation = [0.0, 0.0887, 0.0532], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.4953, 0.9622]. Recommendation = [0.0, 0.0887, 0.0532], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.1121, 0.6622]. Recommendation = [0.0, 0.0887, 0.0532], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.0453, 0.3464]. Recommendation = [0.0, 0.0887, 0.0532], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.4437, 0.5908]. Recommendation = [0.0, 0.0887, 0.0532], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.3515, 0.1317]. Recommendation = [0.0, 0.0887, 0.0532], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.4344, 1.2839]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.4047, -0.0676]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.6722, 0.5290]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.6122, 0.0830]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.7676, 0.7875]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.0109, -0.2926]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.6332, 0.8408]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.0441, 0.2605]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.3241, -0.3763]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.2812, 0.7502]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.6940, -0.3069]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.3189, -0.2129]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.1295, -0.4704]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.3633, 0.2972]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.8072, 1.1708]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.3113, -0.0447]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.3748, 0.2262]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.2176, 0.6145]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.1917, 0.4440]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.0510, 0.9753]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.0241, 0.5763]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.5025, -0.0290]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.7004, 0.6973]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.4712, 0.5054]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.9255, 0.5411]. Recommendation = [0.0, 0.2777, 0.1029], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.9383, -0.0200]. Recommendation = [0.0, 0.3515, 0.1317], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.9359, 0.8235]. Recommendation = [0.0, 0.3515, 0.1317], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.2777, 0.1029]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.4192, 0.5527]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.4856, 0.3439]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.2527, 0.8906]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.2626, -0.6897]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.6416, -0.5768]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.1260, -0.5267]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.3610, -0.2076]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, 0.8287, 0.7319]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.5108, -0.0871]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.6551, 0.6516]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.6153, 0.4378]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.6964, 0.2752]. Recommendation = [0.0, -0.5549, 0.5256], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.5549, 0.5256]. Recommendation = [0.0, -0.3900, 0.1554], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.4937, 1.0593]. Recommendation = [0.0, -0.3900, 0.1554], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.7665, 0.8785]. Recommendation = [0.0, -0.3900, 0.1554], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.6423, 0.7601]. Recommendation = [0.0, -0.3900, 0.1554], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.8195, 0.4606]. Recommendation = [0.0, -0.3900, 0.1554], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.7482, 0.0896]. Recommendation = [0.0, -0.6838, 0.4918], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.0900, 1.3952]. Recommendation = [0.0, -0.3900, 0.1554], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.3900, 0.1554]. Recommendation = [0.0, -0.3900, 0.1554], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -1.0153, 0.5134]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.9446, 0.9050]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.8807, 1.2663]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.8429, 1.0018]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -1.2027, 0.9901]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.9974, 1.0553]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5067.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.7921, 0.7786]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5068.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -1.1594, 1.3613]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5069.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.9105, 1.5135]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5070.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.6900, 1.3024]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5071.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.9836, 1.2445]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5072.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -1.4339, 1.1566]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5073.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -1.3216, 0.8074]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5074.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.9341, 0.3167]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5075.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -1.1975, 1.6692]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5076.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -1.2566, 1.4299]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5077.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -0.6006, 1.7099]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5078.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -1.0320, 1.6517]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5079.00, Rho = 1.000
(iter 10) [0.0, -0.1836, -0.3291] = 441.7349, sampling [1.0, -1.2326, 1.2924]. Recommendation = [0.0, 0.8287, 0.7319], Current Cost = 5080.00, Rho = 1.000
