(iter 5) [0.0, 1.1666, 0.1193] = 302.1318, sampling [0.0, 0.8951, -0.1865]. Recommendation = [0.0, 1.1666, 0.1193], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.8951, -0.1865] = 358.7290, sampling [0.0, 0.7871, -0.4932]. Recommendation = [0.0, 0.8951, -0.1865], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 0.8951, -0.1865] = 358.7290, sampling [0.0, 0.6915, -0.1539]. Recommendation = [0.0, 0.8951, -0.1865], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, 0.6915, -0.1539] = 416.2550, sampling [0.0, 0.6871, 0.0200]. Recommendation = [0.0, 0.6915, -0.1539], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, 0.6871, 0.0200] = 435.7679, sampling [0.0, 0.3439, -0.1160]. Recommendation = [0.0, 0.6871, 0.0200], Current Cost = 9000.00, Rho = -1.230
(iter 9) [0.0, 0.3439, -0.1160] = 450.3817, sampling [0.0, 0.3267, 0.0393]. Recommendation = [0.0, 0.3439, -0.1160], Current Cost = 10000.00, Rho = -1.230
(iter 10) [0.0, 0.3267, 0.0393] = 455.3910, sampling [0.0, 0.5316, 0.2280]. Recommendation = [0.0, 0.3267, 0.0393], Current Cost = 11000.00, Rho = -1.230
(iter 11) [0.0, 0.5316, 0.2280] = 455.7820, sampling [0.0, 0.5877, 0.1981]. Recommendation = [0.0, 0.5316, 0.2280], Current Cost = 12000.00, Rho = -1.230
(iter 11) [0.0, 0.5316, 0.2280] = 455.7820, sampling [0.0, 0.1319, 0.0062]. Recommendation = [0.0, 0.5316, 0.2280], Current Cost = 13000.00, Rho = -1.230
(iter 11) [0.0, 0.5316, 0.2280] = 455.7820, sampling [0.0, 0.1778, 0.3088]. Recommendation = [0.0, 0.5316, 0.2280], Current Cost = 14000.00, Rho = -1.230
(iter 11) [0.0, 0.5316, 0.2280] = 455.7820, sampling [0.0, 0.0908, 0.1819]. Recommendation = [0.0, 0.5316, 0.2280], Current Cost = 15000.00, Rho = -1.230
(iter 11) [0.0, 0.5316, 0.2280] = 455.7820, sampling [0.0, 0.2699, -0.0628]. Recommendation = [0.0, 0.5316, 0.2280], Current Cost = 16000.00, Rho = -1.230
(iter 11) [0.0, 0.5316, 0.2280] = 455.7820, sampling [0.0, 0.2848, 0.3772]. Recommendation = [0.0, 0.5316, 0.2280], Current Cost = 17000.00, Rho = -1.230
(iter 11) [0.0, 0.5316, 0.2280] = 455.7820, sampling [0.0, 0.5447, 0.3422]. Recommendation = [0.0, 0.5316, 0.2280], Current Cost = 18000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, 0.0564, -0.0854]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 19000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, 0.2972, -0.4275]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 20000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.0542, 0.1685]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 21000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.1334, 0.0520]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 22000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.0907, -0.3042]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 23000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, 0.0543, -0.4519]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 24000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.0376, 0.2790]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 25000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, 0.4379, 0.5024]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 26000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, 0.1108, 0.4515]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 27000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.2221, 0.1880]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 28000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.1585, 0.3700]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 29000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, 0.6698, 0.3221]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 30000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.1676, 0.1105]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 31000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, 0.5634, 0.3948]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 32000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, 0.2322, 0.5349]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 33000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, 0.6513, 0.5660]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 34000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, 0.5225, 0.6491]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 35000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, 0.7804, 0.3531]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 36000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, 0.7977, 0.4767]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 37000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, 0.2926, 0.7481]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 38000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.3461, 0.4609]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 39000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.5150, 0.0937]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 40000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.4882, -0.0761]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 41000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.5980, 0.3465]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 42000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.5447, 0.4052]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 43000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.2011, -0.3029]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 44000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.3265, 0.6253]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 45000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.6550, 0.2569]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 46000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.7124, 0.5537]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 47000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.8605, 0.2419]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 48000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.6117, 0.8744]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 49000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.3092, 0.9155]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 50000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.9492, 0.6053]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 51000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.8375, 0.9058]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 52000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.7000, 0.8532]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 53000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.4159, 0.5950]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 54000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -1.0275, 0.4145]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 55000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.7313, 0.2518]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 56000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.2241, 0.2333]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 57000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.1965, 0.4354]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 58000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, -0.0237, -0.3900]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 59000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, 0.7119, 0.3019]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 60000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, 0.6142, -0.1012]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 61000.00, Rho = -1.230
(iter 18) [0.0, 0.5447, 0.3422] = 455.8855, sampling [0.0, 0.0823, -0.6683]. Recommendation = [0.0, 0.5447, 0.3422], Current Cost = 62000.00, Rho = -1.230
