(iter 5) [0.0, 0.1356, -0.5644] = 421.5863, sampling [0.0, 0.3111, -0.3158]. Recommendation = [0.0, 0.1356, -0.5644], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.3111, -0.3158] = 438.7992, sampling [0.0, 0.3485, -0.1203]. Recommendation = [0.0, 0.3111, -0.3158], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, 0.3485, -0.1203] = 450.0307, sampling [0.0, 0.5801, -0.0519]. Recommendation = [0.0, 0.3485, -0.1203], Current Cost = 7000.00, Rho = -1.230
(iter 6) [0.0, 0.3485, -0.1203] = 450.0307, sampling [0.0, 0.4899, 0.1185]. Recommendation = [0.0, 0.3485, -0.1203], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, 0.4899, 0.1185] = 454.5640, sampling [0.0, 0.2008, 0.0682]. Recommendation = [0.0, 0.4899, 0.1185], Current Cost = 9000.00, Rho = -1.230
(iter 9) [0.0, 0.2008, 0.0682] = 455.5837, sampling [0.0, 0.2862, 0.2374]. Recommendation = [0.0, 0.2008, 0.0682], Current Cost = 10000.00, Rho = -1.230
(iter 9) [0.0, 0.2008, 0.0682] = 455.5837, sampling [0.0, 0.2999, -0.0676]. Recommendation = [0.0, 0.2008, 0.0682], Current Cost = 11000.00, Rho = -1.230
(iter 9) [0.0, 0.2008, 0.0682] = 455.5837, sampling [0.0, 0.5264, 0.4322]. Recommendation = [0.0, 0.2008, 0.0682], Current Cost = 12000.00, Rho = -1.230
(iter 9) [0.0, 0.2008, 0.0682] = 455.5837, sampling [0.0, 0.3353, 0.4063]. Recommendation = [0.0, 0.2008, 0.0682], Current Cost = 13000.00, Rho = -1.230
(iter 9) [0.0, 0.2008, 0.0682] = 455.5837, sampling [0.0, 0.6881, 0.1076]. Recommendation = [0.0, 0.2008, 0.0682], Current Cost = 14000.00, Rho = -1.230
(iter 9) [0.0, 0.2008, 0.0682] = 455.5837, sampling [0.0, 0.6813, 0.4763]. Recommendation = [0.0, 0.2008, 0.0682], Current Cost = 15000.00, Rho = -1.230
