(iter 10) [0.0, 0.2908, 0.3723] = 447.5174, sampling [1.0, -0.1050, 0.4601]. Recommendation = [0.0, 0.2908, 0.3723], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.2908, 0.3723] = 447.5174, sampling [1.0, 0.1018, 0.3276]. Recommendation = [0.0, 0.2908, 0.3723], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.2908, 0.3723] = 447.5174, sampling [1.0, -0.2258, 0.1689]. Recommendation = [0.0, 0.2908, 0.3723], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.2908, 0.3723] = 447.5174, sampling [1.0, -0.4507, 0.3157]. Recommendation = [0.0, -0.2258, 0.1689], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.2908, 0.3723] = 447.5174, sampling [1.0, -0.3024, 0.2705]. Recommendation = [0.0, -0.3024, 0.2705], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.2908, 0.3723] = 447.5174, sampling [1.0, 0.0767, 0.2065]. Recommendation = [0.0, -0.2258, 0.1689], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.2908, 0.3723] = 447.5174, sampling [1.0, -0.1939, -0.0510]. Recommendation = [0.0, -0.2258, 0.1689], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.2908, 0.3723] = 447.5174, sampling [1.0, -0.4204, 0.1226]. Recommendation = [0.0, -0.1939, -0.0510], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.2908, 0.3723] = 447.5174, sampling [1.0, -0.6517, 0.4945]. Recommendation = [0.0, -0.3202, 0.2133], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.2908, 0.3723] = 447.5174, sampling [1.0, -0.5992, 0.2317]. Recommendation = [0.0, -0.1939, -0.0510], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.2908, 0.3723] = 447.5174, sampling [1.0, -0.4907, 0.0063]. Recommendation = [0.0, -0.4694, 0.2890], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.2908, 0.3723] = 447.5174, sampling [1.0, -0.2589, -0.1874]. Recommendation = [0.0, -0.4694, 0.2890], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.2908, 0.3723] = 447.5174, sampling [1.0, 0.0951, -0.1479]. Recommendation = [0.0, -0.4694, 0.2890], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.2908, 0.3723] = 447.5174, sampling [1.0, -0.1355, -0.1717]. Recommendation = [0.0, -0.4694, 0.2890], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.2908, 0.3723] = 447.5174, sampling [1.0, 0.1459, 0.1164]. Recommendation = [0.0, -0.4694, 0.2890], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.2908, 0.3723] = 447.5174, sampling [1.0, -0.5411, 0.1391]. Recommendation = [0.0, 0.1459, 0.1164], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.2908, 0.3723] = 447.5174, sampling [1.0, 0.0184, -0.2723]. Recommendation = [0.0, 0.1459, 0.1164], Current Cost = 5021.00, Rho = 1.000
