(iter 5) [0.0, 0.5639, -0.7291] = 346.4539, sampling [0.0, 0.4867, -0.5168]. Recommendation = [0.0, 0.5639, -0.7291], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.4867, -0.5168] = 399.2377, sampling [0.0, 0.4255, -0.4059]. Recommendation = [0.0, 0.4867, -0.5168], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, 0.4255, -0.4059] = 421.5165, sampling [0.0, 0.3525, -0.2901]. Recommendation = [0.0, 0.4255, -0.4059], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, 0.3525, -0.2901] = 438.7125, sampling [0.0, 0.1727, -0.2651]. Recommendation = [0.0, 0.3525, -0.2901], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, 0.1727, -0.2651] = 446.9162, sampling [0.0, 0.1783, -0.1730]. Recommendation = [0.0, 0.1727, -0.2651], Current Cost = 9000.00, Rho = -1.230
(iter 9) [0.0, 0.1783, -0.1730] = 451.4300, sampling [0.0, 0.2977, -0.2544]. Recommendation = [0.0, 0.1783, -0.1730], Current Cost = 10000.00, Rho = -1.230
(iter 9) [0.0, 0.1783, -0.1730] = 451.4300, sampling [0.0, 0.1394, -0.0341]. Recommendation = [0.0, 0.1783, -0.1730], Current Cost = 11000.00, Rho = -1.230
(iter 11) [0.0, 0.1394, -0.0341] = 455.2723, sampling [0.0, 0.3608, -0.0902]. Recommendation = [0.0, 0.1394, -0.0341], Current Cost = 12000.00, Rho = -1.230
(iter 11) [0.0, 0.1394, -0.0341] = 455.2723, sampling [0.0, 0.2521, 0.0365]. Recommendation = [0.0, 0.1394, -0.0341], Current Cost = 13000.00, Rho = -1.230
(iter 13) [0.0, 0.2521, 0.0365] = 455.6676, sampling [0.0, -0.0768, 0.0878]. Recommendation = [0.0, 0.2521, 0.0365], Current Cost = 14000.00, Rho = -1.230
(iter 13) [0.0, 0.2521, 0.0365] = 455.6676, sampling [0.0, -0.0953, -0.1035]. Recommendation = [0.0, 0.2521, 0.0365], Current Cost = 15000.00, Rho = -1.230
(iter 13) [0.0, 0.2521, 0.0365] = 455.6676, sampling [0.0, 0.1915, 0.1671]. Recommendation = [0.0, 0.2521, 0.0365], Current Cost = 16000.00, Rho = -1.230
(iter 13) [0.0, 0.2521, 0.0365] = 455.6676, sampling [0.0, 0.0109, 0.2559]. Recommendation = [0.0, 0.2521, 0.0365], Current Cost = 17000.00, Rho = -1.230
(iter 13) [0.0, 0.2521, 0.0365] = 455.6676, sampling [0.0, -0.2021, 0.1019]. Recommendation = [0.0, 0.2521, 0.0365], Current Cost = 18000.00, Rho = -1.230
(iter 13) [0.0, 0.2521, 0.0365] = 455.6676, sampling [0.0, -0.2449, 0.2239]. Recommendation = [0.0, 0.2521, 0.0365], Current Cost = 19000.00, Rho = -1.230
(iter 13) [0.0, 0.2521, 0.0365] = 455.6676, sampling [0.0, -0.1896, 0.3202]. Recommendation = [0.0, 0.2521, 0.0365], Current Cost = 20000.00, Rho = -1.230
