(iter 5) [0.0, 0.4194, 0.0126] = 453.2972, sampling [0.0, 0.0344, 0.4412]. Recommendation = [0.0, 0.4194, 0.0126], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.4194, 0.0126] = 453.2972, sampling [0.0, -0.4335, 0.0739]. Recommendation = [0.0, 0.4194, 0.0126], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 0.4194, 0.0126] = 453.2972, sampling [0.0, -0.4980, 0.8488]. Recommendation = [0.0, 0.4194, 0.0126], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, 0.4194, 0.0126] = 453.2972, sampling [0.0, 0.0038, 0.1105]. Recommendation = [0.0, 0.4194, 0.0126], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, 0.0038, 0.1105] = 454.0859, sampling [0.0, -0.8719, 0.2697]. Recommendation = [0.0, 0.0038, 0.1105], Current Cost = 9000.00, Rho = -1.230
(iter 8) [0.0, 0.0038, 0.1105] = 454.0859, sampling [0.0, 0.0542, 0.8183]. Recommendation = [0.0, 0.0038, 0.1105], Current Cost = 10000.00, Rho = -1.230
(iter 8) [0.0, 0.0038, 0.1105] = 454.0859, sampling [0.0, -0.5600, 0.5537]. Recommendation = [0.0, 0.0038, 0.1105], Current Cost = 11000.00, Rho = -1.230
(iter 8) [0.0, 0.0038, 0.1105] = 454.0859, sampling [0.0, 0.3616, 0.2549]. Recommendation = [0.0, 0.0093, 0.2239], Current Cost = 12000.00, Rho = -1.230
(iter 12) [0.0, 0.3616, 0.2549] = 454.3510, sampling [0.0, -1.2482, 0.9348]. Recommendation = [0.0, 0.1938, 0.1714], Current Cost = 13000.00, Rho = -1.230
(iter 12) [0.0, 0.3616, 0.2549] = 454.3510, sampling [0.0, -1.5627, 0.3203]. Recommendation = [0.0, 0.1938, 0.1714], Current Cost = 14000.00, Rho = -1.230
(iter 12) [0.0, 0.3616, 0.2549] = 454.3510, sampling [0.0, -0.3640, 1.5464]. Recommendation = [0.0, 0.1938, 0.1714], Current Cost = 15000.00, Rho = -1.230
(iter 12) [0.0, 0.3616, 0.2549] = 454.3510, sampling [0.0, -0.8773, 0.7384]. Recommendation = [0.0, 0.1938, 0.1714], Current Cost = 16000.00, Rho = -1.230
(iter 12) [0.0, 0.3616, 0.2549] = 454.3510, sampling [0.0, 0.5557, 0.6275]. Recommendation = [0.0, 0.1938, 0.1714], Current Cost = 17000.00, Rho = -1.230
(iter 12) [0.0, 0.3616, 0.2549] = 454.3510, sampling [0.0, -0.1481, -0.1296]. Recommendation = [0.0, 0.1938, 0.1714], Current Cost = 18000.00, Rho = -1.230
(iter 12) [0.0, 0.3616, 0.2549] = 454.3510, sampling [0.0, -0.8621, 1.1418]. Recommendation = [0.0, 0.1938, 0.1714], Current Cost = 19000.00, Rho = -1.230
(iter 12) [0.0, 0.3616, 0.2549] = 454.3510, sampling [0.0, 0.3077, 0.5014]. Recommendation = [0.0, 0.1938, 0.1714], Current Cost = 20000.00, Rho = -1.230
(iter 12) [0.0, 0.3616, 0.2549] = 454.3510, sampling [0.0, -0.5352, -0.2770]. Recommendation = [0.0, 0.1938, 0.1714], Current Cost = 21000.00, Rho = -1.230
(iter 12) [0.0, 0.3616, 0.2549] = 454.3510, sampling [0.0, -0.6526, 0.2145]. Recommendation = [0.0, 0.1938, 0.1714], Current Cost = 22000.00, Rho = -1.230
(iter 12) [0.0, 0.3616, 0.2549] = 454.3510, sampling [0.0, -0.2268, 0.6491]. Recommendation = [0.0, 0.1938, 0.1714], Current Cost = 23000.00, Rho = -1.230
(iter 12) [0.0, 0.3616, 0.2549] = 454.3510, sampling [0.0, 0.6638, 1.6369]. Recommendation = [0.0, 0.1938, 0.1714], Current Cost = 24000.00, Rho = -1.230
(iter 12) [0.0, 0.3616, 0.2549] = 454.3510, sampling [0.0, 0.9221, 0.6939]. Recommendation = [0.0, 0.1938, 0.1714], Current Cost = 25000.00, Rho = -1.230
(iter 12) [0.0, 0.3616, 0.2549] = 454.3510, sampling [0.0, 0.7451, 0.3673]. Recommendation = [0.0, 0.1938, 0.1714], Current Cost = 26000.00, Rho = -1.230
(iter 12) [0.0, 0.3616, 0.2549] = 454.3510, sampling [0.0, 1.1253, 1.1219]. Recommendation = [0.0, -0.1691, -0.0912], Current Cost = 27000.00, Rho = -1.230
(iter 12) [0.0, 0.3616, 0.2549] = 454.3510, sampling [0.0, 1.4019, 0.8643]. Recommendation = [0.0, -0.1691, -0.0912], Current Cost = 28000.00, Rho = -1.230
(iter 12) [0.0, 0.3616, 0.2549] = 454.3510, sampling [0.0, 0.9394, 1.0620]. Recommendation = [0.0, -0.1691, -0.0912], Current Cost = 29000.00, Rho = -1.230
(iter 12) [0.0, 0.3616, 0.2549] = 454.3510, sampling [0.0, 1.4168, 1.6578]. Recommendation = [0.0, -0.1691, -0.0912], Current Cost = 30000.00, Rho = -1.230
(iter 12) [0.0, 0.3616, 0.2549] = 454.3510, sampling [0.0, 1.2157, 1.3837]. Recommendation = [0.0, -0.1691, -0.0912], Current Cost = 31000.00, Rho = -1.230
(iter 31) [0.0, 1.2157, 1.3837] = 455.3651, sampling [0.0, 1.8104, 1.4419]. Recommendation = [0.0, 1.2157, 1.3837], Current Cost = 32000.00, Rho = -1.230
(iter 31) [0.0, 1.2157, 1.3837] = 455.3651, sampling [0.0, 1.1186, 1.9935]. Recommendation = [0.0, 1.2157, 1.3837], Current Cost = 33000.00, Rho = -1.230
(iter 31) [0.0, 1.2157, 1.3837] = 455.3651, sampling [0.0, 1.0386, 1.5628]. Recommendation = [0.0, 1.2157, 1.3837], Current Cost = 34000.00, Rho = -1.230
(iter 31) [0.0, 1.2157, 1.3837] = 455.3651, sampling [0.0, 0.8707, 1.3048]. Recommendation = [0.0, 1.2157, 1.3837], Current Cost = 35000.00, Rho = -1.230
(iter 31) [0.0, 1.2157, 1.3837] = 455.3651, sampling [0.0, -1.0636, 1.5053]. Recommendation = [0.0, 1.0511, 1.1522], Current Cost = 36000.00, Rho = -1.230
(iter 31) [0.0, 1.2157, 1.3837] = 455.3651, sampling [0.0, -1.2099, 1.2888]. Recommendation = [0.0, 1.0511, 1.1522], Current Cost = 37000.00, Rho = -1.230
(iter 31) [0.0, 1.2157, 1.3837] = 455.3651, sampling [0.0, 0.1938, 0.1714]. Recommendation = [0.0, 1.0511, 1.1522], Current Cost = 38000.00, Rho = -1.230
(iter 31) [0.0, 1.2157, 1.3837] = 455.3651, sampling [0.0, -0.7809, 0.4830]. Recommendation = [0.0, 1.0511, 1.1522], Current Cost = 39000.00, Rho = -1.230
(iter 31) [0.0, 1.2157, 1.3837] = 455.3651, sampling [0.0, -0.0698, 0.2878]. Recommendation = [0.0, 1.0511, 1.1522], Current Cost = 40000.00, Rho = -1.230
(iter 31) [0.0, 1.2157, 1.3837] = 455.3651, sampling [0.0, -0.7954, 0.9259]. Recommendation = [0.0, 1.0511, 1.1522], Current Cost = 41000.00, Rho = -1.230
(iter 31) [0.0, 1.2157, 1.3837] = 455.3651, sampling [0.0, -0.0139, -0.3562]. Recommendation = [0.0, 1.0511, 1.1522], Current Cost = 42000.00, Rho = -1.230
(iter 31) [0.0, 1.2157, 1.3837] = 455.3651, sampling [0.0, 0.0634, -0.0610]. Recommendation = [0.0, 1.0511, 1.1522], Current Cost = 43000.00, Rho = -1.230
(iter 31) [0.0, 1.2157, 1.3837] = 455.3651, sampling [0.0, -0.2658, -0.3732]. Recommendation = [0.0, 0.0758, 0.0179], Current Cost = 44000.00, Rho = -1.230
(iter 31) [0.0, 1.2157, 1.3837] = 455.3651, sampling [0.0, -1.0284, 1.8804]. Recommendation = [0.0, 0.0758, 0.0179], Current Cost = 45000.00, Rho = -1.230
(iter 31) [0.0, 1.2157, 1.3837] = 455.3651, sampling [0.0, -0.8499, 1.4158]. Recommendation = [0.0, 0.0758, 0.0179], Current Cost = 46000.00, Rho = -1.230
