(iter 10) [0.0, -0.0543, -0.0459] = 454.9497, sampling [1.0, 0.4779, 0.4043]. Recommendation = [0.0, -0.0543, -0.0459], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.0543, -0.0459] = 454.9497, sampling [1.0, 0.1703, 0.3211]. Recommendation = [0.0, -0.0543, -0.0459], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.0543, -0.0459] = 454.9497, sampling [1.0, 0.5618, 0.8294]. Recommendation = [0.0, -0.0543, -0.0459], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.0543, -0.0459] = 454.9497, sampling [1.0, 0.9131, 0.5893]. Recommendation = [0.0, -0.0543, -0.0459], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.0543, -0.0459] = 454.9497, sampling [1.0, 0.2872, 0.1367]. Recommendation = [0.0, -0.0543, -0.0459], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.0543, -0.0459] = 454.9497, sampling [1.0, 0.0662, 0.0837]. Recommendation = [0.0, 0.2872, 0.1367], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.0543, -0.0459] = 454.9497, sampling [1.0, 1.0062, 0.8704]. Recommendation = [0.0, 0.2872, 0.1367], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.0543, -0.0459] = 454.9497, sampling [1.0, 0.7310, 0.2645]. Recommendation = [0.0, 0.2872, 0.1367], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.0543, -0.0459] = 454.9497, sampling [1.0, 0.7399, 0.6738]. Recommendation = [0.0, 0.2872, 0.1367], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.0543, -0.0459] = 454.9497, sampling [1.0, 0.9107, 1.0417]. Recommendation = [0.0, 0.2872, 0.1367], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.0543, -0.0459] = 454.9497, sampling [1.0, 0.2110, 0.6678]. Recommendation = [0.0, 0.2872, 0.1367], Current Cost = 5015.00, Rho = 1.000
