(iter 5) [0.0, 0.4607, -0.0422] = 449.5374, sampling [0.0, 0.4290, 0.1338]. Recommendation = [0.0, 0.4607, -0.0422], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.4290, 0.1338] = 455.7219, sampling [0.0, 0.5591, 0.1062]. Recommendation = [0.0, 0.4290, 0.1338], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 0.4290, 0.1338] = 455.7219, sampling [0.0, 0.4801, 0.2536]. Recommendation = [0.0, 0.4290, 0.1338], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, 0.4801, 0.2536] = 455.9762, sampling [0.0, 0.4048, 0.4720]. Recommendation = [0.0, 0.4801, 0.2536], Current Cost = 8000.00, Rho = -1.230
(iter 7) [0.0, 0.4801, 0.2536] = 455.9762, sampling [0.0, 0.6788, 0.3339]. Recommendation = [0.0, 0.4801, 0.2536], Current Cost = 9000.00, Rho = -1.230
(iter 7) [0.0, 0.4801, 0.2536] = 455.9762, sampling [0.0, 0.6989, 0.5918]. Recommendation = [0.0, 0.5479, 0.2237], Current Cost = 10000.00, Rho = -1.230
(iter 7) [0.0, 0.4801, 0.2536] = 455.9762, sampling [0.0, 0.4678, 0.6058]. Recommendation = [0.0, 0.5479, 0.2237], Current Cost = 11000.00, Rho = -1.230
(iter 7) [0.0, 0.4801, 0.2536] = 455.9762, sampling [0.0, 0.7531, 0.4470]. Recommendation = [0.0, 0.5479, 0.2237], Current Cost = 12000.00, Rho = -1.230
(iter 7) [0.0, 0.4801, 0.2536] = 455.9762, sampling [0.0, 0.6350, 0.8688]. Recommendation = [0.0, 0.5479, 0.2237], Current Cost = 13000.00, Rho = -1.230
(iter 7) [0.0, 0.4801, 0.2536] = 455.9762, sampling [0.0, 0.8861, 0.5763]. Recommendation = [0.0, 0.5479, 0.2237], Current Cost = 14000.00, Rho = -1.230
(iter 7) [0.0, 0.4801, 0.2536] = 455.9762, sampling [0.0, 0.7480, 0.6852]. Recommendation = [0.0, 0.5479, 0.2237], Current Cost = 15000.00, Rho = -1.230
(iter 7) [0.0, 0.4801, 0.2536] = 455.9762, sampling [0.0, 0.8936, 0.3374]. Recommendation = [0.0, 0.5479, 0.2237], Current Cost = 16000.00, Rho = -1.230
(iter 7) [0.0, 0.4801, 0.2536] = 455.9762, sampling [0.0, 0.9661, 0.9133]. Recommendation = [0.0, 0.5479, 0.2237], Current Cost = 17000.00, Rho = -1.230
(iter 17) [0.0, 0.9661, 0.9133] = 456.2589, sampling [0.0, 0.8045, 0.8418]. Recommendation = [0.0, 0.5479, 0.2237], Current Cost = 18000.00, Rho = -1.230
