(iter 10) [0.0, 0.1499, -0.0772] = 454.5836, sampling [1.0, -0.0219, 0.1307]. Recommendation = [0.0, 0.1499, -0.0772], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.1499, -0.0772] = 454.5836, sampling [1.0, -0.2317, 0.3053]. Recommendation = [0.0, 0.1499, -0.0772], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.1499, -0.0772] = 454.5836, sampling [1.0, -0.2177, -0.0337]. Recommendation = [0.0, 0.1499, -0.0772], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.1499, -0.0772] = 454.5836, sampling [1.0, -0.4161, 0.6298]. Recommendation = [0.0, 0.1499, -0.0772], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.1499, -0.0772] = 454.5836, sampling [1.0, -0.3769, 0.2268]. Recommendation = [0.0, 0.1499, -0.0772], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.1499, -0.0772] = 454.5836, sampling [1.0, -0.0583, 0.4568]. Recommendation = [0.0, -0.2931, 0.2352], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.1499, -0.0772] = 454.5836, sampling [1.0, -0.2603, 0.4820]. Recommendation = [0.0, -0.2931, 0.2352], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.1499, -0.0772] = 454.5836, sampling [1.0, -0.5359, 0.9290]. Recommendation = [0.0, -0.2931, 0.2352], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.1499, -0.0772] = 454.5836, sampling [1.0, -0.0901, 0.2967]. Recommendation = [0.0, -0.2931, 0.2352], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.1499, -0.0772] = 454.5836, sampling [1.0, -0.5801, 0.5604]. Recommendation = [0.0, -0.2931, 0.2352], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.1499, -0.0772] = 454.5836, sampling [1.0, -0.4109, 0.3492]. Recommendation = [0.0, -0.2931, 0.2352], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.1499, -0.0772] = 454.5836, sampling [1.0, -0.6536, 0.2187]. Recommendation = [0.0, -0.2931, 0.2352], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.1499, -0.0772] = 454.5836, sampling [1.0, -0.5603, 0.0276]. Recommendation = [0.0, -0.2931, 0.2352], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.1499, -0.0772] = 454.5836, sampling [1.0, -0.1445, -0.1928]. Recommendation = [0.0, -0.2931, 0.2352], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.1499, -0.0772] = 454.5836, sampling [1.0, -0.6476, 0.7617]. Recommendation = [0.0, -0.2931, 0.2352], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.1499, -0.0772] = 454.5836, sampling [1.0, -0.7453, 0.3606]. Recommendation = [0.0, -0.2931, 0.2352], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.1499, -0.0772] = 454.5836, sampling [1.0, 0.0683, -0.1471]. Recommendation = [0.0, 0.1499, -0.0772], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.1499, -0.0772] = 454.5836, sampling [1.0, 0.1432, 0.2415]. Recommendation = [0.0, 0.1499, -0.0772], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.1499, -0.0772] = 454.5836, sampling [1.0, -0.0844, 0.7552]. Recommendation = [0.0, 0.1499, -0.0772], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.1499, -0.0772] = 454.5836, sampling [1.0, -0.3733, 0.4735]. Recommendation = [0.0, 0.1499, -0.0772], Current Cost = 5024.00, Rho = 1.000
