(iter 10) [0.0, -0.3935, -0.0699] = 449.3083, sampling [1.0, -0.0005, 0.3145]. Recommendation = [0.0, -0.3935, -0.0699], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.3935, -0.0699] = 449.3083, sampling [1.0, 0.5156, 0.7158]. Recommendation = [0.0, -0.3935, -0.0699], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.3935, -0.0699] = 449.3083, sampling [1.0, 0.9256, 1.1920]. Recommendation = [0.0, -0.3935, -0.0699], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.3935, -0.0699] = 449.3083, sampling [1.0, 0.2350, 0.5549]. Recommendation = [0.0, -0.3935, -0.0699], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.3935, -0.0699] = 449.3083, sampling [1.0, 0.4179, 1.0259]. Recommendation = [0.0, -0.3935, -0.0699], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.3935, -0.0699] = 449.3083, sampling [1.0, 0.9935, 0.8023]. Recommendation = [0.0, -0.3935, -0.0699], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.3935, -0.0699] = 449.3083, sampling [1.0, 0.5862, 0.3252]. Recommendation = [0.0, 0.9935, 0.8023], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.3935, -0.0699] = 449.3083, sampling [1.0, 0.0839, -0.0218]. Recommendation = [0.0, 0.5862, 0.3252], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.3935, -0.0699] = 449.3083, sampling [1.0, 0.2889, 0.2320]. Recommendation = [0.0, -0.0567, 0.1102], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.3935, -0.0699] = 449.3083, sampling [1.0, -0.1513, 0.1006]. Recommendation = [0.0, -0.0567, 0.1102], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.3935, -0.0699] = 449.3083, sampling [1.0, 1.1616, 1.0945]. Recommendation = [0.0, -0.0567, 0.1102], Current Cost = 5015.00, Rho = 1.000
