(iter 10) [0.0, 1.1021, 1.4512] = 450.6862, sampling [1.0, 0.0690, 1.4267]. Recommendation = [0.0, 1.1021, 1.4512], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 1.1021, 1.4512] = 450.6862, sampling [1.0, -0.9814, 0.2348]. Recommendation = [0.0, 1.1021, 1.4512], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 1.1021, 1.4512] = 450.6862, sampling [1.0, -0.8770, 0.6629]. Recommendation = [0.0, 1.1021, 1.4512], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 1.1021, 1.4512] = 450.6862, sampling [1.0, -0.5582, 0.4612]. Recommendation = [0.0, -0.8770, 0.6629], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 1.1021, 1.4512] = 450.6862, sampling [1.0, -0.6033, 0.7753]. Recommendation = [0.0, -0.5582, 0.4612], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 1.1021, 1.4512] = 450.6862, sampling [1.0, -0.7416, 0.5386]. Recommendation = [0.0, -0.7416, 0.5386], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 1.1021, 1.4512] = 450.6862, sampling [1.0, -0.5263, 0.0912]. Recommendation = [0.0, -0.7416, 0.5386], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 1.1021, 1.4512] = 450.6862, sampling [1.0, -0.6792, 0.3392]. Recommendation = [0.0, -0.7416, 0.5386], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 1.1021, 1.4512] = 450.6862, sampling [1.0, -0.2637, 0.4728]. Recommendation = [0.0, -0.7416, 0.5386], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 1.1021, 1.4512] = 450.6862, sampling [1.0, -0.5095, 0.3251]. Recommendation = [0.0, -0.7416, 0.5386], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 1.1021, 1.4512] = 450.6862, sampling [1.0, -0.9423, 0.9069]. Recommendation = [0.0, -0.5095, 0.3251], Current Cost = 5015.00, Rho = 1.000
