(iter 5) [0.0, -0.4650, -0.4185] = 413.8614, sampling [0.0, -0.7184, -0.6252]. Recommendation = [0.0, -0.4650, -0.4185], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.4650, -0.4185] = 413.8614, sampling [0.0, -0.3034, -0.6968]. Recommendation = [0.0, -0.4650, -0.4185], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, -0.4650, -0.4185] = 413.8614, sampling [0.0, -0.2497, -0.3864]. Recommendation = [0.0, -0.4650, -0.4185], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, -0.2497, -0.3864] = 434.6059, sampling [0.0, -0.3693, -0.0374]. Recommendation = [0.0, -0.2497, -0.3864], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, -0.3693, -0.0374] = 451.4035, sampling [0.0, -0.0720, -0.1255]. Recommendation = [0.0, -0.3693, -0.0374], Current Cost = 9000.00, Rho = -1.230
(iter 9) [0.0, -0.0720, -0.1255] = 453.4430, sampling [0.0, -0.1974, -0.1970]. Recommendation = [0.0, -0.1974, -0.1970], Current Cost = 10000.00, Rho = -1.230
(iter 9) [0.0, -0.0720, -0.1255] = 453.4430, sampling [0.0, -0.2265, 0.2743]. Recommendation = [0.0, -0.0720, -0.1255], Current Cost = 11000.00, Rho = -1.230
(iter 9) [0.0, -0.0720, -0.1255] = 453.4430, sampling [0.0, 0.0848, 0.1463]. Recommendation = [0.0, -0.0720, -0.1255], Current Cost = 12000.00, Rho = -1.230
(iter 12) [0.0, 0.0848, 0.1463] = 453.5283, sampling [0.0, -0.3377, 0.1068]. Recommendation = [0.0, 0.0848, 0.1463], Current Cost = 13000.00, Rho = -1.230
(iter 13) [0.0, -0.3377, 0.1068] = 454.5053, sampling [0.0, -0.0251, 0.5777]. Recommendation = [0.0, -0.3377, 0.1068], Current Cost = 14000.00, Rho = -1.230
(iter 13) [0.0, -0.3377, 0.1068] = 454.5053, sampling [0.0, 0.3614, 0.3497]. Recommendation = [0.0, -0.3377, 0.1068], Current Cost = 15000.00, Rho = -1.230
(iter 13) [0.0, -0.3377, 0.1068] = 454.5053, sampling [0.0, 0.2072, -0.0944]. Recommendation = [0.0, -0.3377, 0.1068], Current Cost = 16000.00, Rho = -1.230
(iter 13) [0.0, -0.3377, 0.1068] = 454.5053, sampling [0.0, 0.2274, 0.2528]. Recommendation = [0.0, -0.0372, -0.0615], Current Cost = 17000.00, Rho = -1.230
(iter 13) [0.0, -0.3377, 0.1068] = 454.5053, sampling [0.0, 0.0176, -0.3624]. Recommendation = [0.0, -0.0372, -0.0615], Current Cost = 18000.00, Rho = -1.230
(iter 13) [0.0, -0.3377, 0.1068] = 454.5053, sampling [0.0, 0.2885, 0.6768]. Recommendation = [0.0, -0.0372, -0.0615], Current Cost = 19000.00, Rho = -1.230
(iter 13) [0.0, -0.3377, 0.1068] = 454.5053, sampling [0.0, 0.5085, 0.2151]. Recommendation = [0.0, -0.0372, -0.0615], Current Cost = 20000.00, Rho = -1.230
(iter 20) [0.0, 0.5085, 0.2151] = 455.8689, sampling [0.0, 0.6637, 0.4095]. Recommendation = [0.0, -0.0372, -0.0615], Current Cost = 21000.00, Rho = -1.230
(iter 21) [0.0, 0.6637, 0.4095] = 456.0912, sampling [0.0, 0.5247, 0.5513]. Recommendation = [0.0, -0.0372, -0.0615], Current Cost = 22000.00, Rho = -1.230
(iter 21) [0.0, 0.6637, 0.4095] = 456.0912, sampling [0.0, 0.5296, -0.1143]. Recommendation = [0.0, 0.4751, 0.3552], Current Cost = 23000.00, Rho = -1.230
(iter 21) [0.0, 0.6637, 0.4095] = 456.0912, sampling [0.0, 0.7421, 0.0776]. Recommendation = [0.0, 0.4751, 0.3552], Current Cost = 24000.00, Rho = -1.230
(iter 21) [0.0, 0.6637, 0.4095] = 456.0912, sampling [0.0, 0.9300, 0.5688]. Recommendation = [0.0, 0.4751, 0.3552], Current Cost = 25000.00, Rho = -1.230
(iter 21) [0.0, 0.6637, 0.4095] = 456.0912, sampling [0.0, 0.7107, 0.8184]. Recommendation = [0.0, -0.0372, -0.0615], Current Cost = 26000.00, Rho = -1.230
(iter 21) [0.0, 0.6637, 0.4095] = 456.0912, sampling [0.0, 0.6134, 0.6688]. Recommendation = [0.0, -0.0372, -0.0615], Current Cost = 27000.00, Rho = -1.230
(iter 21) [0.0, 0.6637, 0.4095] = 456.0912, sampling [0.0, 0.9843, 0.3825]. Recommendation = [0.0, -0.0372, -0.0615], Current Cost = 28000.00, Rho = -1.230
(iter 21) [0.0, 0.6637, 0.4095] = 456.0912, sampling [0.0, 0.6852, 0.2924]. Recommendation = [0.0, -0.0372, -0.0615], Current Cost = 29000.00, Rho = -1.230
(iter 21) [0.0, 0.6637, 0.4095] = 456.0912, sampling [0.0, 0.4481, 0.9718]. Recommendation = [0.0, -0.0372, -0.0615], Current Cost = 30000.00, Rho = -1.230
(iter 21) [0.0, 0.6637, 0.4095] = 456.0912, sampling [0.0, 0.1120, -0.1908]. Recommendation = [0.0, -0.0372, -0.0615], Current Cost = 31000.00, Rho = -1.230
(iter 21) [0.0, 0.6637, 0.4095] = 456.0912, sampling [0.0, 0.3556, -0.1495]. Recommendation = [0.0, -0.0372, -0.0615], Current Cost = 32000.00, Rho = -1.230
(iter 21) [0.0, 0.6637, 0.4095] = 456.0912, sampling [0.0, -0.5179, 0.2979]. Recommendation = [0.0, -0.0372, -0.0615], Current Cost = 33000.00, Rho = -1.230
(iter 21) [0.0, 0.6637, 0.4095] = 456.0912, sampling [0.0, -0.5510, 0.0928]. Recommendation = [0.0, 0.1352, 0.0620], Current Cost = 34000.00, Rho = -1.230
(iter 21) [0.0, 0.6637, 0.4095] = 456.0912, sampling [0.0, -0.4756, 0.6601]. Recommendation = [0.0, 0.1352, 0.0620], Current Cost = 35000.00, Rho = -1.230
(iter 21) [0.0, 0.6637, 0.4095] = 456.0912, sampling [0.0, -0.2371, 0.5669]. Recommendation = [0.0, 0.1352, 0.0620], Current Cost = 36000.00, Rho = -1.230
(iter 21) [0.0, 0.6637, 0.4095] = 456.0912, sampling [0.0, -0.4127, 0.3671]. Recommendation = [0.0, 0.1352, 0.0620], Current Cost = 37000.00, Rho = -1.230
(iter 21) [0.0, 0.6637, 0.4095] = 456.0912, sampling [0.0, -0.0189, 0.9926]. Recommendation = [0.0, 0.1352, 0.0620], Current Cost = 38000.00, Rho = -1.230
(iter 21) [0.0, 0.6637, 0.4095] = 456.0912, sampling [0.0, -0.6609, -0.1339]. Recommendation = [0.0, 0.1352, 0.0620], Current Cost = 39000.00, Rho = -1.230
(iter 21) [0.0, 0.6637, 0.4095] = 456.0912, sampling [0.0, 0.1352, 0.0620]. Recommendation = [0.0, 0.1352, 0.0620], Current Cost = 40000.00, Rho = -1.230
(iter 21) [0.0, 0.6637, 0.4095] = 456.0912, sampling [0.0, -0.6775, 0.3851]. Recommendation = [0.0, 0.6637, 0.4095], Current Cost = 41000.00, Rho = -1.230
(iter 21) [0.0, 0.6637, 0.4095] = 456.0912, sampling [0.0, -0.7434, 0.1942]. Recommendation = [0.0, 0.6637, 0.4095], Current Cost = 42000.00, Rho = -1.230
(iter 21) [0.0, 0.6637, 0.4095] = 456.0912, sampling [0.0, 0.6172, 0.0966]. Recommendation = [0.0, 0.6637, 0.4095], Current Cost = 43000.00, Rho = -1.230
