(iter 10) [0.0, -0.9554, 1.2164] = 443.2555, sampling [1.0, 0.1935, 0.7577]. Recommendation = [0.0, -0.9554, 1.2164], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.9554, 1.2164] = 443.2555, sampling [1.0, -0.3866, 1.1359]. Recommendation = [0.0, -0.9554, 1.2164], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.9554, 1.2164] = 443.2555, sampling [1.0, 0.2677, -0.0630]. Recommendation = [0.0, -0.9554, 1.2164], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.9554, 1.2164] = 443.2555, sampling [1.0, 0.7041, 0.4329]. Recommendation = [0.0, -0.9554, 1.2164], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.9554, 1.2164] = 443.2555, sampling [1.0, 0.9018, 1.0253]. Recommendation = [0.0, -0.9554, 1.2164], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.9554, 1.2164] = 443.2555, sampling [1.0, 0.4105, 1.4764]. Recommendation = [0.0, -0.9554, 1.2164], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.9554, 1.2164] = 443.2555, sampling [1.0, 1.2405, 0.4906]. Recommendation = [0.0, -0.9554, 1.2164], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.9554, 1.2164] = 443.2555, sampling [1.0, -0.0451, 0.3290]. Recommendation = [0.0, -0.9554, 1.2164], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.9554, 1.2164] = 443.2555, sampling [1.0, 0.3685, -0.3768]. Recommendation = [0.0, -0.9554, 1.2164], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.9554, 1.2164] = 443.2555, sampling [1.0, 0.3993, 0.1160]. Recommendation = [0.0, -0.9554, 1.2164], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.9554, 1.2164] = 443.2555, sampling [1.0, 0.6563, 0.8005]. Recommendation = [0.0, -0.9554, 1.2164], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.9554, 1.2164] = 443.2555, sampling [1.0, 0.3877, 0.5045]. Recommendation = [0.0, -0.9554, 1.2164], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.9554, 1.2164] = 443.2555, sampling [1.0, -0.4693, 0.7095]. Recommendation = [0.0, -0.9554, 1.2164], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.9554, 1.2164] = 443.2555, sampling [1.0, -0.6461, 1.7444]. Recommendation = [0.0, -0.9554, 1.2164], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.9554, 1.2164] = 443.2555, sampling [1.0, -0.7862, 1.0382]. Recommendation = [0.0, -0.9554, 1.2164], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.9554, 1.2164] = 443.2555, sampling [1.0, 0.8462, -0.7106]. Recommendation = [0.0, -0.9554, 1.2164], Current Cost = 5020.00, Rho = 1.000
