(iter 10) [0.0, -0.4158, -0.4122] = 420.0687, sampling [1.0, 0.1106, -0.1008]. Recommendation = [0.0, -0.4158, -0.4122], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.4158, -0.4122] = 420.0687, sampling [1.0, 0.2903, 0.3915]. Recommendation = [0.0, 0.1106, -0.1008], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.4158, -0.4122] = 420.0687, sampling [1.0, 0.3011, 0.0394]. Recommendation = [0.0, 0.1106, -0.1008], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.4158, -0.4122] = 420.0687, sampling [1.0, 0.7093, 0.3590]. Recommendation = [0.0, 0.3011, 0.0394], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.4158, -0.4122] = 420.0687, sampling [1.0, 0.5430, 0.9856]. Recommendation = [0.0, 0.3011, 0.0394], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.4158, -0.4122] = 420.0687, sampling [1.0, -0.0758, 0.0613]. Recommendation = [0.0, 0.5336, 0.3048], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.4158, -0.4122] = 420.0687, sampling [1.0, 0.7396, 0.6499]. Recommendation = [0.0, 0.2720, 0.1978], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.4158, -0.4122] = 420.0687, sampling [1.0, 0.5336, 0.3048]. Recommendation = [0.0, 0.2720, 0.1978], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.4158, -0.4122] = 420.0687, sampling [1.0, 0.4646, 0.6811]. Recommendation = [0.0, 0.2720, 0.1978], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.4158, -0.4122] = 420.0687, sampling [1.0, 0.6413, -0.0783]. Recommendation = [0.0, 0.2720, 0.1978], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.4158, -0.4122] = 420.0687, sampling [1.0, 0.0910, -0.2808]. Recommendation = [0.0, 0.2017, -0.0026], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.4158, -0.4122] = 420.0687, sampling [1.0, 0.3875, -0.1612]. Recommendation = [0.0, 0.2017, -0.0026], Current Cost = 5016.00, Rho = 1.000
