(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, -0.1055, -0.1790]. Recommendation = [0.0, -0.1658, 0.3937], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, -0.3449, 0.0783]. Recommendation = [0.0, -0.1055, -0.1790], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, 0.0037, 0.1640]. Recommendation = [0.0, -0.3449, 0.0783], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, 0.2025, -0.2400]. Recommendation = [0.0, -0.3449, 0.0783], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, 0.1271, 0.0481]. Recommendation = [0.0, -0.3449, 0.0783], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, 0.0261, -0.3078]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, -0.3148, -0.2282]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, -0.3761, -0.0517]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, 0.1282, -0.4549]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, -0.1483, 0.3021]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, -0.1012, -0.4653]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, 0.3158, -0.3606]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, 0.2963, -0.0581]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, -0.5307, 0.2847]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, -0.6559, 0.1241]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, -0.5639, -0.1370]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, -0.3538, -0.3788]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, -0.2256, -0.2692]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, 0.2197, 0.1587]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, 0.0967, 0.2264]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, 0.3253, -0.5345]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, 0.0427, -0.7029]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, -0.2372, -0.5986]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, -0.0183, 0.4903]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, 0.2671, 0.4088]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, 0.4812, 0.0941]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, 0.5105, -0.1217]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, 0.4491, 0.2898]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, -0.7218, 0.3731]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.1658, 0.3937] = 441.5324, sampling [1.0, -0.5028, 0.3566]. Recommendation = [0.0, 0.1271, 0.0481], Current Cost = 5034.00, Rho = 1.000
