(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, -0.5103, -0.0966]. Recommendation = [0.0, -1.0727, 0.1811], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, -0.3267, -0.4834]. Recommendation = [0.0, -0.5103, -0.0966], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, -0.6732, -0.2563]. Recommendation = [0.0, -0.5103, -0.0966], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, -0.1379, -0.1417]. Recommendation = [0.0, -0.5103, -0.0966], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, -0.3529, 0.1321]. Recommendation = [0.0, -0.1379, -0.1417], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, -0.6338, 0.3605]. Recommendation = [0.0, -0.2363, -0.0676], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, -0.0069, -0.4014]. Recommendation = [0.0, -0.3917, 0.1000], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, -0.0344, 0.0914]. Recommendation = [0.0, -0.3917, 0.1000], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, -0.2814, 0.6141]. Recommendation = [0.0, -0.2363, -0.0676], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, -0.2721, 0.2840]. Recommendation = [0.0, -0.2363, -0.0676], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, -0.4814, 0.3528]. Recommendation = [0.0, -0.2363, -0.0676], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, -0.6644, 0.6353]. Recommendation = [0.0, -0.2363, -0.0676], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, -0.2506, -0.2871]. Recommendation = [0.0, -0.2363, -0.0676], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, 0.0435, -0.1710]. Recommendation = [0.0, -0.2363, -0.0676], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, 0.0253, 0.3724]. Recommendation = [0.0, -0.0902, -0.0332], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, -0.2363, -0.0676]. Recommendation = [0.0, -0.0902, -0.0332], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, -0.4778, 0.0257]. Recommendation = [0.0, -0.0902, -0.0332], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, -0.5038, 0.4561]. Recommendation = [0.0, -0.0902, -0.0332], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, 0.0593, -0.7663]. Recommendation = [0.0, -0.0902, -0.0332], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, 0.2152, 0.1610]. Recommendation = [0.0, -0.0902, -0.0332], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, 0.2072, -0.2516]. Recommendation = [0.0, -0.0902, -0.0332], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, 0.2834, -0.5369]. Recommendation = [0.0, -0.0142, 0.0025], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -1.0727, 0.1811] = 358.0142, sampling [1.0, -0.9514, 0.6402]. Recommendation = [0.0, -0.0142, 0.0025], Current Cost = 5027.00, Rho = 1.000
