(iter 5) [0.0, 0.1384, -0.3199] = 444.0609, sampling [0.0, -0.0900, -0.0328]. Recommendation = [0.0, 0.1384, -0.3199], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.0900, -0.0328] = 454.9447, sampling [0.0, -0.1426, 0.2119]. Recommendation = [0.0, -0.0900, -0.0328], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, -0.0900, -0.0328] = 454.9447, sampling [0.0, 0.0225, 0.3316]. Recommendation = [0.0, -0.0900, -0.0328], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, -0.0900, -0.0328] = 454.9447, sampling [0.0, -0.2363, 0.1357]. Recommendation = [0.0, -0.0900, -0.0328], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, -0.0900, -0.0328] = 454.9447, sampling [0.0, -0.1112, 0.6455]. Recommendation = [0.0, -0.0900, -0.0328], Current Cost = 9000.00, Rho = -1.230
(iter 5) [0.0, -0.0900, -0.0328] = 454.9447, sampling [0.0, -0.3954, 0.6050]. Recommendation = [0.0, -0.0900, -0.0328], Current Cost = 10000.00, Rho = -1.230
(iter 5) [0.0, -0.0900, -0.0328] = 454.9447, sampling [0.0, -0.6932, 0.2605]. Recommendation = [0.0, -0.0900, -0.0328], Current Cost = 11000.00, Rho = -1.230
(iter 5) [0.0, -0.0900, -0.0328] = 454.9447, sampling [0.0, -0.5429, -0.1602]. Recommendation = [0.0, -0.0900, -0.0328], Current Cost = 12000.00, Rho = -1.230
(iter 5) [0.0, -0.0900, -0.0328] = 454.9447, sampling [0.0, -0.6658, 0.5248]. Recommendation = [0.0, -0.0900, -0.0328], Current Cost = 13000.00, Rho = -1.230
(iter 5) [0.0, -0.0900, -0.0328] = 454.9447, sampling [0.0, -0.2687, -0.3868]. Recommendation = [0.0, -0.0900, -0.0328], Current Cost = 14000.00, Rho = -1.230
(iter 5) [0.0, -0.0900, -0.0328] = 454.9447, sampling [0.0, -0.5676, 0.7183]. Recommendation = [0.0, -0.0900, -0.0328], Current Cost = 15000.00, Rho = -1.230
(iter 5) [0.0, -0.0900, -0.0328] = 454.9447, sampling [0.0, -0.8360, 0.5045]. Recommendation = [0.0, -0.0900, -0.0328], Current Cost = 16000.00, Rho = -1.230
(iter 5) [0.0, -0.0900, -0.0328] = 454.9447, sampling [0.0, -0.9233, 0.1059]. Recommendation = [0.0, -0.0900, -0.0328], Current Cost = 17000.00, Rho = -1.230
(iter 5) [0.0, -0.0900, -0.0328] = 454.9447, sampling [0.0, -0.0547, -0.4232]. Recommendation = [0.0, -0.0900, -0.0328], Current Cost = 18000.00, Rho = -1.230
(iter 5) [0.0, -0.0900, -0.0328] = 454.9447, sampling [0.0, -0.7213, 0.4823]. Recommendation = [0.0, -0.0900, -0.0328], Current Cost = 19000.00, Rho = -1.230
(iter 5) [0.0, -0.0900, -0.0328] = 454.9447, sampling [0.0, -0.2500, 0.9946]. Recommendation = [0.0, -0.0900, -0.0328], Current Cost = 20000.00, Rho = -1.230
(iter 5) [0.0, -0.0900, -0.0328] = 454.9447, sampling [0.0, 0.3801, 0.3917]. Recommendation = [0.0, -0.0900, -0.0328], Current Cost = 21000.00, Rho = -1.230
(iter 5) [0.0, -0.0900, -0.0328] = 454.9447, sampling [0.0, 0.4120, 0.9498]. Recommendation = [0.0, -0.0900, -0.0328], Current Cost = 22000.00, Rho = -1.230
(iter 5) [0.0, -0.0900, -0.0328] = 454.9447, sampling [0.0, 0.0711, 0.6634]. Recommendation = [0.0, -0.0900, -0.0328], Current Cost = 23000.00, Rho = -1.230
(iter 5) [0.0, -0.0900, -0.0328] = 454.9447, sampling [0.0, 0.5615, 1.5697]. Recommendation = [0.0, -0.0900, -0.0328], Current Cost = 24000.00, Rho = -1.230
(iter 5) [0.0, -0.0900, -0.0328] = 454.9447, sampling [0.0, 0.4595, 0.2512]. Recommendation = [0.0, -0.0900, -0.0328], Current Cost = 25000.00, Rho = -1.230
