(iter 10) [0.0, -1.2809, 0.6211] = 347.1216, sampling [1.0, -0.6052, 0.8017]. Recommendation = [0.0, -1.2809, 0.6211], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -1.2809, 0.6211] = 347.1216, sampling [1.0, -0.3418, 0.7896]. Recommendation = [0.0, -0.6052, 0.8017], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -1.2809, 0.6211] = 347.1216, sampling [1.0, -0.8537, 0.6623]. Recommendation = [0.0, -0.6052, 0.8017], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -1.2809, 0.6211] = 347.1216, sampling [1.0, -0.8313, 0.9228]. Recommendation = [0.0, -0.8537, 0.6623], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -1.2809, 0.6211] = 347.1216, sampling [1.0, -0.9516, 0.7269]. Recommendation = [0.0, -0.8537, 0.6623], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -1.2809, 0.6211] = 347.1216, sampling [1.0, -0.5744, 1.1109]. Recommendation = [0.0, -0.8537, 0.6623], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -1.2809, 0.6211] = 347.1216, sampling [1.0, -0.1836, 1.0597]. Recommendation = [0.0, -0.8537, 0.6623], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -1.2809, 0.6211] = 347.1216, sampling [1.0, -0.2331, 0.4372]. Recommendation = [0.0, -0.8537, 0.6623], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -1.2809, 0.6211] = 347.1216, sampling [1.0, -0.2528, 0.5975]. Recommendation = [0.0, -0.8537, 0.6623], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -1.2809, 0.6211] = 347.1216, sampling [1.0, -0.2944, 0.2388]. Recommendation = [0.0, -0.8537, 0.6623], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -1.2809, 0.6211] = 347.1216, sampling [1.0, -0.6448, 0.1809]. Recommendation = [0.0, -0.2944, 0.2388], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -1.2809, 0.6211] = 347.1216, sampling [1.0, -0.4751, -0.0053]. Recommendation = [0.0, -0.2944, 0.2388], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -1.2809, 0.6211] = 347.1216, sampling [1.0, -0.2811, 0.1188]. Recommendation = [0.0, -0.2944, 0.2388], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -1.2809, 0.6211] = 347.1216, sampling [1.0, -0.0998, 0.2562]. Recommendation = [0.0, -0.2811, 0.1188], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -1.2809, 0.6211] = 347.1216, sampling [1.0, -0.3280, -0.0788]. Recommendation = [0.0, -0.2811, 0.1188], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -1.2809, 0.6211] = 347.1216, sampling [1.0, -0.0679, 0.4775]. Recommendation = [0.0, -0.2811, 0.1188], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -1.2809, 0.6211] = 347.1216, sampling [1.0, -0.1724, -0.2736]. Recommendation = [0.0, -0.2811, 0.1188], Current Cost = 5021.00, Rho = 1.000
