(iter 5) [0.0, 0.7848, -0.5494] = 320.4618, sampling [0.0, -0.2252, 1.2556]. Recommendation = [0.0, 0.7848, -0.5494], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.7848, -0.5494] = 320.4618, sampling [0.0, -0.1181, 1.5123]. Recommendation = [0.0, 0.7848, -0.5494], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 0.7848, -0.5494] = 320.4618, sampling [0.0, -0.2797, 0.9891]. Recommendation = [0.0, 0.7848, -0.5494], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, -0.2797, 0.9891] = 371.6918, sampling [0.0, 0.0961, 0.9512]. Recommendation = [0.0, -0.2797, 0.9891], Current Cost = 8000.00, Rho = -1.230
(iter 7) [0.0, -0.2797, 0.9891] = 371.6918, sampling [0.0, -0.0986, 1.0965]. Recommendation = [0.0, -0.2797, 0.9891], Current Cost = 9000.00, Rho = -1.230
(iter 7) [0.0, -0.2797, 0.9891] = 371.6918, sampling [0.0, -0.0487, 0.3535]. Recommendation = [0.0, -0.2797, 0.9891], Current Cost = 10000.00, Rho = -1.230
(iter 10) [0.0, -0.0487, 0.3535] = 442.8725, sampling [0.0, 0.2252, 0.2135]. Recommendation = [0.0, -0.0487, 0.3535], Current Cost = 11000.00, Rho = -1.230
(iter 11) [0.0, 0.2252, 0.2135] = 453.0510, sampling [0.0, 0.3844, 0.2965]. Recommendation = [0.0, 0.2252, 0.2135], Current Cost = 12000.00, Rho = -1.230
(iter 12) [0.0, 0.3844, 0.2965] = 453.7083, sampling [0.0, -0.0822, 0.1956]. Recommendation = [0.0, 0.3844, 0.2965], Current Cost = 13000.00, Rho = -1.230
(iter 12) [0.0, 0.3844, 0.2965] = 453.7083, sampling [0.0, -0.2063, 0.3756]. Recommendation = [0.0, 0.3844, 0.2965], Current Cost = 14000.00, Rho = -1.230
(iter 12) [0.0, 0.3844, 0.2965] = 453.7083, sampling [0.0, -0.3528, 0.5059]. Recommendation = [0.0, 0.3844, 0.2965], Current Cost = 15000.00, Rho = -1.230
(iter 12) [0.0, 0.3844, 0.2965] = 453.7083, sampling [0.0, -0.1919, 0.1763]. Recommendation = [0.0, 0.3844, 0.2965], Current Cost = 16000.00, Rho = -1.230
(iter 12) [0.0, 0.3844, 0.2965] = 453.7083, sampling [0.0, 0.5771, 0.1220]. Recommendation = [0.0, 0.3844, 0.2965], Current Cost = 17000.00, Rho = -1.230
(iter 12) [0.0, 0.3844, 0.2965] = 453.7083, sampling [0.0, 0.5218, -0.2249]. Recommendation = [0.0, 0.3844, 0.2965], Current Cost = 18000.00, Rho = -1.230
(iter 12) [0.0, 0.3844, 0.2965] = 453.7083, sampling [0.0, -0.1497, -0.1485]. Recommendation = [0.0, 0.3844, 0.2965], Current Cost = 19000.00, Rho = -1.230
(iter 12) [0.0, 0.3844, 0.2965] = 453.7083, sampling [0.0, -0.2175, -0.0959]. Recommendation = [0.0, 0.3844, 0.2965], Current Cost = 20000.00, Rho = -1.230
(iter 12) [0.0, 0.3844, 0.2965] = 453.7083, sampling [0.0, -0.3492, 0.0209]. Recommendation = [0.0, 0.3844, 0.2965], Current Cost = 21000.00, Rho = -1.230
(iter 12) [0.0, 0.3844, 0.2965] = 453.7083, sampling [0.0, -0.4769, 0.2375]. Recommendation = [0.0, 0.3844, 0.2965], Current Cost = 22000.00, Rho = -1.230
(iter 22) [0.0, -0.4769, 0.2375] = 454.1087, sampling [0.0, -0.4177, 0.4077]. Recommendation = [0.0, -0.4769, 0.2375], Current Cost = 23000.00, Rho = -1.230
(iter 22) [0.0, -0.4769, 0.2375] = 454.1087, sampling [0.0, 0.1439, -0.4344]. Recommendation = [0.0, -0.4769, 0.2375], Current Cost = 24000.00, Rho = -1.230
(iter 22) [0.0, -0.4769, 0.2375] = 454.1087, sampling [0.0, -0.4147, 0.6123]. Recommendation = [0.0, -0.4769, 0.2375], Current Cost = 25000.00, Rho = -1.230
(iter 22) [0.0, -0.4769, 0.2375] = 454.1087, sampling [0.0, -0.0190, -0.4293]. Recommendation = [0.0, -0.4769, 0.2375], Current Cost = 26000.00, Rho = -1.230
(iter 22) [0.0, -0.4769, 0.2375] = 454.1087, sampling [0.0, -0.4938, 0.2703]. Recommendation = [0.0, -0.4769, 0.2375], Current Cost = 27000.00, Rho = -1.230
(iter 22) [0.0, -0.4769, 0.2375] = 454.1087, sampling [0.0, -0.3217, -0.2535]. Recommendation = [0.0, -0.4769, 0.2375], Current Cost = 28000.00, Rho = -1.230
(iter 22) [0.0, -0.4769, 0.2375] = 454.1087, sampling [0.0, -0.5406, -0.0038]. Recommendation = [0.0, -0.4769, 0.2375], Current Cost = 29000.00, Rho = -1.230
(iter 22) [0.0, -0.4769, 0.2375] = 454.1087, sampling [0.0, -0.6548, 0.7525]. Recommendation = [0.0, -0.4769, 0.2375], Current Cost = 30000.00, Rho = -1.230
(iter 22) [0.0, -0.4769, 0.2375] = 454.1087, sampling [0.0, 0.6769, 0.4406]. Recommendation = [0.0, -0.4769, 0.2375], Current Cost = 31000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, 0.7677, 0.1728]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 32000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, 0.4643, 0.7994]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 33000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, 0.7814, -0.0639]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 34000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, -0.9452, 0.6400]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 35000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, -0.9620, 0.8401]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 36000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, -0.8227, 1.0073]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 37000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, -1.1076, 0.7323]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 38000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, -1.0829, 1.1292]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 39000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, -1.3014, 0.9626]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 40000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, -0.9763, 0.3305]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 41000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, -0.7750, 0.1066]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 42000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, -0.6225, -0.0297]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 43000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, -1.1520, 0.5670]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 44000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, -1.2954, 1.2195]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 45000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, -1.2441, 1.3790]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 46000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, -1.4288, 1.3721]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 47000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, -0.6945, 1.2872]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 48000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, -1.0245, 1.6730]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 49000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, -0.8439, 1.5499]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 50000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, -1.3214, 1.7303]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 51000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, -1.5127, 1.8959]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 52000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, -1.6626, 1.7068]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 53000.00, Rho = -1.230
(iter 31) [0.0, 0.6769, 0.4406] = 456.1648, sampling [0.0, -1.3573, 1.7236]. Recommendation = [0.0, 0.6769, 0.4406], Current Cost = 54000.00, Rho = -1.230
