(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.3059, 0.1011]. Recommendation = [0.0, 0.2098, -0.2297], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.0705, 0.2646]. Recommendation = [0.0, 0.3059, 0.1011], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.3780, 0.2907]. Recommendation = [0.0, 0.3059, 0.1011], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.7828, -0.1189]. Recommendation = [0.0, 0.3059, 0.1011], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.6264, 0.3456]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.4824, 0.4878]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -0.0196, 0.7087]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -0.1925, 0.1953]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.5554, 0.3808]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.0117, -0.2552]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.1060, -0.2170]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -0.4161, 0.2416]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -0.3226, 0.6680]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.3538, 0.1225]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.2732, -0.4504]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.6715, 0.5049]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.1998, 0.9566]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.8069, 0.4616]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.7320, 0.7030]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.9610, 0.2302]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.7361, 0.6414]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -0.5724, 0.1667]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -0.5076, -0.0953]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -0.8695, 0.6738]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -0.6933, 0.9694]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -0.2238, 1.0555]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -1.0281, 0.2087]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -0.0329, -0.3850]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.0833, -0.3049]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -0.3899, -0.3599]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.9003, 0.5179]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -0.6370, -0.1839]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.4791, 1.0319]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.9487, 0.4218]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -0.9720, 1.1516]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -0.8553, 1.2548]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -0.6118, 1.4892]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -1.0508, 1.2246]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.7604, -0.2573]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -1.0870, 1.3861]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -0.9000, 1.4371]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.9304, 1.0014]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 1.0394, 0.8840]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.4340, 1.6027]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 0.9941, 1.0664]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 1.0833, 1.0819]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 1.1038, 0.8394]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 1.1565, 0.5884]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -0.5568, -0.2049]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -0.1731, 0.8074]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, 1.0571, -0.0505]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -1.2796, 1.2659]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -0.8260, -0.1487]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -1.3300, 1.4825]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -1.1323, 1.9910]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -1.4142, 1.7055]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -1.3587, 1.9507]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -1.5644, 1.8275]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -0.8400, 1.6317]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -1.4551, 1.7668]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, 0.2098, -0.2297] = 448.1856, sampling [1.0, -1.4078, 1.5340]. Recommendation = [0.0, 0.3538, 0.1225], Current Cost = 5065.00, Rho = 1.000
