(iter 5) [0.0, 0.8447, 1.2185] = 430.7801, sampling [0.0, 0.0264, 0.5798]. Recommendation = [0.0, 0.8447, 1.2185], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.8447, 1.2185] = 430.7801, sampling [0.0, 0.4440, 0.6972]. Recommendation = [0.0, 0.8447, 1.2185], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, 0.4440, 0.6972] = 430.9886, sampling [0.0, 0.1588, 0.9418]. Recommendation = [0.0, 0.4440, 0.6972], Current Cost = 7000.00, Rho = -1.230
(iter 6) [0.0, 0.4440, 0.6972] = 430.9886, sampling [0.0, 0.1734, 0.1144]. Recommendation = [0.0, 0.4440, 0.6972], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, 0.1734, 0.1144] = 454.9044, sampling [0.0, 0.4916, 0.3554]. Recommendation = [0.0, 0.1734, 0.1144], Current Cost = 9000.00, Rho = -1.230
(iter 8) [0.0, 0.1734, 0.1144] = 454.9044, sampling [0.0, 0.2707, 0.0568]. Recommendation = [0.0, 0.1734, 0.1144], Current Cost = 10000.00, Rho = -1.230
(iter 10) [0.0, 0.2707, 0.0568] = 455.7410, sampling [0.0, 0.6849, 0.2754]. Recommendation = [0.0, 0.2707, 0.0568], Current Cost = 11000.00, Rho = -1.230
(iter 10) [0.0, 0.2707, 0.0568] = 455.7410, sampling [0.0, 0.4998, -0.1898]. Recommendation = [0.0, 0.2707, 0.0568], Current Cost = 12000.00, Rho = -1.230
(iter 10) [0.0, 0.2707, 0.0568] = 455.7410, sampling [0.0, 0.6500, 0.5137]. Recommendation = [0.0, 0.2707, 0.0568], Current Cost = 13000.00, Rho = -1.230
(iter 10) [0.0, 0.2707, 0.0568] = 455.7410, sampling [0.0, -0.0258, 0.0275]. Recommendation = [0.0, 0.2707, 0.0568], Current Cost = 14000.00, Rho = -1.230
(iter 10) [0.0, 0.2707, 0.0568] = 455.7410, sampling [0.0, 0.1924, -0.1662]. Recommendation = [0.0, 0.2707, 0.0568], Current Cost = 15000.00, Rho = -1.230
(iter 10) [0.0, 0.2707, 0.0568] = 455.7410, sampling [0.0, -0.2713, 0.3235]. Recommendation = [0.0, 0.2707, 0.0568], Current Cost = 16000.00, Rho = -1.230
(iter 10) [0.0, 0.2707, 0.0568] = 455.7410, sampling [0.0, -0.3010, -0.0358]. Recommendation = [0.0, 0.2707, 0.0568], Current Cost = 17000.00, Rho = -1.230
(iter 10) [0.0, 0.2707, 0.0568] = 455.7410, sampling [0.0, -0.5653, 0.2092]. Recommendation = [0.0, 0.2707, 0.0568], Current Cost = 18000.00, Rho = -1.230
(iter 10) [0.0, 0.2707, 0.0568] = 455.7410, sampling [0.0, -0.5593, 0.3966]. Recommendation = [0.0, 0.2707, 0.0568], Current Cost = 19000.00, Rho = -1.230
(iter 10) [0.0, 0.2707, 0.0568] = 455.7410, sampling [0.0, -0.4992, 0.0373]. Recommendation = [0.0, 0.2707, 0.0568], Current Cost = 20000.00, Rho = -1.230
(iter 10) [0.0, 0.2707, 0.0568] = 455.7410, sampling [0.0, 0.6234, 0.2924]. Recommendation = [0.0, 0.2707, 0.0568], Current Cost = 21000.00, Rho = -1.230
(iter 10) [0.0, 0.2707, 0.0568] = 455.7410, sampling [0.0, -0.4900, 0.5525]. Recommendation = [0.0, 0.2707, 0.0568], Current Cost = 22000.00, Rho = -1.230
(iter 10) [0.0, 0.2707, 0.0568] = 455.7410, sampling [0.0, 0.9434, 0.7427]. Recommendation = [0.0, 0.2707, 0.0568], Current Cost = 23000.00, Rho = -1.230
