(iter 5) [0.0, 0.1288, -0.1868] = 451.4046, sampling [0.0, -0.1457, 0.7155]. Recommendation = [0.0, 0.1288, -0.1868], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.1288, -0.1868] = 451.4046, sampling [0.0, -0.9533, 0.3501]. Recommendation = [0.0, 0.1288, -0.1868], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 0.1288, -0.1868] = 451.4046, sampling [0.0, -0.3105, 0.2734]. Recommendation = [0.0, 0.1288, -0.1868], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, -0.3105, 0.2734] = 451.4513, sampling [0.0, 0.1918, 1.4249]. Recommendation = [0.0, -0.3105, 0.2734], Current Cost = 8000.00, Rho = -1.230
(iter 7) [0.0, -0.3105, 0.2734] = 451.4513, sampling [0.0, 0.2818, 0.3758]. Recommendation = [0.0, -0.3105, 0.2734], Current Cost = 9000.00, Rho = -1.230
(iter 7) [0.0, -0.3105, 0.2734] = 451.4513, sampling [0.0, -1.4518, -0.2925]. Recommendation = [0.0, -0.1285, 0.0017], Current Cost = 10000.00, Rho = -1.230
(iter 7) [0.0, -0.3105, 0.2734] = 451.4513, sampling [0.0, -0.1285, 0.0017]. Recommendation = [0.0, -0.1285, 0.0017], Current Cost = 11000.00, Rho = -1.230
(iter 11) [0.0, -0.1285, 0.0017] = 455.0046, sampling [0.0, -0.8319, 0.7963]. Recommendation = [0.0, -0.1285, 0.0017], Current Cost = 12000.00, Rho = -1.230
(iter 11) [0.0, -0.1285, 0.0017] = 455.0046, sampling [0.0, 0.6100, 0.8530]. Recommendation = [0.0, -0.1285, 0.0017], Current Cost = 13000.00, Rho = -1.230
(iter 11) [0.0, -0.1285, 0.0017] = 455.0046, sampling [0.0, -0.6084, 1.2978]. Recommendation = [0.0, -0.1285, 0.0017], Current Cost = 14000.00, Rho = -1.230
(iter 11) [0.0, -0.1285, 0.0017] = 455.0046, sampling [0.0, -0.5675, 0.6230]. Recommendation = [0.0, -0.1285, 0.0017], Current Cost = 15000.00, Rho = -1.230
(iter 11) [0.0, -0.1285, 0.0017] = 455.0046, sampling [0.0, 1.2365, 1.8970]. Recommendation = [0.0, -0.1285, 0.0017], Current Cost = 16000.00, Rho = -1.230
(iter 11) [0.0, -0.1285, 0.0017] = 455.0046, sampling [0.0, 1.5291, 1.4469]. Recommendation = [0.0, -0.1285, 0.0017], Current Cost = 17000.00, Rho = -1.230
(iter 11) [0.0, -0.1285, 0.0017] = 455.0046, sampling [0.0, 0.4973, 1.9156]. Recommendation = [0.0, -0.1285, 0.0017], Current Cost = 18000.00, Rho = -1.230
(iter 11) [0.0, -0.1285, 0.0017] = 455.0046, sampling [0.0, 1.9338, 1.8317]. Recommendation = [0.0, -0.1285, 0.0017], Current Cost = 19000.00, Rho = -1.230
(iter 11) [0.0, -0.1285, 0.0017] = 455.0046, sampling [0.0, -0.7095, 0.0187]. Recommendation = [0.0, -0.1285, 0.0017], Current Cost = 20000.00, Rho = -1.230
