(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, 0.3412, -0.2791]. Recommendation = [0.0, 1.0378, 0.0143], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, 0.2641, -0.4805]. Recommendation = [0.0, 0.3412, -0.2791], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, 0.5134, -0.3748]. Recommendation = [0.0, 0.3412, -0.2791], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, 0.0497, -0.2558]. Recommendation = [0.0, 0.3412, -0.2791], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, 0.1765, 0.0944]. Recommendation = [0.0, 0.0497, -0.2558], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, 0.2948, -0.1517]. Recommendation = [0.0, 0.1765, 0.0944], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, -0.0021, -0.0220]. Recommendation = [0.0, 0.1765, 0.0944], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, -0.0411, -0.5499]. Recommendation = [0.0, -0.0021, -0.0220], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, 0.2859, 0.2355]. Recommendation = [0.0, -0.0021, -0.0220], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, 0.6839, -0.0985]. Recommendation = [0.0, -0.0021, -0.0220], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, 0.6016, 0.3866]. Recommendation = [0.0, -0.0021, -0.0220], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, -0.1379, -0.2565]. Recommendation = [0.0, 0.6016, 0.3866], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, -0.0793, 0.5824]. Recommendation = [0.0, 0.6016, 0.3866], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, 0.3999, 0.7585]. Recommendation = [0.0, 0.6016, 0.3866], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, 0.5387, 0.4880]. Recommendation = [0.0, 0.6016, 0.3866], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, -0.1828, 0.4030]. Recommendation = [0.0, 0.6016, 0.3866], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, 0.0915, 0.8216]. Recommendation = [0.0, 0.6016, 0.3866], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, 0.0120, -0.1846]. Recommendation = [0.0, 0.6016, 0.3866], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, 0.3682, -0.1396]. Recommendation = [0.0, 0.6016, 0.3866], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, -0.4190, -0.1254]. Recommendation = [0.0, 0.6016, 0.3866], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, -0.4950, 0.3411]. Recommendation = [0.0, 0.6016, 0.3866], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, -0.2847, 0.3636]. Recommendation = [0.0, 0.6016, 0.3866], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, -0.3920, 0.5936]. Recommendation = [0.0, 0.6016, 0.3866], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, -0.4519, -0.3243]. Recommendation = [0.0, 0.6016, 0.3866], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, 0.7909, 0.0361]. Recommendation = [0.0, 0.6016, 0.3866], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, -0.2038, 0.7180]. Recommendation = [0.0, 0.6016, 0.3866], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, 0.7557, 0.6603]. Recommendation = [0.0, 0.6016, 0.3866], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, 0.9153, 0.3726]. Recommendation = [0.0, 0.6016, 0.3866], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, -0.6490, 0.2896]. Recommendation = [0.0, 0.6016, 0.3866], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, -0.6713, 0.5404]. Recommendation = [0.0, 0.6016, 0.3866], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 1.0378, 0.0143] = 343.3702, sampling [1.0, -0.5683, 0.8384]. Recommendation = [0.0, 0.6016, 0.3866], Current Cost = 5035.00, Rho = 1.000
