(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, -0.6627, 0.4355]. Recommendation = [0.0, -0.8967, -0.1750], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, -0.3251, 0.4536]. Recommendation = [0.0, -0.6627, 0.4355], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, -0.3365, 0.6254]. Recommendation = [0.0, -0.6627, 0.4355], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, -0.6904, 0.5663]. Recommendation = [0.0, -0.6627, 0.4355], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, -0.7182, 0.1061]. Recommendation = [0.0, -0.6627, 0.4355], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, -0.1629, 0.2337]. Recommendation = [0.0, -0.6627, 0.4355], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, -0.0007, 0.5404]. Recommendation = [0.0, -0.6627, 0.4355], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, -0.5168, 0.0381]. Recommendation = [0.0, -0.6627, 0.4355], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, -0.1760, 0.0725]. Recommendation = [0.0, -0.6627, 0.4355], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, 0.2910, 0.4252]. Recommendation = [0.0, -0.1760, 0.0725], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, 0.2234, 0.8090]. Recommendation = [0.0, -0.1760, 0.0725], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, 0.4709, 0.4996]. Recommendation = [0.0, -0.1760, 0.0725], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, 0.4430, 0.1964]. Recommendation = [0.0, -0.1760, 0.0725], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, 0.5763, 0.3256]. Recommendation = [0.0, 0.4430, 0.1964], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, 0.3727, 0.3840]. Recommendation = [0.0, 0.4430, 0.1964], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, 0.6006, 0.5834]. Recommendation = [0.0, 0.4430, 0.1964], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, 0.7556, 0.4815]. Recommendation = [0.0, 0.4430, 0.1964], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, 0.6753, 0.7744]. Recommendation = [0.0, 0.4430, 0.1964], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, 0.8312, 0.7221]. Recommendation = [0.0, 0.4430, 0.1964], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, 0.0065, -0.0696]. Recommendation = [0.0, 0.8312, 0.7221], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, 0.2527, -0.0924]. Recommendation = [0.0, 0.8312, 0.7221], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, 0.1219, -0.1095]. Recommendation = [0.0, 0.8312, 0.7221], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, 0.9217, 0.3374]. Recommendation = [0.0, 0.8312, 0.7221], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, 1.0374, 0.6113]. Recommendation = [0.0, 0.8312, 0.7221], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, 0.7341, 0.9676]. Recommendation = [0.0, 0.8312, 0.7221], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, 0.5443, 0.9366]. Recommendation = [0.0, 0.8312, 0.7221], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, 0.6144, -0.1298]. Recommendation = [0.0, 0.8312, 0.7221], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, 0.3567, -0.1889]. Recommendation = [0.0, 0.8312, 0.7221], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, 0.1549, -0.2276]. Recommendation = [0.0, 0.8312, 0.7221], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, -0.1063, -0.2891]. Recommendation = [0.0, 0.8312, 0.7221], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, -0.2500, 0.7380]. Recommendation = [0.0, 0.8312, 0.7221], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, -0.8825, 0.7006]. Recommendation = [0.0, 0.8312, 0.7221], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, -0.9203, 0.8534]. Recommendation = [0.0, 0.8312, 0.7221], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, -0.8406, 1.0123]. Recommendation = [0.0, 0.8312, 0.7221], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, -0.6386, 1.0987]. Recommendation = [0.0, 0.8312, 0.7221], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, -1.1448, 0.8817]. Recommendation = [0.0, 0.8312, 0.7221], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, -1.1052, 1.0649]. Recommendation = [0.0, 0.8312, 0.7221], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, -1.0376, 1.2186]. Recommendation = [0.0, 0.8312, 0.7221], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, -1.1564, 1.0438]. Recommendation = [0.0, 0.8312, 0.7221], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, -1.0914, 1.3106]. Recommendation = [0.0, 0.8312, 0.7221], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.8967, -0.1750] = 356.8486, sampling [1.0, -1.3091, 1.3956]. Recommendation = [0.0, 0.8312, 0.7221], Current Cost = 5045.00, Rho = 1.000
