(iter 5) [0.0, 1.6346, 1.7884] = 377.8307, sampling [0.0, 1.6213, 1.5630]. Recommendation = [0.0, 1.6346, 1.7884], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 1.6346, 1.7884] = 377.8307, sampling [0.0, -0.4411, -0.2209]. Recommendation = [0.0, 1.6346, 1.7884], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, -0.4411, -0.2209] = 436.9558, sampling [0.0, -0.1538, -0.3325]. Recommendation = [0.0, -0.4411, -0.2209], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, -0.1538, -0.3325] = 442.2824, sampling [0.0, -0.2333, -0.0599]. Recommendation = [0.0, -0.1538, -0.3325], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, -0.2333, -0.0599] = 453.4729, sampling [0.0, 0.0066, -0.2312]. Recommendation = [0.0, -0.2333, -0.0599], Current Cost = 9000.00, Rho = -1.230
(iter 8) [0.0, -0.2333, -0.0599] = 453.4729, sampling [0.0, 0.1377, 0.0618]. Recommendation = [0.0, -0.2333, -0.0599], Current Cost = 10000.00, Rho = -1.230
(iter 10) [0.0, 0.1377, 0.0618] = 455.3729, sampling [0.0, -0.1387, 0.1096]. Recommendation = [0.0, 0.1377, 0.0618], Current Cost = 11000.00, Rho = -1.230
(iter 10) [0.0, 0.1377, 0.0618] = 455.3729, sampling [0.0, 0.2112, -0.1165]. Recommendation = [0.0, 0.1377, 0.0618], Current Cost = 12000.00, Rho = -1.230
(iter 10) [0.0, 0.1377, 0.0618] = 455.3729, sampling [0.0, -0.0469, 0.1548]. Recommendation = [0.0, 0.1377, 0.0618], Current Cost = 13000.00, Rho = -1.230
(iter 10) [0.0, 0.1377, 0.0618] = 455.3729, sampling [0.0, 0.3812, -0.0085]. Recommendation = [0.0, 0.1377, 0.0618], Current Cost = 14000.00, Rho = -1.230
(iter 10) [0.0, 0.1377, 0.0618] = 455.3729, sampling [0.0, 0.3425, 0.4217]. Recommendation = [0.0, 0.1377, 0.0618], Current Cost = 15000.00, Rho = -1.230
(iter 10) [0.0, 0.1377, 0.0618] = 455.3729, sampling [0.0, 0.5685, 0.3755]. Recommendation = [0.0, 0.1377, 0.0618], Current Cost = 16000.00, Rho = -1.230
(iter 16) [0.0, 0.5685, 0.3755] = 455.8400, sampling [0.0, 0.7335, 0.0953]. Recommendation = [0.0, 0.5685, 0.3755], Current Cost = 17000.00, Rho = -1.230
(iter 16) [0.0, 0.5685, 0.3755] = 455.8400, sampling [0.0, 0.4743, 0.3490]. Recommendation = [0.0, 0.4743, 0.3490], Current Cost = 18000.00, Rho = -1.230
(iter 16) [0.0, 0.5685, 0.3755] = 455.8400, sampling [0.0, 0.5302, -0.1622]. Recommendation = [0.0, 0.5685, 0.3755], Current Cost = 19000.00, Rho = -1.230
(iter 16) [0.0, 0.5685, 0.3755] = 455.8400, sampling [0.0, 0.5196, 0.6465]. Recommendation = [0.0, 0.5685, 0.3755], Current Cost = 20000.00, Rho = -1.230
(iter 16) [0.0, 0.5685, 0.3755] = 455.8400, sampling [0.0, 0.9402, 0.4481]. Recommendation = [0.0, 0.5685, 0.3755], Current Cost = 21000.00, Rho = -1.230
(iter 16) [0.0, 0.5685, 0.3755] = 455.8400, sampling [0.0, 0.8662, 0.7337]. Recommendation = [0.0, 0.5685, 0.3755], Current Cost = 22000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, 0.8161, 0.3178]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 23000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, 1.1488, 0.8190]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 24000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, 0.8461, 0.8697]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 25000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, 0.9571, 1.1684]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 26000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, 0.4839, 1.0326]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 27000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, 0.1253, -0.2964]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 28000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, -0.1802, 0.2966]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 29000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, -0.3909, -0.0176]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 30000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, 1.1573, 1.0029]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 31000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, -0.2874, 0.2325]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 32000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, -0.2009, 0.1766]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 33000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, 1.1756, 1.3298]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 34000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, 0.9014, 1.4090]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 35000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, 0.3105, 0.5356]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 36000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, -0.5011, 0.1309]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 37000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, 1.2638, 0.5061]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 38000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, -0.3513, 0.2600]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 39000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, 0.7709, 0.2482]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 40000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, -0.2990, -0.4595]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 41000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, 0.4153, 0.7662]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 42000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, 0.7957, -0.1932]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 43000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, -0.0604, -0.5921]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 44000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, 1.3019, 1.5781]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 45000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, 0.9716, 1.6658]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 46000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, -0.4150, 0.5551]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 47000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, -0.1045, 0.9755]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 48000.00, Rho = -1.230
(iter 22) [0.0, 0.8662, 0.7337] = 456.2545, sampling [0.0, 0.6988, 1.3446]. Recommendation = [0.0, 0.8662, 0.7337], Current Cost = 49000.00, Rho = -1.230
