(iter 10) [0.0, 0.1956, -0.8180] = 382.3314, sampling [1.0, -0.0209, -0.5689]. Recommendation = [0.0, 0.1956, -0.8180], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.1956, -0.8180] = 382.3314, sampling [1.0, -0.2675, -0.3350]. Recommendation = [0.0, -0.0209, -0.5689], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.1956, -0.8180] = 382.3314, sampling [1.0, 0.0286, -0.1711]. Recommendation = [0.0, -0.2675, -0.3350], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.1956, -0.8180] = 382.3314, sampling [1.0, -0.1159, 0.0099]. Recommendation = [0.0, 0.0286, -0.1711], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.1956, -0.8180] = 382.3314, sampling [1.0, -0.3486, -0.1381]. Recommendation = [0.0, -0.1159, 0.0099], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.1956, -0.8180] = 382.3314, sampling [1.0, -0.3768, 0.2253]. Recommendation = [0.0, -0.1159, 0.0099], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.1956, -0.8180] = 382.3314, sampling [1.0, -0.2127, 0.2166]. Recommendation = [0.0, -0.1159, 0.0099], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.1956, -0.8180] = 382.3314, sampling [1.0, -0.5339, -0.0845]. Recommendation = [0.0, -0.1159, 0.0099], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.1956, -0.8180] = 382.3314, sampling [1.0, -0.8607, 0.3644]. Recommendation = [0.0, -0.1159, 0.0099], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.1956, -0.8180] = 382.3314, sampling [1.0, -0.1450, 0.4747]. Recommendation = [0.0, -0.1159, 0.0099], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.1956, -0.8180] = 382.3314, sampling [1.0, 0.1562, 0.0888]. Recommendation = [0.0, -0.1159, 0.0099], Current Cost = 5015.00, Rho = 1.000
