(iter 10) [0.0, 1.2669, 1.3337] = 448.8663, sampling [1.0, 1.0351, 1.1674]. Recommendation = [0.0, 1.2669, 1.3337], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 1.2669, 1.3337] = 448.8663, sampling [1.0, 0.7998, 0.9948]. Recommendation = [0.0, 1.0351, 1.1674], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 1.2669, 1.3337] = 448.8663, sampling [1.0, 1.0543, 1.0317]. Recommendation = [0.0, 1.0351, 1.1674], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 1.2669, 1.3337] = 448.8663, sampling [1.0, 1.2175, 1.1507]. Recommendation = [0.0, 1.0543, 1.0317], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 1.2669, 1.3337] = 448.8663, sampling [1.0, 0.9271, 1.0426]. Recommendation = [0.0, 1.0543, 1.0317], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 1.2669, 1.3337] = 448.8663, sampling [1.0, 0.2319, 0.5832]. Recommendation = [0.0, 1.0543, 1.0317], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 1.2669, 1.3337] = 448.8663, sampling [1.0, 0.9791, 1.2916]. Recommendation = [0.0, 1.0543, 1.0317], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 1.2669, 1.3337] = 448.8663, sampling [1.0, 0.9432, 0.5663]. Recommendation = [0.0, 1.0543, 1.0317], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 1.2669, 1.3337] = 448.8663, sampling [1.0, 0.6541, 0.3376]. Recommendation = [0.0, 1.0543, 1.0317], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 1.2669, 1.3337] = 448.8663, sampling [1.0, 0.5837, 0.9136]. Recommendation = [0.0, 1.0543, 1.0317], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 1.2669, 1.3337] = 448.8663, sampling [1.0, 0.0037, 0.0756]. Recommendation = [0.0, 1.0543, 1.0317], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 1.2669, 1.3337] = 448.8663, sampling [1.0, 0.6024, 0.2801]. Recommendation = [0.0, 1.0543, 1.0317], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 1.2669, 1.3337] = 448.8663, sampling [1.0, 0.0940, -0.0901]. Recommendation = [0.0, 1.0543, 1.0317], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 1.2669, 1.3337] = 448.8663, sampling [1.0, 0.1032, 0.3779]. Recommendation = [0.0, 1.0543, 1.0317], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 1.2669, 1.3337] = 448.8663, sampling [1.0, -0.2890, 0.0448]. Recommendation = [0.0, 1.0543, 1.0317], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 1.2669, 1.3337] = 448.8663, sampling [1.0, 0.7067, 0.3561]. Recommendation = [0.0, 1.0543, 1.0317], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 1.2669, 1.3337] = 448.8663, sampling [1.0, -0.3381, -0.0622]. Recommendation = [0.0, 1.0543, 1.0317], Current Cost = 5021.00, Rho = 1.000
