(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.2939, 0.0139]. Recommendation = [0.0, 0.0139, -0.3482], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.4687, 0.2621]. Recommendation = [0.0, -0.2939, 0.0139], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.5291, 0.0591]. Recommendation = [0.0, -0.2939, 0.0139], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.4123, -0.1733]. Recommendation = [0.0, -0.2939, 0.0139], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.6714, 0.5121]. Recommendation = [0.0, -0.2939, 0.0139], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.8807, 0.3116]. Recommendation = [0.0, -0.2939, 0.0139], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.5998, 0.3929]. Recommendation = [0.0, -0.2939, 0.0139], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.2402, 0.2843]. Recommendation = [0.0, -0.2939, 0.0139], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.3719, 0.2111]. Recommendation = [0.0, -0.3719, 0.2111], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.1414, 0.1292]. Recommendation = [0.0, -0.2939, 0.0139], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.3549, 0.4492]. Recommendation = [0.0, -0.2939, 0.0139], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, 0.0521, -0.0746]. Recommendation = [0.0, -0.2939, 0.0139], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.8477, 0.5075]. Recommendation = [0.0, 0.0521, -0.0746], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.8270, 0.6518]. Recommendation = [0.0, 0.0521, -0.0746], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.3858, 0.6684]. Recommendation = [0.0, 0.0521, -0.0746], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.6095, 0.8705]. Recommendation = [0.0, 0.0521, -0.0746], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.9769, 0.8315]. Recommendation = [0.0, 0.0521, -0.0746], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -1.0428, 0.4656]. Recommendation = [0.0, 0.0521, -0.0746], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, 0.1464, -0.2864]. Recommendation = [0.0, 0.0521, -0.0746], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.6852, 1.0403]. Recommendation = [0.0, 0.0521, -0.0746], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.0991, 0.7366]. Recommendation = [0.0, 0.0521, -0.0746], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, 0.3019, 0.1568]. Recommendation = [0.0, 0.0521, -0.0746], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, 0.3096, 0.0410]. Recommendation = [0.0, 0.3019, 0.1568], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.4898, 0.9559]. Recommendation = [0.0, 0.3096, 0.0410], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, 0.4196, -0.1287]. Recommendation = [0.0, 0.3096, 0.0410], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, 0.3922, 0.1876]. Recommendation = [0.0, 0.3096, 0.0410], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, 0.5295, 0.0967]. Recommendation = [0.0, 0.3922, 0.1876], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, 0.2418, 0.6977]. Recommendation = [0.0, 0.3922, 0.1876], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.9254, 1.1122]. Recommendation = [0.0, 0.3922, 0.1876], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -1.1055, 0.7798]. Recommendation = [0.0, 0.3922, 0.1876], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -1.0768, 1.1299]. Recommendation = [0.0, 0.3922, 0.1876], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -1.0144, 1.2790]. Recommendation = [0.0, 0.3922, 0.1876], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.5475, -0.3880]. Recommendation = [0.0, 0.3922, 0.1876], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -1.0911, 1.3027]. Recommendation = [0.0, 0.3922, 0.1876], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.9591, -0.2379]. Recommendation = [0.0, 0.3922, 0.1876], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, 0.1886, -0.5253]. Recommendation = [0.0, 0.3922, 0.1876], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, 0.4600, -0.3768]. Recommendation = [0.0, 0.3922, 0.1876], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -1.2562, 1.3786]. Recommendation = [0.0, 0.3922, 0.1876], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -1.1901, 1.4276]. Recommendation = [0.0, 0.3922, 0.1876], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -1.3714, 1.3653]. Recommendation = [0.0, 0.3922, 0.1876], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -1.4923, 0.9233]. Recommendation = [0.0, 0.3922, 0.1876], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -1.2445, 1.4629]. Recommendation = [0.0, 0.3922, 0.1876], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -1.2285, 1.5573]. Recommendation = [0.0, 0.3922, 0.1876], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.0139, -0.3482] = 443.1919, sampling [1.0, -0.5140, 1.3135]. Recommendation = [0.0, 0.3922, 0.1876], Current Cost = 5048.00, Rho = 1.000
