(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.1832, 0.4264]. Recommendation = [0.0, 0.3790, 0.0675], Current Cost = 5005.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.5706, 0.9973]. Recommendation = [0.0, -0.1832, 0.4264], Current Cost = 5006.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.4754, 0.4936]. Recommendation = [0.0, -0.1832, 0.4264], Current Cost = 5007.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.0124, 0.6013]. Recommendation = [0.0, -0.4754, 0.4936], Current Cost = 5008.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.5569, 0.1092]. Recommendation = [0.0, -0.4754, 0.4936], Current Cost = 5009.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.1466, -0.1700]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5010.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.2134, 0.0594]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5011.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.9185, 0.7023]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5012.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.7819, 0.9378]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5013.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.7872, 0.1316]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5014.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.6021, -0.2272]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5015.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -1.0407, 0.2485]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5016.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.2421, -0.2588]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5017.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.8036, -0.1548]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5018.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -1.0762, 0.8393]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5019.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.0135, 0.8634]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5020.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.4130, 0.5414]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5021.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.3726, -0.5864]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5022.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.2636, -0.4626]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5023.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.7275, -0.6657]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5024.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.5806, 1.1651]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5025.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.5349, -0.2843]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5026.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -1.1864, 1.2310]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5027.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.8161, 1.0297]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5028.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.7521, 0.0347]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5029.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.0984, -0.5595]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5030.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.2457, -0.4060]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5031.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.0898, -0.5960]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5032.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.2100, -0.8778]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5033.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.0903, -0.7130]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5034.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.3025, -0.7519]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5035.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -1.1558, -0.0266]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5036.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.0518, 0.5518]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5037.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.3014, 0.1191]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5038.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -1.2877, 1.3661]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5039.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.7400, 0.1547]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5040.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -1.4383, 1.0852]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5041.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -1.2537, 0.8069]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5042.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -1.2458, 1.2789]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5043.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, -0.4358, 1.5621]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5044.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.4527, 0.6815]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5045.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.1485, 0.7453]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5046.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.5323, 0.3931]. Recommendation = [0.0, -0.5569, 0.1092], Current Cost = 5047.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.5571, 0.5039]. Recommendation = [0.0, 0.5323, 0.3931], Current Cost = 5048.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.3421, 0.8699]. Recommendation = [0.0, 0.5571, 0.5039], Current Cost = 5049.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.0553, 1.0495]. Recommendation = [0.0, 0.5571, 0.5039], Current Cost = 5050.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.6105, 0.2988]. Recommendation = [0.0, 0.5571, 0.5039], Current Cost = 5051.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.6936, 0.4794]. Recommendation = [0.0, 0.5571, 0.5039], Current Cost = 5052.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.6774, 0.8933]. Recommendation = [0.0, 0.6936, 0.4794], Current Cost = 5053.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.4465, 1.2908]. Recommendation = [0.0, 0.6936, 0.4794], Current Cost = 5054.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.5109, 0.0126]. Recommendation = [0.0, 0.6936, 0.4794], Current Cost = 5055.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.7621, 0.3588]. Recommendation = [0.0, 0.6936, 0.4794], Current Cost = 5056.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.5270, -0.1939]. Recommendation = [0.0, 0.6936, 0.4794], Current Cost = 5057.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 1.0297, 0.9057]. Recommendation = [0.0, 0.6936, 0.4794], Current Cost = 5058.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.9992, 1.1078]. Recommendation = [0.0, 1.0297, 0.9057], Current Cost = 5059.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.8204, 1.3284]. Recommendation = [0.0, 0.9992, 1.1078], Current Cost = 5060.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.6458, 1.2527]. Recommendation = [0.0, 0.9992, 1.1078], Current Cost = 5061.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 1.0897, 1.3094]. Recommendation = [0.0, 0.9992, 1.1078], Current Cost = 5062.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 1.1610, 1.1484]. Recommendation = [0.0, 1.0897, 1.3094], Current Cost = 5063.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.9834, 1.6330]. Recommendation = [0.0, 1.0897, 1.3094], Current Cost = 5064.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 0.8437, 1.4843]. Recommendation = [0.0, 1.0897, 1.3094], Current Cost = 5065.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 1.3786, 1.3815]. Recommendation = [0.0, 1.0897, 1.3094], Current Cost = 5066.00, Rho = 0.333
(iter 10) [0.0, 0.3790, 0.0675] = 455.3346, sampling [1.0, 1.1878, 1.7179]. Recommendation = [0.0, 1.0897, 1.3094], Current Cost = 5067.00, Rho = 0.333
