(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, -0.0037, 0.7631]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, 0.2713, 0.5353]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, -0.8506, 0.9738]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, -0.6588, 1.4165]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, -0.7112, 0.4581]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 9000.00, Rho = -1.230
(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, -1.0883, 0.7092]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 10000.00, Rho = -1.230
(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, -0.3853, 0.2905]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 11000.00, Rho = -1.230
(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, -0.6207, 0.6849]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 12000.00, Rho = -1.230
(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, 0.0247, 0.0986]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 13000.00, Rho = -1.230
(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, -0.2632, 0.1666]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 14000.00, Rho = -1.230
(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, -0.6279, 0.1130]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 15000.00, Rho = -1.230
(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, -1.2823, 1.0586]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 16000.00, Rho = -1.230
(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, -0.5235, 0.3342]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 17000.00, Rho = -1.230
(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, -1.0260, 0.4400]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 18000.00, Rho = -1.230
(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, -0.4621, 0.8932]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 19000.00, Rho = -1.230
(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, -0.7962, 0.2282]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 20000.00, Rho = -1.230
(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, 0.0536, 0.5449]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 21000.00, Rho = -1.230
(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, 0.4221, 1.2491]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 22000.00, Rho = -1.230
(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, -0.5388, -0.1081]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 23000.00, Rho = -1.230
(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, -0.1787, -0.1538]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 24000.00, Rho = -1.230
(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, -1.0597, 1.2394]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 25000.00, Rho = -1.230
(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, -1.3496, 1.3482]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 26000.00, Rho = -1.230
(iter 5) [0.0, 0.3105, 0.1822] = 455.0888, sampling [0.0, 0.2525, 0.1397]. Recommendation = [0.0, 0.3105, 0.1822], Current Cost = 27000.00, Rho = -1.230
(iter 27) [0.0, 0.2525, 0.1397] = 455.1644, sampling [0.0, -1.1507, 1.4976]. Recommendation = [0.0, 0.2525, 0.1397], Current Cost = 28000.00, Rho = -1.230
(iter 27) [0.0, 0.2525, 0.1397] = 455.1644, sampling [0.0, 0.5839, 0.4086]. Recommendation = [0.0, 0.2525, 0.1397], Current Cost = 29000.00, Rho = -1.230
(iter 29) [0.0, 0.5839, 0.4086] = 455.6691, sampling [0.0, -1.0429, 1.3259]. Recommendation = [0.0, 0.5839, 0.4086], Current Cost = 30000.00, Rho = -1.230
(iter 29) [0.0, 0.5839, 0.4086] = 455.6691, sampling [0.0, -1.7918, 0.8072]. Recommendation = [0.0, 0.5839, 0.4086], Current Cost = 31000.00, Rho = -1.230
(iter 29) [0.0, 0.5839, 0.4086] = 455.6691, sampling [0.0, -0.9135, 0.9405]. Recommendation = [0.0, 0.5839, 0.4086], Current Cost = 32000.00, Rho = -1.230
(iter 29) [0.0, 0.5839, 0.4086] = 455.6691, sampling [0.0, 0.0874, -0.1671]. Recommendation = [0.0, 0.5839, 0.4086], Current Cost = 33000.00, Rho = -1.230
(iter 29) [0.0, 0.5839, 0.4086] = 455.6691, sampling [0.0, -0.2883, -0.2342]. Recommendation = [0.0, 0.5839, 0.4086], Current Cost = 34000.00, Rho = -1.230
(iter 29) [0.0, 0.5839, 0.4086] = 455.6691, sampling [0.0, 0.7166, 0.4728]. Recommendation = [0.0, 0.5839, 0.4086], Current Cost = 35000.00, Rho = -1.230
(iter 35) [0.0, 0.7166, 0.4728] = 456.0541, sampling [0.0, -1.3340, 1.4867]. Recommendation = [0.0, 0.6014, 0.4234], Current Cost = 36000.00, Rho = -1.230
(iter 35) [0.0, 0.7166, 0.4728] = 456.0541, sampling [0.0, -0.9595, 1.5544]. Recommendation = [0.0, 0.6014, 0.4234], Current Cost = 37000.00, Rho = -1.230
(iter 35) [0.0, 0.7166, 0.4728] = 456.0541, sampling [0.0, 0.8369, 0.8658]. Recommendation = [0.0, 0.6014, 0.4234], Current Cost = 38000.00, Rho = -1.230
(iter 35) [0.0, 0.7166, 0.4728] = 456.0541, sampling [0.0, 0.9468, 0.5122]. Recommendation = [0.0, 0.7166, 0.4728], Current Cost = 39000.00, Rho = -1.230
(iter 35) [0.0, 0.7166, 0.4728] = 456.0541, sampling [0.0, 0.7726, 0.3938]. Recommendation = [0.0, 0.7166, 0.4728], Current Cost = 40000.00, Rho = -1.230
(iter 35) [0.0, 0.7166, 0.4728] = 456.0541, sampling [0.0, 1.0497, 0.6643]. Recommendation = [0.0, 0.7166, 0.4728], Current Cost = 41000.00, Rho = -1.230
(iter 35) [0.0, 0.7166, 0.4728] = 456.0541, sampling [0.0, 0.9226, 1.0249]. Recommendation = [0.0, 0.7166, 0.4728], Current Cost = 42000.00, Rho = -1.230
(iter 35) [0.0, 0.7166, 0.4728] = 456.0541, sampling [0.0, 1.2566, 1.1072]. Recommendation = [0.0, 0.7166, 0.4728], Current Cost = 43000.00, Rho = -1.230
(iter 35) [0.0, 0.7166, 0.4728] = 456.0541, sampling [0.0, 0.9752, 1.4525]. Recommendation = [0.0, 0.7166, 0.4728], Current Cost = 44000.00, Rho = -1.230
(iter 35) [0.0, 0.7166, 0.4728] = 456.0541, sampling [0.0, 0.8191, 1.3020]. Recommendation = [0.0, 0.7166, 0.4728], Current Cost = 45000.00, Rho = -1.230
(iter 35) [0.0, 0.7166, 0.4728] = 456.0541, sampling [0.0, 1.2869, 1.5703]. Recommendation = [0.0, 0.7166, 0.4728], Current Cost = 46000.00, Rho = -1.230
(iter 35) [0.0, 0.7166, 0.4728] = 456.0541, sampling [0.0, 1.5407, 1.4562]. Recommendation = [0.0, 0.7166, 0.4728], Current Cost = 47000.00, Rho = -1.230
(iter 35) [0.0, 0.7166, 0.4728] = 456.0541, sampling [0.0, 1.0994, 1.7290]. Recommendation = [0.0, 0.7166, 0.4728], Current Cost = 48000.00, Rho = -1.230
(iter 35) [0.0, 0.7166, 0.4728] = 456.0541, sampling [0.0, 1.2361, 1.5369]. Recommendation = [0.0, 0.7166, 0.4728], Current Cost = 49000.00, Rho = -1.230
(iter 49) [0.0, 1.2361, 1.5369] = 456.2364, sampling [0.0, 0.4978, 1.9627]. Recommendation = [0.0, 1.2361, 1.5369], Current Cost = 50000.00, Rho = -1.230
(iter 49) [0.0, 1.2361, 1.5369] = 456.2364, sampling [0.0, 0.4420, -0.0547]. Recommendation = [0.0, 1.2361, 1.5369], Current Cost = 51000.00, Rho = -1.230
(iter 49) [0.0, 1.2361, 1.5369] = 456.2364, sampling [0.0, 0.7032, 0.1451]. Recommendation = [0.0, 1.2361, 1.5369], Current Cost = 52000.00, Rho = -1.230
(iter 49) [0.0, 1.2361, 1.5369] = 456.2364, sampling [0.0, 0.5706, 0.0005]. Recommendation = [0.0, 1.2361, 1.5369], Current Cost = 53000.00, Rho = -1.230
(iter 49) [0.0, 1.2361, 1.5369] = 456.2364, sampling [0.0, 0.7542, 0.2169]. Recommendation = [0.0, 1.2361, 1.5369], Current Cost = 54000.00, Rho = -1.230
(iter 49) [0.0, 1.2361, 1.5369] = 456.2364, sampling [0.0, 0.3432, -0.2136]. Recommendation = [0.0, 1.2361, 1.5369], Current Cost = 55000.00, Rho = -1.230
(iter 49) [0.0, 1.2361, 1.5369] = 456.2364, sampling [0.0, 0.1090, -0.3466]. Recommendation = [0.0, 1.2361, 1.5369], Current Cost = 56000.00, Rho = -1.230
(iter 49) [0.0, 1.2361, 1.5369] = 456.2364, sampling [0.0, 1.3275, 0.6993]. Recommendation = [0.0, 1.2361, 1.5369], Current Cost = 57000.00, Rho = -1.230
(iter 49) [0.0, 1.2361, 1.5369] = 456.2364, sampling [0.0, -0.5818, -0.0400]. Recommendation = [0.0, 1.2361, 1.5369], Current Cost = 58000.00, Rho = -1.230
(iter 49) [0.0, 1.2361, 1.5369] = 456.2364, sampling [0.0, -0.1941, 0.7355]. Recommendation = [0.0, 1.2361, 1.5369], Current Cost = 59000.00, Rho = -1.230
(iter 49) [0.0, 1.2361, 1.5369] = 456.2364, sampling [0.0, 0.6014, 0.4234]. Recommendation = [0.0, 1.2361, 1.5369], Current Cost = 60000.00, Rho = -1.230
(iter 49) [0.0, 1.2361, 1.5369] = 456.2364, sampling [0.0, -0.3277, -0.4890]. Recommendation = [0.0, 1.2361, 1.5369], Current Cost = 61000.00, Rho = -1.230
(iter 49) [0.0, 1.2361, 1.5369] = 456.2364, sampling [0.0, 1.3930, 1.6532]. Recommendation = [0.0, 1.2361, 1.5369], Current Cost = 62000.00, Rho = -1.230
(iter 49) [0.0, 1.2361, 1.5369] = 456.2364, sampling [0.0, 1.4145, 1.9873]. Recommendation = [0.0, 1.2361, 1.5369], Current Cost = 63000.00, Rho = -1.230
(iter 49) [0.0, 1.2361, 1.5369] = 456.2364, sampling [0.0, 1.5678, 1.8067]. Recommendation = [0.0, 1.2361, 1.5369], Current Cost = 64000.00, Rho = -1.230
(iter 49) [0.0, 1.2361, 1.5369] = 456.2364, sampling [0.0, 1.1088, 1.9749]. Recommendation = [0.0, 1.2361, 1.5369], Current Cost = 65000.00, Rho = -1.230
(iter 49) [0.0, 1.2361, 1.5369] = 456.2364, sampling [0.0, 1.0140, 1.5109]. Recommendation = [0.0, 1.2361, 1.5369], Current Cost = 66000.00, Rho = -1.230
