(iter 5) [0.0, -0.5251, -0.4522] = 400.9863, sampling [0.0, -0.7171, -0.0970]. Recommendation = [0.0, -0.5251, -0.4522], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.7171, -0.0970] = 415.9890, sampling [0.0, -1.0070, -0.2376]. Recommendation = [0.0, -0.7171, -0.0970], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, -0.7171, -0.0970] = 415.9890, sampling [0.0, -0.4549, 0.0835]. Recommendation = [0.0, -0.7171, -0.0970], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, -0.4549, 0.0835] = 452.6601, sampling [0.0, -0.7430, 0.4093]. Recommendation = [0.0, -0.4549, 0.0835], Current Cost = 8000.00, Rho = -1.230
(iter 7) [0.0, -0.4549, 0.0835] = 452.6601, sampling [0.0, -0.4950, 0.2992]. Recommendation = [0.0, -0.4549, 0.0835], Current Cost = 9000.00, Rho = -1.230
(iter 9) [0.0, -0.4950, 0.2992] = 453.7718, sampling [0.0, -0.6195, 0.0569]. Recommendation = [0.0, -0.4950, 0.2992], Current Cost = 10000.00, Rho = -1.230
(iter 9) [0.0, -0.4950, 0.2992] = 453.7718, sampling [0.0, -0.6242, 0.5984]. Recommendation = [0.0, -0.4950, 0.2992], Current Cost = 11000.00, Rho = -1.230
(iter 9) [0.0, -0.4950, 0.2992] = 453.7718, sampling [0.0, -0.2587, 0.2766]. Recommendation = [0.0, -0.4950, 0.2992], Current Cost = 12000.00, Rho = -1.230
(iter 9) [0.0, -0.4950, 0.2992] = 453.7718, sampling [0.0, -0.3163, 0.1329]. Recommendation = [0.0, -0.4950, 0.2992], Current Cost = 13000.00, Rho = -1.230
(iter 13) [0.0, -0.3163, 0.1329] = 454.4593, sampling [0.0, -0.8074, 0.5872]. Recommendation = [0.0, -0.3163, 0.1329], Current Cost = 14000.00, Rho = -1.230
(iter 13) [0.0, -0.3163, 0.1329] = 454.4593, sampling [0.0, -0.1752, 0.4589]. Recommendation = [0.0, -0.3163, 0.1329], Current Cost = 15000.00, Rho = -1.230
(iter 13) [0.0, -0.3163, 0.1329] = 454.4593, sampling [0.0, -0.5981, 0.9006]. Recommendation = [0.0, -0.3163, 0.1329], Current Cost = 16000.00, Rho = -1.230
(iter 13) [0.0, -0.3163, 0.1329] = 454.4593, sampling [0.0, -0.5854, 0.6843]. Recommendation = [0.0, -0.3163, 0.1329], Current Cost = 17000.00, Rho = -1.230
(iter 13) [0.0, -0.3163, 0.1329] = 454.4593, sampling [0.0, -0.1405, -0.0135]. Recommendation = [0.0, -0.3163, 0.1329], Current Cost = 18000.00, Rho = -1.230
(iter 18) [0.0, -0.1405, -0.0135] = 454.8890, sampling [0.0, -0.1223, 0.2577]. Recommendation = [0.0, -0.1405, -0.0135], Current Cost = 19000.00, Rho = -1.230
