(iter 10) [0.0, -1.2922, 1.8488] = 447.8433, sampling [1.0, -0.2595, -0.1479]. Recommendation = [0.0, -1.2922, 1.8488], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -1.2922, 1.8488] = 447.8433, sampling [1.0, -1.1792, 1.2042]. Recommendation = [0.0, -0.2595, -0.1479], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -1.2922, 1.8488] = 447.8433, sampling [1.0, -0.7569, -0.0565]. Recommendation = [0.0, -0.2595, -0.1479], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -1.2922, 1.8488] = 447.8433, sampling [1.0, -0.3928, 0.3599]. Recommendation = [0.0, -0.2595, -0.1479], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -1.2922, 1.8488] = 447.8433, sampling [1.0, -0.7505, 1.0605]. Recommendation = [0.0, -0.3928, 0.3599], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -1.2922, 1.8488] = 447.8433, sampling [1.0, -0.2479, -0.5561]. Recommendation = [0.0, -0.3928, 0.3599], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -1.2922, 1.8488] = 447.8433, sampling [1.0, -1.1865, 1.5503]. Recommendation = [0.0, -0.3928, 0.3599], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -1.2922, 1.8488] = 447.8433, sampling [1.0, -1.6185, 1.1956]. Recommendation = [0.0, -0.3928, 0.3599], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -1.2922, 1.8488] = 447.8433, sampling [1.0, -0.0156, 0.0526]. Recommendation = [0.0, -0.3928, 0.3599], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -1.2922, 1.8488] = 447.8433, sampling [1.0, -0.0176, -0.3898]. Recommendation = [0.0, -0.2839, 0.0654], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -1.2922, 1.8488] = 447.8433, sampling [1.0, -0.2839, 0.0654]. Recommendation = [0.0, -0.2839, 0.0654], Current Cost = 5015.00, Rho = 1.000
