(iter 5) [0.0, -0.1996, -0.0112] = 454.6001, sampling [0.0, -0.2249, 0.2925]. Recommendation = [0.0, -0.1996, -0.0112], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.1996, -0.0112] = 454.6001, sampling [0.0, -0.3896, 0.0642]. Recommendation = [0.0, -0.1996, -0.0112], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, -0.1996, -0.0112] = 454.6001, sampling [0.0, -0.2562, 0.8224]. Recommendation = [0.0, -0.2910, 0.0545], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, -0.1996, -0.0112] = 454.6001, sampling [0.0, -0.2910, 0.0545]. Recommendation = [0.0, -0.2910, 0.0545], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, -0.1996, -0.0112] = 454.6001, sampling [0.0, 0.0412, 0.6284]. Recommendation = [0.0, -0.1996, -0.0112], Current Cost = 9000.00, Rho = -1.230
(iter 5) [0.0, -0.1996, -0.0112] = 454.6001, sampling [0.0, 0.1855, 0.3084]. Recommendation = [0.0, -0.1996, -0.0112], Current Cost = 10000.00, Rho = -1.230
(iter 5) [0.0, -0.1996, -0.0112] = 454.6001, sampling [0.0, 0.1942, 0.5162]. Recommendation = [0.0, -0.1996, -0.0112], Current Cost = 11000.00, Rho = -1.230
(iter 5) [0.0, -0.1996, -0.0112] = 454.6001, sampling [0.0, 0.2620, 0.0262]. Recommendation = [0.0, -0.1996, -0.0112], Current Cost = 12000.00, Rho = -1.230
(iter 12) [0.0, 0.2620, 0.0262] = 455.5750, sampling [0.0, 0.2988, 0.2251]. Recommendation = [0.0, 0.2620, 0.0262], Current Cost = 13000.00, Rho = -1.230
(iter 12) [0.0, 0.2620, 0.0262] = 455.5750, sampling [0.0, -0.0540, -0.1892]. Recommendation = [0.0, 0.2620, 0.0262], Current Cost = 14000.00, Rho = -1.230
(iter 12) [0.0, 0.2620, 0.0262] = 455.5750, sampling [0.0, 0.4879, 0.6651]. Recommendation = [0.0, 0.2620, 0.0262], Current Cost = 15000.00, Rho = -1.230
(iter 12) [0.0, 0.2620, 0.0262] = 455.5750, sampling [0.0, 0.5696, 0.3564]. Recommendation = [0.0, 0.2620, 0.0262], Current Cost = 16000.00, Rho = -1.230
(iter 16) [0.0, 0.5696, 0.3564] = 456.0134, sampling [0.0, 0.3627, 0.6001]. Recommendation = [0.0, 0.5696, 0.3564], Current Cost = 17000.00, Rho = -1.230
(iter 16) [0.0, 0.5696, 0.3564] = 456.0134, sampling [0.0, 0.2196, 1.0207]. Recommendation = [0.0, 0.5696, 0.3564], Current Cost = 18000.00, Rho = -1.230
(iter 16) [0.0, 0.5696, 0.3564] = 456.0134, sampling [0.0, 0.6633, 0.7463]. Recommendation = [0.0, 0.5696, 0.3564], Current Cost = 19000.00, Rho = -1.230
(iter 16) [0.0, 0.5696, 0.3564] = 456.0134, sampling [0.0, 0.8965, 0.6838]. Recommendation = [0.0, 0.5696, 0.3564], Current Cost = 20000.00, Rho = -1.230
(iter 16) [0.0, 0.5696, 0.3564] = 456.0134, sampling [0.0, 0.8934, 0.3480]. Recommendation = [0.0, 0.5696, 0.3564], Current Cost = 21000.00, Rho = -1.230
(iter 16) [0.0, 0.5696, 0.3564] = 456.0134, sampling [0.0, 0.7042, 0.3287]. Recommendation = [0.0, 0.5696, 0.3564], Current Cost = 22000.00, Rho = -1.230
(iter 16) [0.0, 0.5696, 0.3564] = 456.0134, sampling [0.0, 0.8329, 0.9401]. Recommendation = [0.0, 0.5696, 0.3564], Current Cost = 23000.00, Rho = -1.230
(iter 16) [0.0, 0.5696, 0.3564] = 456.0134, sampling [0.0, 1.1404, 0.7954]. Recommendation = [0.0, 0.5696, 0.3564], Current Cost = 24000.00, Rho = -1.230
(iter 16) [0.0, 0.5696, 0.3564] = 456.0134, sampling [0.0, 0.9756, 0.9789]. Recommendation = [0.0, 0.5696, 0.3564], Current Cost = 25000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, 1.0817, 1.2073]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 26000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, 0.9208, 1.2799]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 27000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, 1.2402, 1.3214]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 28000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, 0.5409, 1.2195]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 29000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, 0.7500, 0.1727]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 30000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, 1.3798, 0.6520]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 31000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, 1.1740, 1.4579]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 32000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, 1.4540, 1.4433]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 33000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, 0.3957, 0.7708]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 34000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, 1.2809, 1.4830]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 35000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, 1.2223, 1.4059]. Recommendation = [0.0, 1.2223, 1.4059], Current Cost = 36000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, -0.7460, 0.7182]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 37000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, -0.5384, 1.0042]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 38000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, -0.6469, 0.1104]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 39000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, -0.8993, 0.4111]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 40000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, -0.8853, 0.6101]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 41000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, -1.0486, 0.7527]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 42000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, -0.7881, 1.0815]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 43000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, -1.0833, 1.0352]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 44000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, -1.0624, 1.2593]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 45000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, -0.6081, 1.4284]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 46000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, -1.2383, 0.8870]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 47000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, -1.1044, 1.1497]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 48000.00, Rho = -1.230
(iter 25) [0.0, 0.9756, 0.9789] = 456.2257, sampling [0.0, -1.2900, 1.5398]. Recommendation = [0.0, 0.9756, 0.9789], Current Cost = 49000.00, Rho = -1.230
