(iter 5) [0.0, -0.1483, -0.1305] = 452.6564, sampling [0.0, -0.6419, 0.0117]. Recommendation = [0.0, -0.1483, -0.1305], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.1483, -0.1305] = 452.6564, sampling [0.0, -0.4933, -0.6194]. Recommendation = [0.0, -0.1483, -0.1305], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, -0.1483, -0.1305] = 452.6564, sampling [0.0, -0.7117, 0.7122]. Recommendation = [0.0, -0.1483, -0.1305], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, -0.1483, -0.1305] = 452.6564, sampling [0.0, -0.2177, 0.5778]. Recommendation = [0.0, -0.1483, -0.1305], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, -0.1483, -0.1305] = 452.6564, sampling [0.0, -0.6375, 0.4025]. Recommendation = [0.0, -0.1483, -0.1305], Current Cost = 9000.00, Rho = -1.230
(iter 9) [0.0, -0.6375, 0.4025] = 453.6170, sampling [0.0, -1.0850, 0.0789]. Recommendation = [0.0, -0.6375, 0.4025], Current Cost = 10000.00, Rho = -1.230
(iter 9) [0.0, -0.6375, 0.4025] = 453.6170, sampling [0.0, -0.5906, 1.0687]. Recommendation = [0.0, -0.6375, 0.4025], Current Cost = 11000.00, Rho = -1.230
(iter 9) [0.0, -0.6375, 0.4025] = 453.6170, sampling [0.0, -0.4776, -0.2660]. Recommendation = [0.0, -0.6375, 0.4025], Current Cost = 12000.00, Rho = -1.230
(iter 9) [0.0, -0.6375, 0.4025] = 453.6170, sampling [0.0, -0.0420, 0.2249]. Recommendation = [0.0, -0.6375, 0.4025], Current Cost = 13000.00, Rho = -1.230
(iter 9) [0.0, -0.6375, 0.4025] = 453.6170, sampling [0.0, -0.5083, 0.0918]. Recommendation = [0.0, -0.5083, 0.0918], Current Cost = 14000.00, Rho = -1.230
(iter 9) [0.0, -0.6375, 0.4025] = 453.6170, sampling [0.0, -0.0827, 0.9850]. Recommendation = [0.0, -0.6375, 0.4025], Current Cost = 15000.00, Rho = -1.230
(iter 9) [0.0, -0.6375, 0.4025] = 453.6170, sampling [0.0, -0.9786, 0.8515]. Recommendation = [0.0, -0.6375, 0.4025], Current Cost = 16000.00, Rho = -1.230
(iter 9) [0.0, -0.6375, 0.4025] = 453.6170, sampling [0.0, -0.9289, 1.1888]. Recommendation = [0.0, -0.6375, 0.4025], Current Cost = 17000.00, Rho = -1.230
(iter 9) [0.0, -0.6375, 0.4025] = 453.6170, sampling [0.0, -0.5923, 1.3987]. Recommendation = [0.0, -0.6375, 0.4025], Current Cost = 18000.00, Rho = -1.230
(iter 9) [0.0, -0.6375, 0.4025] = 453.6170, sampling [0.0, -1.0533, -0.6046]. Recommendation = [0.0, -0.6375, 0.4025], Current Cost = 19000.00, Rho = -1.230
(iter 9) [0.0, -0.6375, 0.4025] = 453.6170, sampling [0.0, -0.8367, 0.6175]. Recommendation = [0.0, -0.6375, 0.4025], Current Cost = 20000.00, Rho = -1.230
(iter 9) [0.0, -0.6375, 0.4025] = 453.6170, sampling [0.0, -0.7982, 1.0463]. Recommendation = [0.0, -0.6375, 0.4025], Current Cost = 21000.00, Rho = -1.230
(iter 9) [0.0, -0.6375, 0.4025] = 453.6170, sampling [0.0, -1.3424, 0.6726]. Recommendation = [0.0, -0.6375, 0.4025], Current Cost = 22000.00, Rho = -1.230
(iter 9) [0.0, -0.6375, 0.4025] = 453.6170, sampling [0.0, -0.1331, 0.4289]. Recommendation = [0.0, -0.6375, 0.4025], Current Cost = 23000.00, Rho = -1.230
(iter 9) [0.0, -0.6375, 0.4025] = 453.6170, sampling [0.0, -0.1261, -0.0144]. Recommendation = [0.0, -0.6375, 0.4025], Current Cost = 24000.00, Rho = -1.230
(iter 24) [0.0, -0.1261, -0.0144] = 454.9400, sampling [0.0, 0.0573, 1.9006]. Recommendation = [0.0, -0.1261, -0.0144], Current Cost = 25000.00, Rho = -1.230
(iter 24) [0.0, -0.1261, -0.0144] = 454.9400, sampling [0.0, -1.1074, 1.3783]. Recommendation = [0.0, -0.1261, -0.0144], Current Cost = 26000.00, Rho = -1.230
(iter 24) [0.0, -0.1261, -0.0144] = 454.9400, sampling [0.0, -1.0285, 1.0071]. Recommendation = [0.0, -0.1261, -0.0144], Current Cost = 27000.00, Rho = -1.230
(iter 24) [0.0, -0.1261, -0.0144] = 454.9400, sampling [0.0, 0.1971, 0.4416]. Recommendation = [0.0, -0.1261, -0.0144], Current Cost = 28000.00, Rho = -1.230
(iter 24) [0.0, -0.1261, -0.0144] = 454.9400, sampling [0.0, 0.1373, 0.0246]. Recommendation = [0.0, -0.1261, -0.0144], Current Cost = 29000.00, Rho = -1.230
(iter 29) [0.0, 0.1373, 0.0246] = 455.5525, sampling [0.0, 0.1440, -0.5427]. Recommendation = [0.0, 0.1373, 0.0246], Current Cost = 30000.00, Rho = -1.230
(iter 29) [0.0, 0.1373, 0.0246] = 455.5525, sampling [0.0, -0.0664, -0.2237]. Recommendation = [0.0, 0.1373, 0.0246], Current Cost = 31000.00, Rho = -1.230
(iter 29) [0.0, 0.1373, 0.0246] = 455.5525, sampling [0.0, -0.0097, -0.9416]. Recommendation = [0.0, 0.1373, 0.0246], Current Cost = 32000.00, Rho = -1.230
(iter 29) [0.0, 0.1373, 0.0246] = 455.5525, sampling [0.0, 0.1127, 0.6539]. Recommendation = [0.0, 0.1373, 0.0246], Current Cost = 33000.00, Rho = -1.230
(iter 29) [0.0, 0.1373, 0.0246] = 455.5525, sampling [0.0, 0.2914, 0.1873]. Recommendation = [0.0, 0.1373, 0.0246], Current Cost = 34000.00, Rho = -1.230
(iter 29) [0.0, 0.1373, 0.0246] = 455.5525, sampling [0.0, 0.0358, 0.3857]. Recommendation = [0.0, 0.1373, 0.0246], Current Cost = 35000.00, Rho = -1.230
(iter 29) [0.0, 0.1373, 0.0246] = 455.5525, sampling [0.0, -0.4432, -1.5165]. Recommendation = [0.0, 0.1373, 0.0246], Current Cost = 36000.00, Rho = -1.230
(iter 29) [0.0, 0.1373, 0.0246] = 455.5525, sampling [0.0, -1.1241, 1.6443]. Recommendation = [0.0, 0.1373, 0.0246], Current Cost = 37000.00, Rho = -1.230
(iter 29) [0.0, 0.1373, 0.0246] = 455.5525, sampling [0.0, -0.9451, 1.5970]. Recommendation = [0.0, 0.1373, 0.0246], Current Cost = 38000.00, Rho = -1.230
(iter 29) [0.0, 0.1373, 0.0246] = 455.5525, sampling [0.0, -1.4554, 1.7258]. Recommendation = [0.0, 0.1373, 0.0246], Current Cost = 39000.00, Rho = -1.230
(iter 29) [0.0, 0.1373, 0.0246] = 455.5525, sampling [0.0, -1.2565, 1.9577]. Recommendation = [0.0, 0.1373, 0.0246], Current Cost = 40000.00, Rho = -1.230
(iter 29) [0.0, 0.1373, 0.0246] = 455.5525, sampling [0.0, -1.3760, 1.5747]. Recommendation = [0.0, 0.1373, 0.0246], Current Cost = 41000.00, Rho = -1.230
(iter 29) [0.0, 0.1373, 0.0246] = 455.5525, sampling [0.0, -1.9946, 1.7641]. Recommendation = [0.0, 0.1373, 0.0246], Current Cost = 42000.00, Rho = -1.230
(iter 29) [0.0, 0.1373, 0.0246] = 455.5525, sampling [0.0, -0.3701, -0.5193]. Recommendation = [0.0, 0.1373, 0.0246], Current Cost = 43000.00, Rho = -1.230
(iter 29) [0.0, 0.1373, 0.0246] = 455.5525, sampling [0.0, -1.3146, 1.3468]. Recommendation = [0.0, 0.1373, 0.0246], Current Cost = 44000.00, Rho = -1.230
(iter 29) [0.0, 0.1373, 0.0246] = 455.5525, sampling [0.0, 0.5159, 0.6933]. Recommendation = [0.0, 0.1373, 0.0246], Current Cost = 45000.00, Rho = -1.230
(iter 29) [0.0, 0.1373, 0.0246] = 455.5525, sampling [0.0, 0.4983, 0.3082]. Recommendation = [0.0, 0.1373, 0.0246], Current Cost = 46000.00, Rho = -1.230
(iter 46) [0.0, 0.4983, 0.3082] = 455.6899, sampling [0.0, 0.3070, 0.5568]. Recommendation = [0.0, 0.2819, 0.3335], Current Cost = 47000.00, Rho = -1.230
(iter 46) [0.0, 0.4983, 0.3082] = 455.6899, sampling [0.0, 0.3215, 0.8293]. Recommendation = [0.0, 0.4172, 0.2876], Current Cost = 48000.00, Rho = -1.230
(iter 46) [0.0, 0.4983, 0.3082] = 455.6899, sampling [0.0, 0.2819, 0.3335]. Recommendation = [0.0, 0.4172, 0.2876], Current Cost = 49000.00, Rho = -1.230
(iter 46) [0.0, 0.4983, 0.3082] = 455.6899, sampling [0.0, 0.4587, -0.2544]. Recommendation = [0.0, 0.4983, 0.3082], Current Cost = 50000.00, Rho = -1.230
(iter 46) [0.0, 0.4983, 0.3082] = 455.6899, sampling [0.0, 0.6652, 0.5208]. Recommendation = [0.0, 0.4172, 0.2876], Current Cost = 51000.00, Rho = -1.230
(iter 46) [0.0, 0.4983, 0.3082] = 455.6899, sampling [0.0, 0.6913, 0.9413]. Recommendation = [0.0, 0.4983, 0.3082], Current Cost = 52000.00, Rho = -1.230
(iter 46) [0.0, 0.4983, 0.3082] = 455.6899, sampling [0.0, 0.9133, 1.2487]. Recommendation = [0.0, 0.4983, 0.3082], Current Cost = 53000.00, Rho = -1.230
(iter 46) [0.0, 0.4983, 0.3082] = 455.6899, sampling [0.0, 0.9290, 0.8424]. Recommendation = [0.0, 0.4983, 0.3082], Current Cost = 54000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 1.1288, 1.6317]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 55000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 1.1562, 1.2722]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 56000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 1.4706, 1.6603]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 57000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 1.5185, 1.3670]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 58000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 1.2316, 1.9269]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 59000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 0.7662, 1.4449]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 60000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 1.0458, 1.1237]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 61000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 1.8306, 1.7877]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 62000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 0.9497, 1.9776]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 63000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 0.8975, 0.6390]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 64000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 0.7279, 0.3394]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 65000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 1.4087, 1.0191]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 66000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 0.7181, 0.0963]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 67000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 1.2636, 1.8140]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 68000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 0.7826, 0.5624]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 69000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 0.2635, 1.3076]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 70000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 0.6182, 0.7582]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 71000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, -1.1818, 1.5554]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 72000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 0.8589, 0.3834]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 73000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 0.3702, -0.5625]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 74000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, -0.9997, 1.3427]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 75000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 0.4889, 0.8995]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 76000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, -0.2836, -0.9050]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 77000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 0.4172, 0.2876]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 78000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, -1.0190, 1.1016]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 79000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 1.1717, 1.7964]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 80000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, -1.9616, -0.0189]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 81000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, -1.1933, 0.8067]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 82000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 0.8121, 1.2283]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 83000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 0.6353, 0.5957]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 84000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, -0.7599, 1.3145]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 85000.00, Rho = -1.230
(iter 54) [0.0, 0.9290, 0.8424] = 456.2522, sampling [0.0, 0.7857, 0.4822]. Recommendation = [0.0, 0.9290, 0.8424], Current Cost = 86000.00, Rho = -1.230
