(iter 5) [0.0, 0.9661, 1.4299] = 431.6351, sampling [0.0, -0.0413, 0.8983]. Recommendation = [0.0, 0.9661, 1.4299], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.9661, 1.4299] = 431.6351, sampling [0.0, 0.1126, 1.7103]. Recommendation = [0.0, 0.9661, 1.4299], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 0.9661, 1.4299] = 431.6351, sampling [0.0, -0.0929, 0.2056]. Recommendation = [0.0, 0.9661, 1.4299], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, -0.0929, 0.2056] = 451.2259, sampling [0.0, -0.3269, 0.4834]. Recommendation = [0.0, -0.0929, 0.2056], Current Cost = 8000.00, Rho = -1.230
(iter 7) [0.0, -0.0929, 0.2056] = 451.2259, sampling [0.0, 0.4555, 0.6170]. Recommendation = [0.0, -0.0929, 0.2056], Current Cost = 9000.00, Rho = -1.230
(iter 7) [0.0, -0.0929, 0.2056] = 451.2259, sampling [0.0, 0.3823, -0.2437]. Recommendation = [0.0, -0.0929, 0.2056], Current Cost = 10000.00, Rho = -1.230
(iter 7) [0.0, -0.0929, 0.2056] = 451.2259, sampling [0.0, 0.2409, 0.2542]. Recommendation = [0.0, -0.0929, 0.2056], Current Cost = 11000.00, Rho = -1.230
(iter 11) [0.0, 0.2409, 0.2542] = 451.8745, sampling [0.0, -0.0716, -0.3342]. Recommendation = [0.0, 0.2409, 0.2542], Current Cost = 12000.00, Rho = -1.230
(iter 11) [0.0, 0.2409, 0.2542] = 451.8745, sampling [0.0, -0.4546, -0.0558]. Recommendation = [0.0, 0.0329, -0.1129], Current Cost = 13000.00, Rho = -1.230
(iter 11) [0.0, 0.2409, 0.2542] = 451.8745, sampling [0.0, 0.3853, -0.8465]. Recommendation = [0.0, -0.0024, -0.0673], Current Cost = 14000.00, Rho = -1.230
(iter 11) [0.0, 0.2409, 0.2542] = 451.8745, sampling [0.0, -0.7353, 1.0170]. Recommendation = [0.0, -0.0024, -0.0673], Current Cost = 15000.00, Rho = -1.230
(iter 11) [0.0, 0.2409, 0.2542] = 451.8745, sampling [0.0, -0.0024, -0.0673]. Recommendation = [0.0, -0.0024, -0.0673], Current Cost = 16000.00, Rho = -1.230
(iter 16) [0.0, -0.0024, -0.0673] = 454.8428, sampling [0.0, 0.5128, 1.0859]. Recommendation = [0.0, -0.1638, 0.1141], Current Cost = 17000.00, Rho = -1.230
(iter 16) [0.0, -0.0024, -0.0673] = 454.8428, sampling [0.0, 0.5119, 0.0961]. Recommendation = [0.0, -0.1638, 0.1141], Current Cost = 18000.00, Rho = -1.230
(iter 16) [0.0, -0.0024, -0.0673] = 454.8428, sampling [0.0, -0.4666, 0.2314]. Recommendation = [0.0, 0.2826, 0.0348], Current Cost = 19000.00, Rho = -1.230
(iter 16) [0.0, -0.0024, -0.0673] = 454.8428, sampling [0.0, -0.8900, 0.6310]. Recommendation = [0.0, 0.2826, 0.0348], Current Cost = 20000.00, Rho = -1.230
(iter 16) [0.0, -0.0024, -0.0673] = 454.8428, sampling [0.0, 0.8200, -0.4390]. Recommendation = [0.0, 0.2826, 0.0348], Current Cost = 21000.00, Rho = -1.230
(iter 16) [0.0, -0.0024, -0.0673] = 454.8428, sampling [0.0, -1.2731, 1.2818]. Recommendation = [0.0, 0.2826, 0.0348], Current Cost = 22000.00, Rho = -1.230
(iter 16) [0.0, -0.0024, -0.0673] = 454.8428, sampling [0.0, -0.9451, 1.7371]. Recommendation = [0.0, 0.2826, 0.0348], Current Cost = 23000.00, Rho = -1.230
(iter 16) [0.0, -0.0024, -0.0673] = 454.8428, sampling [0.0, -1.8415, 1.9185]. Recommendation = [0.0, 0.2826, 0.0348], Current Cost = 24000.00, Rho = -1.230
(iter 16) [0.0, -0.0024, -0.0673] = 454.8428, sampling [0.0, -0.9917, 0.9810]. Recommendation = [0.0, 0.2826, 0.0348], Current Cost = 25000.00, Rho = -1.230
(iter 16) [0.0, -0.0024, -0.0673] = 454.8428, sampling [0.0, -0.8141, 1.3802]. Recommendation = [0.0, 0.2826, 0.0348], Current Cost = 26000.00, Rho = -1.230
(iter 16) [0.0, -0.0024, -0.0673] = 454.8428, sampling [0.0, 0.0601, 0.5824]. Recommendation = [0.0, 0.2826, 0.0348], Current Cost = 27000.00, Rho = -1.230
(iter 16) [0.0, -0.0024, -0.0673] = 454.8428, sampling [0.0, -1.4969, 0.9266]. Recommendation = [0.0, 0.2826, 0.0348], Current Cost = 28000.00, Rho = -1.230
(iter 16) [0.0, -0.0024, -0.0673] = 454.8428, sampling [0.0, 0.8123, 0.2842]. Recommendation = [0.0, 0.2826, 0.0348], Current Cost = 29000.00, Rho = -1.230
(iter 16) [0.0, -0.0024, -0.0673] = 454.8428, sampling [0.0, 0.7718, 0.8125]. Recommendation = [0.0, -0.1638, 0.1141], Current Cost = 30000.00, Rho = -1.230
(iter 16) [0.0, -0.0024, -0.0673] = 454.8428, sampling [0.0, -0.1194, -0.7739]. Recommendation = [0.0, -0.1638, 0.1141], Current Cost = 31000.00, Rho = -1.230
(iter 16) [0.0, -0.0024, -0.0673] = 454.8428, sampling [0.0, 1.3979, 1.9736]. Recommendation = [0.0, -0.1638, 0.1141], Current Cost = 32000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 0.9038, 1.8743]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 33000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 1.3829, 1.4729]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 34000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 1.9102, 1.6293]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 35000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 0.5674, 0.4415]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 36000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -0.3768, 0.9961]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 37000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 0.2826, 0.0348]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 38000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 1.1974, -1.4276]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 39000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 0.0960, -0.5814]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 40000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -0.3644, -0.4226]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 41000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 0.9375, 0.5989]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 42000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 0.6583, -0.0811]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 43000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -1.3486, 1.6151]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 44000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -1.0358, 1.4092]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 45000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 1.1758, 0.8876]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 46000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -1.3277, 1.9939]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 47000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -0.6332, 0.0762]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 48000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 0.6745, 0.6729]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 49000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -1.1749, 1.8472]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 50000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -0.5427, 1.7870]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 51000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -0.8963, 0.7945]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 52000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -0.2568, 0.7384]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 53000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 1.0668, 1.7672]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 54000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -0.1638, 0.1141]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 55000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -1.5265, 1.3633]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 56000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 0.2884, 0.6681]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 57000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 1.4204, 1.1575]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 58000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -0.8675, 0.3469]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 59000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 1.0811, 0.2170]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 60000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -0.8572, 1.1835]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 61000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -1.2191, 1.0651]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 62000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -1.4087, 1.7941]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 63000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 0.7556, 1.5876]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 64000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -0.5125, -0.2688]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 65000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -1.1245, 0.5445]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 66000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 0.6203, 1.2466]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 67000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 0.4902, -0.0272]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 68000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 0.1781, 0.9308]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 69000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -0.5665, 0.9622]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 70000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -0.4982, -0.7225]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 71000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 0.4696, -0.6561]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 72000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 0.4255, 0.7636]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 73000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -0.1578, 1.2986]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 74000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -0.0493, 0.5437]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 75000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -1.9743, 1.4418]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 76000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 1.0991, -0.2140]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 77000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -0.5781, 0.1649]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 78000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -1.0109, 0.1492]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 79000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 0.1600, -1.0166]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 80000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -0.6813, 1.1875]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 81000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 0.9469, 0.5133]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 82000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -0.6076, -0.4127]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 83000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 0.3664, 0.0276]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 84000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -0.3455, 0.4156]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 85000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -0.0310, -1.3926]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 86000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 0.3187, 1.1438]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 87000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, 0.0329, -0.1129]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 88000.00, Rho = -1.230
(iter 32) [0.0, 1.3979, 1.9736] = 456.1033, sampling [0.0, -1.4073, 0.4625]. Recommendation = [0.0, 1.3979, 1.9736], Current Cost = 89000.00, Rho = -1.230
