(iter 10) [0.0, -0.5202, 0.3329] = 453.6009, sampling [1.0, -0.3528, -0.1614]. Recommendation = [0.0, -0.5202, 0.3329], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.5202, 0.3329] = 453.6009, sampling [1.0, -0.5651, -0.1932]. Recommendation = [0.0, -0.5202, 0.3329], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.5202, 0.3329] = 453.6009, sampling [1.0, -0.5342, 0.2627]. Recommendation = [0.0, -0.5202, 0.3329], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.5202, 0.3329] = 453.6009, sampling [1.0, -0.1726, 0.4266]. Recommendation = [0.0, -0.5202, 0.3329], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.5202, 0.3329] = 453.6009, sampling [1.0, -0.0590, -0.0285]. Recommendation = [0.0, -0.5202, 0.3329], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.5202, 0.3329] = 453.6009, sampling [1.0, -0.8131, 0.2996]. Recommendation = [0.0, -0.5202, 0.3329], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.5202, 0.3329] = 453.6009, sampling [1.0, -0.3686, 0.5206]. Recommendation = [0.0, -0.5202, 0.3329], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.5202, 0.3329] = 453.6009, sampling [1.0, -0.2634, -0.3387]. Recommendation = [0.0, -0.5202, 0.3329], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.5202, 0.3329] = 453.6009, sampling [1.0, -0.0330, 0.1388]. Recommendation = [0.0, -0.5202, 0.3329], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.5202, 0.3329] = 453.6009, sampling [1.0, -0.7434, 0.4699]. Recommendation = [0.0, -0.5202, 0.3329], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.5202, 0.3329] = 453.6009, sampling [1.0, -0.9378, -0.1137]. Recommendation = [0.0, -0.5202, 0.3329], Current Cost = 5015.00, Rho = 1.000
