(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, -0.1639, 0.0917]. Recommendation = [0.0, -0.4912, 0.3237], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, -0.1783, -0.1273]. Recommendation = [0.0, -0.1639, 0.0917], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, 0.0578, 0.1880]. Recommendation = [0.0, -0.1639, 0.0917], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, 0.1782, 0.0350]. Recommendation = [0.0, -0.1639, 0.0917], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, 0.2225, -0.0443]. Recommendation = [0.0, 0.1782, 0.0350], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, 0.3434, -0.1312]. Recommendation = [0.0, 0.1782, 0.0350], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, 0.3212, 0.2318]. Recommendation = [0.0, 0.1782, 0.0350], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, 0.4174, 0.1302]. Recommendation = [0.0, 0.1782, 0.0350], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, 0.5142, 0.0021]. Recommendation = [0.0, 0.4174, 0.1302], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, -0.1308, 0.5573]. Recommendation = [0.0, 0.4174, 0.1302], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, 0.4734, 0.1279]. Recommendation = [0.0, 0.4174, 0.1302], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, 0.3773, 0.4382]. Recommendation = [0.0, 0.4174, 0.1302], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, 0.4913, 0.3896]. Recommendation = [0.0, 0.4174, 0.1302], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, -0.5416, 0.2140]. Recommendation = [0.0, 0.4174, 0.1302], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, -0.2456, -0.3142]. Recommendation = [0.0, 0.4174, 0.1302], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, 0.5418, -0.0743]. Recommendation = [0.0, 0.4174, 0.1302], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, 0.6821, 0.3817]. Recommendation = [0.0, 0.4174, 0.1302], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, -0.4796, 0.4149]. Recommendation = [0.0, 0.4174, 0.1302], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, -0.3432, -0.2676]. Recommendation = [0.0, 0.4174, 0.1302], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, 0.6579, 0.6039]. Recommendation = [0.0, 0.4174, 0.1302], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, 0.8336, 0.4597]. Recommendation = [0.0, 0.4174, 0.1302], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, 0.0883, 0.6203]. Recommendation = [0.0, 0.4174, 0.1302], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, 0.9405, 0.4312]. Recommendation = [0.0, 0.4174, 0.1302], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, -0.6175, 0.1932]. Recommendation = [0.0, 0.4174, 0.1302], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, -0.0842, -0.5614]. Recommendation = [0.0, 0.4174, 0.1302], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, 0.2386, -0.5307]. Recommendation = [0.0, 0.4174, 0.1302], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, 0.7120, -0.3569]. Recommendation = [0.0, 0.4174, 0.1302], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.4912, 0.3237] = 453.3975, sampling [1.0, -0.3154, -0.3482]. Recommendation = [0.0, 0.4174, 0.1302], Current Cost = 5032.00, Rho = 1.000
