(iter 5) [0.0, 0.4667, 0.0550] = 453.3641, sampling [0.0, 0.0850, 0.4287]. Recommendation = [0.0, 0.4667, 0.0550], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.4667, 0.0550] = 453.3641, sampling [0.0, 0.1768, 0.0919]. Recommendation = [0.0, 0.4667, 0.0550], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, 0.1768, 0.0919] = 455.2554, sampling [0.0, 0.4859, 0.5077]. Recommendation = [0.0, 0.1768, 0.0919], Current Cost = 7000.00, Rho = -1.230
(iter 6) [0.0, 0.1768, 0.0919] = 455.2554, sampling [0.0, 0.3364, 0.6069]. Recommendation = [0.0, 0.1768, 0.0919], Current Cost = 8000.00, Rho = -1.230
(iter 6) [0.0, 0.1768, 0.0919] = 455.2554, sampling [0.0, 0.3604, -0.0141]. Recommendation = [0.0, 0.1768, 0.0919], Current Cost = 9000.00, Rho = -1.230
(iter 6) [0.0, 0.1768, 0.0919] = 455.2554, sampling [0.0, -0.1225, 0.6280]. Recommendation = [0.0, 0.1768, 0.0919], Current Cost = 10000.00, Rho = -1.230
(iter 6) [0.0, 0.1768, 0.0919] = 455.2554, sampling [0.0, 0.0034, 0.0018]. Recommendation = [0.0, 0.1768, 0.0919], Current Cost = 11000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, -0.2240, 0.4085]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 12000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, 0.1362, -0.1074]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 13000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, -0.1793, -0.0783]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 14000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, -0.5010, 0.1507]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 15000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, -0.4170, 0.3970]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 16000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, -0.6085, 0.2864]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 17000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, -0.4794, 0.0406]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 18000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, -0.7049, 0.7864]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 19000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, -0.3244, 0.6611]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 20000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, -0.7419, 0.2295]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 21000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, -1.0214, 0.5334]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 22000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, -0.0102, 0.9471]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 23000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, -0.7910, 1.0478]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 24000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, -0.6521, -0.1378]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 25000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, -0.9672, 0.0742]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 26000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, -0.3575, -0.3290]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 27000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, -0.5736, 1.3192]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 28000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, -0.9305, 1.0857]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 29000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, 0.2448, -0.3681]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 30000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, 0.6074, 0.5851]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 31000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, 0.5514, 0.7017]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 32000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, -0.0273, -0.5822]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 33000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, 0.7479, 0.2591]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 34000.00, Rho = -1.230
(iter 11) [0.0, 0.0034, 0.0018] = 455.3064, sampling [0.0, 0.8010, 0.5478]. Recommendation = [0.0, 0.0034, 0.0018], Current Cost = 35000.00, Rho = -1.230
(iter 35) [0.0, 0.8010, 0.5478] = 455.3811, sampling [0.0, 0.6796, 0.8401]. Recommendation = [0.0, 0.8010, 0.5478], Current Cost = 36000.00, Rho = -1.230
(iter 35) [0.0, 0.8010, 0.5478] = 455.3811, sampling [0.0, 0.8830, 0.5192]. Recommendation = [0.0, 0.8010, 0.5478], Current Cost = 37000.00, Rho = -1.230
(iter 35) [0.0, 0.8010, 0.5478] = 455.3811, sampling [0.0, 0.8669, 1.0213]. Recommendation = [0.0, 0.8010, 0.5478], Current Cost = 38000.00, Rho = -1.230
(iter 35) [0.0, 0.8010, 0.5478] = 455.3811, sampling [0.0, 0.4021, 1.1712]. Recommendation = [0.0, 0.8010, 0.5478], Current Cost = 39000.00, Rho = -1.230
(iter 35) [0.0, 0.8010, 0.5478] = 455.3811, sampling [0.0, 1.0440, 0.6087]. Recommendation = [0.0, 0.8010, 0.5478], Current Cost = 40000.00, Rho = -1.230
(iter 35) [0.0, 0.8010, 0.5478] = 455.3811, sampling [0.0, 0.9813, 1.1873]. Recommendation = [0.0, 0.8010, 0.5478], Current Cost = 41000.00, Rho = -1.230
(iter 35) [0.0, 0.8010, 0.5478] = 455.3811, sampling [0.0, 0.8173, 1.0983]. Recommendation = [0.0, 0.8010, 0.5478], Current Cost = 42000.00, Rho = -1.230
(iter 35) [0.0, 0.8010, 0.5478] = 455.3811, sampling [0.0, 1.1971, 1.1570]. Recommendation = [0.0, 0.8010, 0.5478], Current Cost = 43000.00, Rho = -1.230
(iter 35) [0.0, 0.8010, 0.5478] = 455.3811, sampling [0.0, 1.1270, 1.2946]. Recommendation = [0.0, 0.8010, 0.5478], Current Cost = 44000.00, Rho = -1.230
(iter 44) [0.0, 1.1270, 1.2946] = 456.2246, sampling [0.0, 0.9437, 1.4833]. Recommendation = [0.0, 1.1270, 1.2946], Current Cost = 45000.00, Rho = -1.230
(iter 44) [0.0, 1.1270, 1.2946] = 456.2246, sampling [0.0, 1.2930, 1.0355]. Recommendation = [0.0, 1.1270, 1.2946], Current Cost = 46000.00, Rho = -1.230
